setting,qs,seed,fam,svc_c,best_ood
m1_hist_byteent__ms123__q1000_id500_ood500,123,123,classical_ext,0.01,0.6865222334310099
m1_hist_byteent__ms123__q1000_id500_ood500,123,123,classical_ext,0.1,0.7062016621030889
m1_hist_byteent__ms123__q1000_id500_ood500,123,123,classical_ext,1.0,0.7512049446766265
m1_hist_byteent__ms123__q1000_id500_ood500,123,123,classical_ext,10.0,0.7709564298409953
m1_hist_byteent__ms123__q1000_id500_ood500,123,123,classical_ext,100.0,0.7723415157483466
m1_hist_byteent__ms123__q1000_id500_ood500,123,123,quantum,1.0,0.7629101215352836
m1_hist_byteent__ms123__q1000_id500_ood500,123,42,classical_ext,0.01,0.6865222334310099
m1_hist_byteent__ms123__q1000_id500_ood500,123,42,classical_ext,0.1,0.7062016621030889
m1_hist_byteent__ms123__q1000_id500_ood500,123,42,classical_ext,1.0,0.7512049446766265
m1_hist_byteent__ms123__q1000_id500_ood500,123,42,classical_ext,10.0,0.7709564298409953
m1_hist_byteent__ms123__q1000_id500_ood500,123,42,classical_ext,100.0,0.7723415157483466
m1_hist_byteent__ms123__q1000_id500_ood500,123,42,quantum,1.0,0.7629101215352836
m1_hist_byteent__ms123__q1000_id500_ood500,123,999,classical_ext,0.01,0.6865222334310099
m1_hist_byteent__ms123__q1000_id500_ood500,123,999,classical_ext,0.1,0.7062016621030889
m1_hist_byteent__ms123__q1000_id500_ood500,123,999,classical_ext,1.0,0.7512049446766265
m1_hist_byteent__ms123__q1000_id500_ood500,123,999,classical_ext,10.0,0.7709564298409953
m1_hist_byteent__ms123__q1000_id500_ood500,123,999,classical_ext,100.0,0.7723415157483466
m1_hist_byteent__ms123__q1000_id500_ood500,123,999,quantum,1.0,0.7629101215352836
m1_hist_byteent__ms123__q1000_id500_ood500,2024,123,classical_ext,0.01,0.6974148438001154
m1_hist_byteent__ms123__q1000_id500_ood500,2024,123,classical_ext,0.1,0.7247418051189942
m1_hist_byteent__ms123__q1000_id500_ood500,2024,123,classical_ext,1.0,0.7688113413304253
m1_hist_byteent__ms123__q1000_id500_ood500,2024,123,classical_ext,10.0,0.7848482904612226
m1_hist_byteent__ms123__q1000_id500_ood500,2024,123,classical_ext,100.0,0.7997145423054718
m1_hist_byteent__ms123__q1000_id500_ood500,2024,123,quantum,1.0,0.7800211687728527
m1_hist_byteent__ms123__q1000_id500_ood500,2024,42,classical_ext,0.01,0.6974148438001154
m1_hist_byteent__ms123__q1000_id500_ood500,2024,42,classical_ext,0.1,0.7247418051189942
m1_hist_byteent__ms123__q1000_id500_ood500,2024,42,classical_ext,1.0,0.7688113413304253
m1_hist_byteent__ms123__q1000_id500_ood500,2024,42,classical_ext,10.0,0.7848482904612226
m1_hist_byteent__ms123__q1000_id500_ood500,2024,42,classical_ext,100.0,0.7976137019693373
m1_hist_byteent__ms123__q1000_id500_ood500,2024,42,quantum,1.0,0.7800211687728527
m1_hist_byteent__ms123__q1000_id500_ood500,2024,999,classical_ext,0.01,0.6974148438001154
m1_hist_byteent__ms123__q1000_id500_ood500,2024,999,classical_ext,0.1,0.7247418051189942
m1_hist_byteent__ms123__q1000_id500_ood500,2024,999,classical_ext,1.0,0.7688113413304253
m1_hist_byteent__ms123__q1000_id500_ood500,2024,999,classical_ext,10.0,0.7848482904612226
m1_hist_byteent__ms123__q1000_id500_ood500,2024,999,classical_ext,100.0,0.7976137019693373
m1_hist_byteent__ms123__q1000_id500_ood500,2024,999,quantum,1.0,0.7800211687728527
m1_hist_byteent__ms123__q1000_id500_ood500,42,123,classical_ext,0.01,0.7123142930327868
m1_hist_byteent__ms123__q1000_id500_ood500,42,123,classical_ext,0.1,0.742859887295082
m1_hist_byteent__ms123__q1000_id500_ood500,42,123,classical_ext,1.0,0.7962986680327868
m1_hist_byteent__ms123__q1000_id500_ood500,42,123,classical_ext,10.0,0.8043032786885246
m1_hist_byteent__ms123__q1000_id500_ood500,42,123,classical_ext,100.0,0.7984118852459017
m1_hist_byteent__ms123__q1000_id500_ood500,42,123,quantum,1.0,0.7858606557377049
m1_hist_byteent__ms123__q1000_id500_ood500,42,42,classical_ext,0.01,0.7123142930327868
m1_hist_byteent__ms123__q1000_id500_ood500,42,42,classical_ext,0.1,0.742859887295082
m1_hist_byteent__ms123__q1000_id500_ood500,42,42,classical_ext,1.0,0.7962986680327868
m1_hist_byteent__ms123__q1000_id500_ood500,42,42,classical_ext,10.0,0.8043032786885246
m1_hist_byteent__ms123__q1000_id500_ood500,42,42,classical_ext,100.0,0.7984118852459017
m1_hist_byteent__ms123__q1000_id500_ood500,42,42,quantum,1.0,0.7858606557377049
m1_hist_byteent__ms123__q1000_id500_ood500,42,999,classical_ext,0.01,0.7123142930327868
m1_hist_byteent__ms123__q1000_id500_ood500,42,999,classical_ext,0.1,0.742859887295082
m1_hist_byteent__ms123__q1000_id500_ood500,42,999,classical_ext,1.0,0.7962986680327868
m1_hist_byteent__ms123__q1000_id500_ood500,42,999,classical_ext,10.0,0.8043032786885246
m1_hist_byteent__ms123__q1000_id500_ood500,42,999,classical_ext,100.0,0.7984118852459017
m1_hist_byteent__ms123__q1000_id500_ood500,42,999,quantum,1.0,0.7858606557377049
m1_hist_byteent__ms123__q1000_id500_ood500,7,123,classical_ext,0.01,0.5913491542782161
m1_hist_byteent__ms123__q1000_id500_ood500,7,123,classical_ext,0.1,0.69377990430622
m1_hist_byteent__ms123__q1000_id500_ood500,7,123,classical_ext,1.0,0.7585252276327792
m1_hist_byteent__ms123__q1000_id500_ood500,7,123,classical_ext,10.0,0.7454113392328495
m1_hist_byteent__ms123__q1000_id500_ood500,7,123,classical_ext,100.0,0.7734633787265366
m1_hist_byteent__ms123__q1000_id500_ood500,7,123,quantum,1.0,0.7465715062969067
m1_hist_byteent__ms123__q1000_id500_ood500,7,42,classical_ext,0.01,0.5913491542782161
m1_hist_byteent__ms123__q1000_id500_ood500,7,42,classical_ext,0.1,0.69377990430622
