setting,qs,seed,dim,svc_c,rho_vs_C1,n_kernels
m1_hist_byteent__ms123__q1000_id500_ood500,123,123,4,0.01,0.6847124716486247,7
m1_hist_byteent__ms123__q1000_id500_ood500,123,123,4,0.1,-0.07142857142857141,7
m1_hist_byteent__ms123__q1000_id500_ood500,123,123,4,10.0,0.7142857142857142,7
m1_hist_byteent__ms123__q1000_id500_ood500,123,123,4,100.0,0.4999999999999999,7
m1_hist_byteent__ms123__q1000_id500_ood500,123,123,6,0.01,-0.3706246583305506,7
m1_hist_byteent__ms123__q1000_id500_ood500,123,123,6,0.1,0.14285714285714282,7
m1_hist_byteent__ms123__q1000_id500_ood500,123,123,6,10.0,0.607142857142857,7
m1_hist_byteent__ms123__q1000_id500_ood500,123,123,6,100.0,-0.28571428571428564,7
m1_hist_byteent__ms123__q1000_id500_ood500,123,123,8,0.01,0.1853123291652753,7
m1_hist_byteent__ms123__q1000_id500_ood500,123,123,8,0.1,0.39285714285714274,7
m1_hist_byteent__ms123__q1000_id500_ood500,123,123,8,10.0,0.17857142857142855,7
m1_hist_byteent__ms123__q1000_id500_ood500,123,123,8,100.0,0.14285714285714282,7
m1_hist_byteent__ms123__q1000_id500_ood500,123,123,10,0.01,0.49256900389943786,7
m1_hist_byteent__ms123__q1000_id500_ood500,123,123,10,0.1,0.3571428571428571,7
m1_hist_byteent__ms123__q1000_id500_ood500,123,123,10,10.0,0.46428571428571414,7
m1_hist_byteent__ms123__q1000_id500_ood500,123,123,10,100.0,-0.32142857142857134,7
m1_hist_byteent__ms123__q1000_id500_ood500,123,123,12,0.01,0.8946481190484873,7
m1_hist_byteent__ms123__q1000_id500_ood500,123,123,12,0.1,0.9727272727272728,7
m1_hist_byteent__ms123__q1000_id500_ood500,123,123,12,10.0,0.19820624179302293,7
m1_hist_byteent__ms123__q1000_id500_ood500,123,123,12,100.0,-0.2522624895547565,7
m1_hist_byteent__ms123__q1000_id500_ood500,123,42,4,0.01,0.6847124716486247,7
m1_hist_byteent__ms123__q1000_id500_ood500,123,42,4,0.1,-0.07142857142857141,7
m1_hist_byteent__ms123__q1000_id500_ood500,123,42,4,10.0,0.7142857142857142,7
m1_hist_byteent__ms123__q1000_id500_ood500,123,42,4,100.0,0.4999999999999999,7
m1_hist_byteent__ms123__q1000_id500_ood500,123,42,6,0.01,-0.3706246583305506,7
m1_hist_byteent__ms123__q1000_id500_ood500,123,42,6,0.1,0.14285714285714282,7
m1_hist_byteent__ms123__q1000_id500_ood500,123,42,6,10.0,0.607142857142857,7
m1_hist_byteent__ms123__q1000_id500_ood500,123,42,6,100.0,-0.28571428571428564,7
m1_hist_byteent__ms123__q1000_id500_ood500,123,42,8,0.01,0.1853123291652753,7
m1_hist_byteent__ms123__q1000_id500_ood500,123,42,8,0.1,0.46428571428571414,7
m1_hist_byteent__ms123__q1000_id500_ood500,123,42,8,10.0,0.28571428571428564,7
m1_hist_byteent__ms123__q1000_id500_ood500,123,42,8,100.0,0.32142857142857134,7
m1_hist_byteent__ms123__q1000_id500_ood500,123,42,10,0.01,0.49256900389943786,7
m1_hist_byteent__ms123__q1000_id500_ood500,123,42,10,0.1,0.3571428571428571,7
