run,dataset,dim,scope,n_kernels,rho_rank_ktaood,rho_rank_survival
m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s123,ember,4,all,23,0.9387351778656127,0.8794466403162056
m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s123,ember,4,classical_only,19,0.9508771929824561,0.8491228070175438
m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s123,ember,6,all,23,0.958498023715415,0.8488142292490118
m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s123,ember,6,classical_only,19,0.9596491228070174,0.7596491228070175
m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s123,ember,8,all,23,0.9762845849802372,0.9209486166007905
m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s123,ember,8,classical_only,19,0.9771929824561404,0.8649122807017543
m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s123,ember,10,all,23,0.9891304347826088,0.9239130434782609
m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s123,ember,10,classical_only,19,0.9912280701754386,0.8771929824561402
m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s123,ember,12,all,23,0.974308300395257,0.9387351778656127
m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s123,ember,12,classical_only,19,0.9842105263157893,0.9175438596491228
m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s42,ember,4,all,23,0.9387351778656127,0.8794466403162056
m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s42,ember,4,classical_only,19,0.9508771929824561,0.8491228070175438
m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s42,ember,6,all,23,0.958498023715415,0.8488142292490118
m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s42,ember,6,classical_only,19,0.9596491228070174,0.7596491228070175
m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s42,ember,8,all,23,0.9762845849802372,0.9209486166007905
m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s42,ember,8,classical_only,19,0.9771929824561404,0.8649122807017543
m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s42,ember,10,all,23,0.9891304347826088,0.9239130434782609
m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s42,ember,10,classical_only,19,0.9912280701754386,0.8771929824561402
m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s42,ember,12,all,23,0.974308300395257,0.9387351778656127
m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s42,ember,12,classical_only,19,0.9842105263157893,0.9175438596491228
m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s999,ember,4,all,23,0.9387351778656127,0.8794466403162056
m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s999,ember,4,classical_only,19,0.9508771929824561,0.8491228070175438
m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s999,ember,6,all,23,0.958498023715415,0.8488142292490118
m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s999,ember,6,classical_only,19,0.9596491228070174,0.7596491228070175
m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s999,ember,8,all,23,0.9762845849802372,0.9209486166007905
m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s999,ember,8,classical_only,19,0.9771929824561404,0.8649122807017543
m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s999,ember,10,all,23,0.9891304347826088,0.9239130434782609
m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s999,ember,10,classical_only,19,0.9912280701754386,0.8771929824561402
m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s999,ember,12,all,23,0.974308300395257,0.9387351778656127
m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s999,ember,12,classical_only,19,0.9842105263157893,0.9175438596491228
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s123,ember,4,all,23,0.9436758893280633,0.7519762845849803
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s123,ember,4,classical_only,19,0.9666666666666668,0.7859649122807018
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s123,ember,6,all,23,0.9683794466403162,0.8003952569169961
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s123,ember,6,classical_only,19,0.9789473684210527,0.8842105263157896
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s123,ember,8,all,23,0.9713438735177865,0.9575098814229249
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s123,ember,8,classical_only,19,0.9842105263157893,0.9684210526315788
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s123,ember,10,all,23,0.7915019762845852,0.5247035573122529
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s123,ember,10,classical_only,19,0.83859649122807,0.6456140350877193
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s123,ember,12,all,23,0.757905138339921,0.5108695652173914
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s123,ember,12,classical_only,19,0.8035087719298245,0.6526315789473683
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s42,ember,4,all,23,0.9436758893280633,0.7519762845849803
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s42,ember,4,classical_only,19,0.9666666666666668,0.7859649122807018
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s42,ember,6,all,23,0.9683794466403162,0.8003952569169961
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s42,ember,6,classical_only,19,0.9789473684210527,0.8842105263157896
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s42,ember,8,all,23,0.9713438735177865,0.9575098814229249
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s42,ember,8,classical_only,19,0.9842105263157893,0.9684210526315788
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s42,ember,10,all,23,0.7915019762845852,0.5247035573122529
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s42,ember,10,classical_only,19,0.83859649122807,0.6456140350877193
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s42,ember,12,all,23,0.757905138339921,0.5108695652173914
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s42,ember,12,classical_only,19,0.8035087719298245,0.6526315789473683
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s999,ember,4,all,23,0.9436758893280633,0.7519762845849803
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s999,ember,4,classical_only,19,0.9666666666666668,0.7859649122807018
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s999,ember,6,all,23,0.9683794466403162,0.8003952569169961
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s999,ember,6,classical_only,19,0.9789473684210527,0.8842105263157896
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s999,ember,8,all,23,0.9713438735177865,0.9575098814229249
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s999,ember,8,classical_only,19,0.9842105263157893,0.9684210526315788
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s999,ember,10,all,23,0.7915019762845852,0.5247035573122529
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s999,ember,10,classical_only,19,0.83859649122807,0.6456140350877193
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s999,ember,12,all,23,0.757905138339921,0.5108695652173914
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s999,ember,12,classical_only,19,0.8035087719298245,0.6526315789473683
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s123,ember,4,all,23,0.8537549407114625,0.608695652173913
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s123,ember,4,classical_only,19,0.8789473684210527,0.5526315789473685
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s123,ember,6,all,23,0.9249011857707511,0.6007905138339922
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s123,ember,6,classical_only,19,0.9087719298245613,0.5894736842105263
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s123,ember,8,all,23,0.9901185770750988,0.9367588932806324
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s123,ember,8,classical_only,19,0.9824561403508772,0.9
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s123,ember,10,all,23,0.9822134387351777,0.974308300395257
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s123,ember,10,classical_only,19,0.9771929824561404,0.9614035087719298
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s123,ember,12,all,23,0.8369565217391305,0.9328063241106721
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s123,ember,12,classical_only,19,0.9280701754385964,0.9666666666666668
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s42,ember,4,all,23,0.8537549407114625,0.608695652173913
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s42,ember,4,classical_only,19,0.8789473684210527,0.5526315789473685
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s42,ember,6,all,23,0.9249011857707511,0.6007905138339922
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s42,ember,6,classical_only,19,0.9087719298245613,0.5894736842105263
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s42,ember,8,all,23,0.9901185770750988,0.9367588932806324
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s42,ember,8,classical_only,19,0.9824561403508772,0.9
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s42,ember,10,all,23,0.9822134387351777,0.974308300395257
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s42,ember,10,classical_only,19,0.9771929824561404,0.9614035087719298
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s42,ember,12,all,23,0.8369565217391305,0.9328063241106721
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s42,ember,12,classical_only,19,0.9280701754385964,0.9666666666666668
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s999,ember,4,all,23,0.8537549407114625,0.608695652173913
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s999,ember,4,classical_only,19,0.8789473684210527,0.5526315789473685
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s999,ember,6,all,23,0.9249011857707511,0.6007905138339922
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s999,ember,6,classical_only,19,0.9087719298245613,0.5894736842105263
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s999,ember,8,all,23,0.9901185770750988,0.9367588932806324
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s999,ember,8,classical_only,19,0.9824561403508772,0.9
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s999,ember,10,all,23,0.9822134387351777,0.974308300395257
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s999,ember,10,classical_only,19,0.9771929824561404,0.9614035087719298
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s999,ember,12,all,23,0.8369565217391305,0.9328063241106721
m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s999,ember,12,classical_only,19,0.9280701754385964,0.9666666666666668
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s123,ember,4,all,23,0.9515810276679842,0.8952569169960475
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s123,ember,4,classical_only,19,0.9228070175438597,0.843859649122807
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s123,ember,6,all,23,0.9861660079051384,0.884387351778656
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s123,ember,6,classical_only,19,0.9824561403508772,0.8052631578947368
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s123,ember,8,all,23,0.991106719367589,0.983201581027668
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s123,ember,8,classical_only,19,0.9894736842105263,0.9824561403508772
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s123,ember,10,all,23,0.9881422924901186,0.9841897233201581
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s123,ember,10,classical_only,19,0.9912280701754386,0.9824561403508772
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s123,ember,12,all,23,0.9733201581027668,0.9812252964426879
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s123,ember,12,classical_only,19,0.9894736842105263,0.9824561403508772
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s42,ember,4,all,23,0.9515810276679842,0.8952569169960475
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s42,ember,4,classical_only,19,0.9228070175438597,0.843859649122807
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s42,ember,6,all,23,0.9861660079051384,0.884387351778656
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s42,ember,6,classical_only,19,0.9824561403508772,0.8052631578947368
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s42,ember,8,all,23,0.991106719367589,0.983201581027668
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s42,ember,8,classical_only,19,0.9894736842105263,0.9824561403508772
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s42,ember,10,all,23,0.9881422924901186,0.9841897233201581
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s42,ember,10,classical_only,19,0.9912280701754386,0.9824561403508772
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s42,ember,12,all,23,0.9733201581027668,0.9812252964426879
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s42,ember,12,classical_only,19,0.9894736842105263,0.9824561403508772
m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s999,ember,4,all,23,0.9515810276679842,0.8952569169960475
