dim,kernel,family,representation,spec_train_eff_rank,kta_train
4,linear,classical_ext_plain,plain,3.0448060151815057,0.10802501467081843
4,rbf_gscale,classical_ext_plain,plain,8.065789291029972,0.10896602462806056
4,poly2,classical_ext_plain,plain,4.953717344131593,0.10952429935553472
4,poly3,classical_ext_plain,plain,6.917663323255013,0.10876068800233853
4,laplacian_med,classical_ext_plain,plain,14.26921514204354,0.10828567539185967
4,matern15_med,classical_ext_plain,plain,6.533597171586313,0.10950005483040574
4,matern25_med,classical_ext_plain,plain,5.434440496960171,0.10897088304128093
6,linear,classical_ext_plain,plain,4.628961064772303,0.09402854456627746
6,rbf_gscale,classical_ext_plain,plain,12.06455742148074,0.09160893932498124
6,poly2,classical_ext_plain,plain,7.4349178262078714,0.09249610986184995
6,poly3,classical_ext_plain,plain,10.512328479025594,0.09245598652425303
6,laplacian_med,classical_ext_plain,plain,14.617246524372188,0.09109337486820518
6,matern15_med,classical_ext_plain,plain,7.459789158867118,0.09169245196101837
6,matern25_med,classical_ext_plain,plain,6.315842326589993,0.09092952739970608
8,linear,classical_ext_plain,plain,5.644345673454018,0.09111968865563787
8,rbf_gscale,classical_ext_plain,plain,13.197787415881285,0.08937354846209168
8,poly2,classical_ext_plain,plain,8.017901509040573,0.08933148469763184
8,poly3,classical_ext_plain,plain,11.866652618756676,0.09073656455720364
8,laplacian_med,classical_ext_plain,plain,18.34199663553082,0.09109178907861186
8,matern15_med,classical_ext_plain,plain,8.510099658232104,0.08838848451451559
8,matern25_med,classical_ext_plain,plain,7.046396705658682,0.08726162378670284
10,linear,classical_ext_plain,plain,6.751620859886223,0.09374051477024226
10,rbf_gscale,classical_ext_plain,plain,15.176938070644782,0.08983696809794697
10,poly2,classical_ext_plain,plain,8.804431234676443,0.08876366856594994
10,poly3,classical_ext_plain,plain,13.552363572121708,0.09200304267549687
10,laplacian_med,classical_ext_plain,plain,23.34550745996443,0.092046950577217
10,matern15_med,classical_ext_plain,plain,9.921180533126059,0.08789170035599914
10,matern25_med,classical_ext_plain,plain,8.055808148903143,0.08578716170295302
12,linear,classical_ext_plain,plain,7.580521222177575,0.10702103091199358
12,rbf_gscale,classical_ext_plain,plain,14.70610735638015,0.0963101744649569
12,poly2,classical_ext_plain,plain,8.850452619245313,0.10041079213753706
12,poly3,classical_ext_plain,plain,13.71642484145922,0.10097555592637761
12,laplacian_med,classical_ext_plain,plain,24.764854344299536,0.09691829574932719
12,matern15_med,classical_ext_plain,plain,10.861795073482059,0.09687429898443334
12,matern25_med,classical_ext_plain,plain,8.817611295123307,0.09597416219648118
