family,model,dim,cfg,kernel,split,c_selected,c_cv_score,fit_seconds,accuracy,balanced_accuracy,f1_macro,f1_pos,roc_auc,pr_auc,log_loss,brier,ece,mean_predictive_entropy,shots,min_eig_before_psd,fro_change_sampling,fro_change_projection,spec_train_eff_rank,kta_ood
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,id_val,1.0,0.6739391826337495,0.01545095443725586,0.6772908366533864,0.6773333333333333,0.6772703462069622,0.6798418972332015,0.7142857142857143,0.6796002600576827,,,,,128,-2.018406997680985,31.977405859460813,21.84334600880352,,
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,id_test,1.0,0.6739391826337495,0.01545095443725586,0.6465863453815262,0.6466451612903226,0.6465350367789393,0.6507936507936508,0.742774193548387,0.7184133978621385,,,,,128,-2.018406997680985,31.977405859460813,21.84334600880352,,
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,ood_test,1.0,0.6739391826337495,0.01545095443725586,0.638,0.6367632223663352,0.6366031023253387,0.6591337099811676,0.6738242782341355,0.6639034398834185,,,,,128,-2.018406997680985,31.977405859460813,21.84334600880352,,
quantum,gpc,4,zz_r1_full__as0.5__gpc__d4,zz_r1_full__as0.5,id_val,,,0.6205055713653564,0.701195219123506,0.7010793650793651,0.7008913675580342,0.691358024691358,0.7487619047619047,0.7189746201889657,0.5915677877854801,0.2033753780166527,0.07718758475144845,0.5938238579285396,128,-2.018406997680985,31.977405859460813,21.84334600880352,,
quantum,gpc,4,zz_r1_full__as0.5__gpc__d4,zz_r1_full__as0.5,id_test,,,0.6205055713653564,0.6947791164658634,0.6946451612903226,0.6943798449612404,0.6833333333333333,0.7712903225806452,0.7540236317119323,0.5734467897368067,0.1952458796495622,0.08369382576791114,0.5816176831122984,128,-2.018406997680985,31.977405859460813,21.84334600880352,,
quantum,gpc,4,zz_r1_full__as0.5__gpc__d4,zz_r1_full__as0.5,ood_test,,,0.6205055713653564,0.664,0.6641847208211238,0.6639516090317006,0.6679841897233202,0.7230788938527806,0.707017662245508,0.6146719705906973,0.21257581617227175,0.04645116626651723,0.6016158415966092,128,-2.018406997680985,31.977405859460813,21.84334600880352,,
quantum,geometry,4,zz_r1_full__as0.5__geom__d4,zz_r1_full__as0.5,ood_test,,,,,,,,,,,,,,128,-1.380295429928147,16.068467376239546,10.598271420220431,56.78939762745616,0.13386629083944657
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,id_val,0.1,0.6719280631544546,0.008494138717651367,0.6972111553784861,0.6974285714285715,0.6963967405143876,0.7121212121212122,0.7668571428571428,0.7591329787686021,,,,,512,-1.0168248594392857,16.01862231756179,10.863281478957534,,
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,id_test,0.1,0.6719280631544546,0.008494138717651367,0.6987951807228916,0.6989677419354838,0.6983085895219787,0.7104247104247104,0.7832903225806452,0.7706159891732768,,,,,512,-1.0168248594392857,16.01862231756179,10.863281478957534,,
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,ood_test,0.1,0.6719280631544546,0.008494138717651367,0.696,0.6953131254903845,0.6954103143686177,0.7088122605363985,0.7559206417831579,0.739134328935634,,,,,512,-1.0168248594392857,16.01862231756179,10.863281478957534,,
