setting,model,p1_ood_mean,p1_ood_std,p1_id_mean,p1_n_runs,p2_ood_mean,p2_n_folds,p3_ood_mean,p3_cfg,fam,n_candidates,group
m1_hist_byteent__ms123__q1000_id500_ood500,gpc,0.7410818166323198,0.0495594073837049,0.7917619784361416,15,0.7257502483219351,5,0.7531449680695258,pauli_xz_r1_full__gpc__d12,quantum,20,ember_m1
m1_hist_byteent__ms123__q1000_id500_ood500,svc,0.7215497424750416,0.05586830888468008,0.7902658198681441,15,0.7356615245433036,5,0.7496491387597507,pauli_xz_r1_full__svc__d12,quantum,20,ember_m1
m1_hist_byteent__ms123__q2000_id1000_ood1000,gpc,0.7573014104228455,0.039077296426455806,0.8020227696272263,15,0.7715554265435647,5,0.7715554265435647,pauli_xz_r1_full__gpc__d12,quantum,20,ember_m1
m1_hist_byteent__ms123__q2000_id1000_ood1000,svc,0.7494701102575032,0.03274198871485754,0.8023892976378769,15,0.7501296043128649,5,0.7562633089552322,zz_r1_full__svc__d10,quantum,20,ember_m1
m1_hist_byteent__ms123__q4000_id1800_ood1800,gpc,0.7536090149139663,0.013671495950386903,0.8035619643884132,15,0.7501133063024397,5,0.7536090149139663,zz_r2_full__gpc__d12,quantum,20,ember_m1
m1_hist_byteent__ms123__q4000_id1800_ood1800,svc,0.7460078442116058,0.01134133897598883,0.8015378012662672,15,0.7473345414235059,5,0.7534109006927415,zz_r1_full__svc__d10,quantum,20,ember_m1
m1_hist_byteent__ms42__q1000_id500_ood500,gpc,0.7427699931811099,0.010864844685610917,0.7830427560386557,15,0.7533475477627608,5,0.7603765191802214,pauli_xz_r1_full__gpc__d12,quantum,20,ember_m1
m1_hist_byteent__ms42__q1000_id500_ood500,svc,0.7399756240686597,0.008440954901665307,0.7845276415390966,15,0.7581885251091823,5,0.7581885251091822,pauli_xz_r1_full__svc__d12,quantum,20,ember_m1
m1_hist_byteent__ms42__q2000_id1000_ood1000,gpc,0.7553931127271934,0.010886429080590931,0.7939178388928306,15,0.7661351754166434,5,0.7661351754166434,zz_r1_full__gpc__d12,quantum,20,ember_m1
m1_hist_byteent__ms42__q2000_id1000_ood1000,svc,0.7491239004448597,0.00852525987611679,0.7955851961378372,15,0.7582326210665158,5,0.761362606812712,zz_r1_full__svc__d12,quantum,20,ember_m1
m1_hist_byteent__ms42__q4000_id1800_ood1800,gpc,0.7558097220183768,0.00727579129775828,0.8050957598406909,15,0.7571462922853452,5,0.7608482583954104,pauli_xz_r1_full__gpc__d12,quantum,20,ember_m1
m1_hist_byteent__ms42__q4000_id1800_ood1800,svc,0.7539791636205104,0.007143831069503223,0.8048655940970509,15,0.7538158388341376,5,0.7565260180224,zz_r1_full__svc__d12,quantum,20,ember_m1
m1_hist_byteent__ms999__q1000_id500_ood500,gpc,0.7440276177305165,0.018576739408031295,0.7823944721542246,15,0.7619463967822623,5,0.7619463967822622,pauli_xz_r1_full__gpc__d12,quantum,20,ember_m1
m1_hist_byteent__ms999__q1000_id500_ood500,svc,0.7296509401238086,0.019971143440106365,0.7755706915191359,15,0.7675182848531356,5,0.7675182848531356,pauli_xz_r1_full__svc__d12,quantum,20,ember_m1
m1_hist_byteent__ms999__q2000_id1000_ood1000,gpc,0.7506698205892667,0.01975283611160398,0.7960260193692121,15,0.7755132904414132,5,0.7755132904414133,zmap_r2__gpc__d12,quantum,20,ember_m1
m1_hist_byteent__ms999__q2000_id1000_ood1000,svc,0.7462758412358153,0.02235495562732939,0.7966061078982728,15,0.753402742481935,5,0.7622689468989866,zz_r1_full__svc__d12,quantum,20,ember_m1
m1_hist_byteent__ms999__q4000_id1800_ood1800,gpc,0.7565479949425328,0.0031628988158375207,0.8005181093922838,15,0.7369317495123634,5,0.7544431607649978,zz_r1_full__gpc__d8,quantum,20,ember_m1
m1_hist_byteent__ms999__q4000_id1800_ood1800,svc,0.7482223438464355,0.0033372900445662493,0.802290848761028,15,0.7515214897835665,5,0.7530956124416732,zz_r1_full__svc__d10,quantum,20,ember_m1
m2_hist_byteent__ms123__q1000_id500_ood500,gpc,0.7704876765141232,0.012604569149769443,0.7954293028239457,15,0.7688839816010434,5,0.7720205043059438,zz_r2_full__gpc__d12,quantum,20,ember_m2
m2_hist_byteent__ms123__q1000_id500_ood500,svc,0.7635674253437278,0.020743342723473165,0.7855219021468522,15,0.7635043466771466,5,0.7706277187143872,zz_r1_full__svc__d12,quantum,20,ember_m2
m2_hist_byteent__ms123__q2000_id1000_ood1000,gpc,0.7808749562298776,0.014883524707344822,0.7987156219085265,15,0.7794943640656263,5,0.7828050448096385,zz_r1_full__gpc__d12,quantum,20,ember_m2
m2_hist_byteent__ms123__q2000_id1000_ood1000,svc,0.7798771987156192,0.01480341475218982,0.7962160835330202,15,0.7826273631390693,5,0.7826273631390692,zz_r1_full__svc__d12,quantum,20,ember_m2
m2_hist_byteent__ms123__q4000_id1800_ood1800,gpc,0.7913670933598305,0.010093388951928179,0.793689742462568,15,0.7913458228421283,5,0.7913458228421283,zz_r2_full__gpc__d12,quantum,20,ember_m2
m2_hist_byteent__ms123__q4000_id1800_ood1800,svc,0.7940032690112767,0.006987376114010014,0.7929390258431237,15,0.7941079727224462,5,0.7941079727224462,zz_r2_full__svc__d12,quantum,20,ember_m2
m2_hist_byteent__ms42__q1000_id500_ood500,gpc,0.7563331012132506,0.013537022783485599,0.7908300612729248,15,0.7616888881798899,5,0.7637615554972812,zz_r1_full__gpc__d12,quantum,20,ember_m2
m2_hist_byteent__ms42__q1000_id500_ood500,svc,0.7586000361532552,0.01740511437323315,0.7859341880594071,15,0.7601799877572581,5,0.7626751687896095,zz_r1_full__svc__d10,quantum,20,ember_m2
m2_hist_byteent__ms42__q2000_id1000_ood1000,gpc,0.7769687400839643,0.008451370186671326,0.7895869244610242,15,0.7742091395771978,5,0.7775411888838234,zz_r2_full__gpc__d12,quantum,20,ember_m2
