tag,protocol,model,reference,scope,n_settings,wins,mean_delta,median_delta,wilcoxon_p
ember_main,p1,gpc,classical_orig,ALL,18,15,0.02641392022709541,0.030477973035792305,0.00128936767578125
ember_main,p1,gpc,classical_orig,ember_m1,9,6,0.002837184371615669,0.0004205194794877354,0.49609375
ember_main,p1,gpc,classical_orig,ember_m2,9,9,0.04999065608257515,0.040912165055344785,0.00390625
ember_main,p1,svc,classical_orig,ALL,18,14,0.03408954212580348,0.045678640082751465,0.0008392333984375
ember_main,p1,svc,classical_orig,ember_m1,9,5,0.010044003864685994,0.0035405413552597187,0.359375
ember_main,p1,svc,classical_orig,ember_m2,9,9,0.05813508038692096,0.057524270720384685,0.00390625
ember_main,p2,gpc,classical_orig,ALL,18,14,0.026332460239872648,0.030600266196508685,0.00104522705078125
ember_main,p2,gpc,classical_orig,ember_m1,9,5,0.010753378911514646,0.012866045592584863,0.42578125
ember_main,p2,gpc,classical_orig,ember_m2,9,9,0.041911541568230654,0.038441254003330205,0.00390625
ember_main,p2,svc,classical_orig,ALL,18,17,0.03720244648799894,0.04422090643586701,0.0001068115234375
ember_main,p2,svc,classical_orig,ember_m1,9,8,0.01945746377688309,0.006458076668510504,0.0546875
ember_main,p2,svc,classical_orig,ember_m2,9,9,0.054947429199114786,0.05003759284539466,0.00390625
ember_main,p3,gpc,classical_orig,ALL,18,15,0.028273618051395055,0.033921631221827564,0.0001068115234375
ember_main,p3,gpc,classical_orig,ember_m1,9,6,0.01250634054702398,0.014313588039769232,0.0546875
ember_main,p3,gpc,classical_orig,ember_m2,9,9,0.04404089555576613,0.04051392132072151,0.00390625
ember_main,p3,svc,classical_orig,ALL,18,17,0.03738456760270292,0.04255594730868606,3.814697265625e-05
ember_main,p3,svc,classical_orig,ember_m1,9,8,0.019054425939680725,0.012285476800537154,0.01953125
ember_main,p3,svc,classical_orig,ember_m2,9,9,0.05571470926572512,0.05003759284539466,0.00390625
ember_main,p1,gpc,classical_ext,ALL,18,11,-0.0005512343012556924,0.003121140754734797,0.8985748291015625
ember_main,p1,gpc,classical_ext,ember_m1,9,3,-0.008618427834397653,-0.010807846716466507,0.0546875
ember_main,p1,gpc,classical_ext,ember_m2,9,8,0.007515959231886267,0.009475123980384859,0.01171875
ember_main,p1,svc,classical_ext,ALL,18,9,-0.0026140464868783025,-0.000701489821926693,0.7987060546875
ember_main,p1,svc,classical_ext,ember_m1,9,1,-0.01219319926399625,-0.007253118587751128,0.01953125
ember_main,p1,svc,classical_ext,ember_m2,9,8,0.006965106290239646,0.008650708950518227,0.02734375
ember_main,p2,gpc,classical_ext,ALL,18,12,-3.2675710975439543e-06,0.003955247887064806,0.3692169189453125
ember_main,p2,gpc,classical_ext,ember_m1,9,3,-0.007676322145929837,-0.0037843998141713353,0.25
ember_main,p2,gpc,classical_ext,ember_m2,9,9,0.0076697870037347494,0.007093326696632651,0.00390625
ember_main,p2,svc,classical_ext,ALL,18,15,0.007921713238647599,0.008197680695008258,0.0055999755859375
ember_main,p2,svc,classical_ext,ember_m1,9,7,0.007499406487918519,0.011694548363121116,0.203125
ember_main,p2,svc,classical_ext,ember_m2,9,8,0.008344019989376679,0.007320033511701518,0.0078125
ember_main,p3,gpc,classical_ext,ALL,18,11,0.0023107233921614476,0.0028679144595396555,0.2645263671875
ember_main,p3,gpc,classical_ext,ember_m1,9,2,-0.003693379170059901,-0.00399132359073695,0.09765625
ember_main,p3,gpc,classical_ext,ember_m2,9,9,0.008314825954382796,0.010192646405840056,0.00390625
ember_main,p3,svc,classical_ext,ALL,18,15,0.0044278794649019425,0.006381584063130108,0.02684783935546875
ember_main,p3,svc,classical_ext,ember_m1,9,6,4.565001227078517e-05,0.001949288246447023,0.91015625
ember_main,p3,svc,classical_ext,ember_m2,9,9,0.0088101089175331,0.009070801073469026,0.00390625
