setting,model,p1_ood_mean,p1_ood_std,p1_id_mean,p1_n_runs,p2_ood_mean,p2_n_folds,p3_ood_mean,p3_cfg,fam,n_candidates,group
m1_hist_byteent__ms123__q1000_id500_ood500,gpc,0.7430652691447783,0.051583173320643265,0.7994833119832434,15,0.730326548451221,5,0.7532121981856026,zz_r1_full__as0.5__gpc__d10,quantum,60,ember_m1
m1_hist_byteent__ms123__q1000_id500_ood500,svc,0.7279510291146924,0.06527661229923984,0.7986271959149627,15,0.7248048449324423,5,0.7501602072855822,zz_r1_full__as0.5__svc__d10,quantum,60,ember_m1
m1_hist_byteent__ms123__q2000_id1000_ood1000,gpc,0.7460681922895909,0.03414665699078778,0.8058071255212773,15,0.7600423928011045,5,0.7715554265435647,pauli_xz_r1_full__gpc__d12,quantum,60,ember_m1
m1_hist_byteent__ms123__q2000_id1000_ood1000,svc,0.7415420708458706,0.02800829083002232,0.8095938600459897,15,0.7365535699550487,5,0.7586336741251973,zz_r1_full__as0.5__svc__d12,quantum,60,ember_m1
m1_hist_byteent__ms123__q4000_id1800_ood1800,gpc,0.7458776642204402,0.008262080385491245,0.8091398570118205,15,0.7505140427341997,5,0.756228240131498,pauli_xz_r1_full__as0.5__gpc__d12,quantum,60,ember_m1
m1_hist_byteent__ms123__q4000_id1800_ood1800,svc,0.7344103955026002,0.015751841288319902,0.8081421071210528,15,0.7415582848316312,5,0.7534109006927415,zz_r1_full__svc__d10,quantum,60,ember_m1
m1_hist_byteent__ms42__q1000_id500_ood500,gpc,0.7225532348973651,0.06407816016306957,0.7934739885814223,15,0.7419957746632417,5,0.7603765191802214,pauli_xz_r1_full__gpc__d12,quantum,60,ember_m1
m1_hist_byteent__ms42__q1000_id500_ood500,svc,0.6982425834945917,0.059945441529811946,0.7951518883954177,15,0.7468397662784091,5,0.7581885251091822,pauli_xz_r1_full__svc__d12,quantum,60,ember_m1
m1_hist_byteent__ms42__q2000_id1000_ood1000,gpc,0.7507212312286374,0.017993790929177578,0.8025429017467743,15,0.7543132935480383,5,0.7661314391540803,zz_r1_full__gpc__d12,quantum,60,ember_m1
m1_hist_byteent__ms42__q2000_id1000_ood1000,svc,0.7391467078898387,0.01232081475209681,0.799647025450555,15,0.7568728017552576,5,0.7620895705141931,zz_r2_full__as0.5__svc__d10,quantum,60,ember_m1
m1_hist_byteent__ms42__q4000_id1800_ood1800,gpc,0.753615842423872,0.0067397503960501155,0.8084314986802421,15,0.7274805750869928,5,0.7623638787678626,pauli_xz_r1_full__as0.5__gpc__d12,quantum,60,ember_m1
m1_hist_byteent__ms42__q4000_id1800_ood1800,svc,0.7360908380983315,0.025867585990037637,0.8122989903307236,15,0.7402798843192249,5,0.7565260180224,zz_r1_full__svc__d12,quantum,60,ember_m1
m1_hist_byteent__ms999__q1000_id500_ood500,gpc,0.7293869200287421,0.0397230418194338,0.789685443133187,15,0.7532030521161516,5,0.7619463967822622,pauli_xz_r1_full__gpc__d12,quantum,60,ember_m1
m1_hist_byteent__ms999__q1000_id500_ood500,svc,0.7134932777360196,0.02622280782500094,0.7835947533730274,15,0.7675182848531356,5,0.7675182848531356,pauli_xz_r1_full__svc__d12,quantum,60,ember_m1
m1_hist_byteent__ms999__q2000_id1000_ood1000,gpc,0.7505429792942327,0.02368760644323823,0.8001849173432589,15,0.7755132904414132,5,0.7755132904414133,zmap_r2__gpc__d12,quantum,60,ember_m1
m1_hist_byteent__ms999__q2000_id1000_ood1000,svc,0.7468162301914814,0.02263898933050823,0.7988095187207963,15,0.7477361398808714,5,0.7622689468989866,zz_r1_full__svc__d12,quantum,60,ember_m1
m1_hist_byteent__ms999__q4000_id1800_ood1800,gpc,0.7512994965822786,0.003583516198347612,0.8070747692046362,15,0.768034549133195,5,0.7680345491331949,zmap_r2__as0.5__gpc__d12,quantum,60,ember_m1
m1_hist_byteent__ms999__q4000_id1800_ood1800,svc,0.744332653318393,0.006406798620429833,0.8090400346474874,15,0.7657917357628752,5,0.7657917357628752,pauli_xz_r1_full__as0.5__svc__d12,quantum,60,ember_m1
m2_hist_byteent__ms123__q1000_id500_ood500,gpc,0.7629821599524715,0.013148985154779184,0.8031982892155656,15,0.7676925856125403,5,0.7727198849405568,zz_r1_full__as2__gpc__d12,quantum,60,ember_m2
m2_hist_byteent__ms123__q1000_id500_ood500,svc,0.7611085743547547,0.01863338862550281,0.7907671672230518,15,0.7714560144207956,5,0.7758806515685449,zz_r1_full__as2__svc__d12,quantum,60,ember_m2
