tag,protocol,model,reference,scope,n_settings,wins,mean_delta,median_delta,wilcoxon_p
ember_sweep_full,p1,gpc,classical_orig,ALL,18,11,0.0054063828839826834,0.0040405267124146715,0.2121429443359375
ember_sweep_full,p1,gpc,classical_orig,ember_m1,9,3,-0.006871218691341663,-0.004730199421656867,0.1640625
ember_sweep_full,p1,gpc,classical_orig,ember_m2,9,8,0.01768398445930703,0.02209238384876111,0.0078125
ember_sweep_full,p1,svc,classical_orig,ALL,18,11,0.0065312855915552965,0.012455173589924429,0.2121429443359375
ember_sweep_full,p1,svc,classical_orig,ember_m1,9,2,-0.014345658357783219,-0.006741988801009957,0.09765625
ember_sweep_full,p1,svc,classical_orig,ember_m2,9,9,0.02740822954089381,0.025055469794687313,0.00390625
ember_sweep_full,p2,gpc,classical_orig,ALL,18,14,0.011553779906127092,0.010535804397869886,0.0076904296875
ember_sweep_full,p2,gpc,classical_orig,ember_m1,9,5,0.0019405202364122982,0.005124317376962173,0.91015625
ember_sweep_full,p2,gpc,classical_orig,ember_m2,9,9,0.021167039575841887,0.024155634375999435,0.00390625
ember_sweep_full,p2,svc,classical_orig,ALL,18,15,0.01511688127975889,0.020208677974350886,0.00128936767578125
ember_sweep_full,p2,svc,classical_orig,ember_m1,9,6,0.006951506911897375,0.0026685452762236217,0.30078125
ember_sweep_full,p2,svc,classical_orig,ember_m2,9,9,0.023282255647620407,0.02601220866563614,0.00390625
ember_sweep_full,p3,gpc,classical_orig,ALL,18,17,0.013358237491462779,0.010375584962128814,2.288818359375e-05
ember_sweep_full,p3,gpc,classical_orig,ember_m1,9,8,0.005549073893698643,0.007183874452078465,0.01171875
ember_sweep_full,p3,gpc,classical_orig,ember_m2,9,9,0.021167401089226916,0.02174677027645422,0.00390625
ember_sweep_full,p3,svc,classical_orig,ALL,18,18,0.01630064633816712,0.014779918552661309,7.62939453125e-06
ember_sweep_full,p3,svc,classical_orig,ember_m1,9,9,0.00843664182922483,0.0050976533478980235,0.00390625
ember_sweep_full,p3,svc,classical_orig,ember_m2,9,9,0.024164650847109417,0.027230123801671002,0.00390625
ember_sweep_full,p1,gpc,classical_ext,ALL,18,10,-0.0012308229274582724,0.0004461170818207405,1.0
ember_sweep_full,p1,gpc,classical_ext,ember_m1,9,5,-0.0034039071696972587,0.0005556219318659794,0.8203125
ember_sweep_full,p1,gpc,classical_ext,ember_m2,9,5,0.0009422613147807137,0.0003366122317755016,0.65234375
ember_sweep_full,p1,svc,classical_ext,ALL,18,6,-0.007407108819317116,-0.0042525509400532235,0.04827880859375
ember_sweep_full,p1,svc,classical_ext,ember_m1,9,2,-0.012879977362888742,-0.008560485823229325,0.12890625
ember_sweep_full,p1,svc,classical_ext,ember_m2,9,4,-0.0019342402757454888,-0.003801070569048437,0.359375
ember_sweep_full,p2,gpc,classical_ext,ALL,18,10,-0.0004263686822248733,0.002816068790405468,0.8985748291015625
ember_sweep_full,p2,gpc,classical_ext,ember_m1,9,3,-0.005178291438454102,-0.008040158006441978,0.42578125
ember_sweep_full,p2,gpc,classical_ext,ember_m2,9,7,0.004325554074004355,0.005622452169366854,0.07421875
ember_sweep_full,p2,svc,classical_ext,ALL,18,5,-0.0038040167731274474,-0.004393450895841866,0.15404510498046875
ember_sweep_full,p2,svc,classical_ext,ember_m1,9,3,-0.004333623715180053,-0.002752035457719182,0.42578125
ember_sweep_full,p2,svc,classical_ext,ember_m2,9,2,-0.0032744098310748416,-0.005036344475849552,0.12890625
ember_sweep_full,p3,gpc,classical_ext,ALL,18,10,0.0007591677770398696,0.0015884205445319544,0.468292236328125
ember_sweep_full,p3,gpc,classical_ext,ember_m1,9,3,-0.0021310023202200596,-0.0013720983732051772,0.42578125
ember_sweep_full,p3,gpc,classical_ext,ember_m2,9,7,0.0036493378742997987,0.004181166096665079,0.02734375
ember_sweep_full,p3,svc,classical_ext,ALL,18,4,-0.003007934378155651,-0.002928120512035781,0.00193023681640625
ember_sweep_full,p3,svc,classical_ext,ember_m1,9,2,-0.003394432441214623,-0.003305657399213957,0.0546875
ember_sweep_full,p3,svc,classical_ext,ember_m2,9,2,-0.0026214363150966788,-0.0025505836248576053,0.01953125
