tag,protocol,model,reference,scope,n,mean_delta,ci_lo,ci_hi,stat,perm_p,lodo_min,lodo_max
ember_main,p1,gpc,classical_orig,ember_m1,9,0.002837184371615669,-0.0018230776283392203,0.008752837826539593,group_mean,,,
ember_main,p1,gpc,classical_orig,ember_m2,9,0.04999065608257515,0.04228291927861697,0.05816611593812569,group_mean,,,
ember_main,p1,gpc,classical_orig,HIER,18,0.02641392022709541,,,hier_T,0.0010998900109989002,,
ember_main,p1,svc,classical_orig,ember_m1,9,0.010044003864685994,-0.0017495786191442965,0.024346639305017435,group_mean,,,
ember_main,p1,svc,classical_orig,ember_m2,9,0.05813508038692096,0.05133394393574248,0.06493972299395995,group_mean,,,
ember_main,p1,svc,classical_orig,HIER,18,0.03408954212580348,,,hier_T,0.0006999300069993001,,
ember_main,p2,gpc,classical_orig,ember_m1,9,0.010753378911514646,-0.004995243647992256,0.028606116413459386,group_mean,,,
ember_main,p2,gpc,classical_orig,ember_m2,9,0.041911541568230654,0.035141837991640335,0.050131678245082655,group_mean,,,
ember_main,p2,gpc,classical_orig,HIER,18,0.026332460239872648,,,hier_T,0.0011998800119988001,,
ember_main,p2,svc,classical_orig,ember_m1,9,0.01945746377688309,0.0036585627861870484,0.03927772357762239,group_mean,,,
ember_main,p2,svc,classical_orig,ember_m2,9,0.054947429199114786,0.04785289053475167,0.06259639190231892,group_mean,,,
ember_main,p2,svc,classical_orig,HIER,18,0.03720244648799894,,,hier_T,9.999000099990002e-05,,
ember_main,p3,gpc,classical_orig,ember_m1,9,0.01250634054702398,0.0035783831622289643,0.021806590178275017,group_mean,,,
ember_main,p3,gpc,classical_orig,ember_m2,9,0.04404089555576613,0.037648114918672766,0.05150629625979615,group_mean,,,
ember_main,p3,gpc,classical_orig,HIER,18,0.028273618051395055,,,hier_T,9.999000099990002e-05,,
ember_main,p3,svc,classical_orig,ember_m1,9,0.019054425939680725,0.008090209813666059,0.03072391256790115,group_mean,,,
ember_main,p3,svc,classical_orig,ember_m2,9,0.05571470926572512,0.04857834103751204,0.06375581090293107,group_mean,,,
ember_main,p3,svc,classical_orig,HIER,18,0.03738456760270292,,,hier_T,0.00019998000199980003,,
ember_main,p1,gpc,classical_ext,ember_m1,9,-0.008618427834397653,-0.015081760384229316,-0.0019494893550878343,group_mean,,,
ember_main,p1,gpc,classical_ext,ember_m2,9,0.007515959231886267,0.0039249028410636745,0.01043288837262156,group_mean,,,
ember_main,p1,gpc,classical_ext,HIER,18,-0.0005512343012556924,,,hier_T,0.8467153284671532,,
ember_main,p1,svc,classical_ext,ember_m1,9,-0.01219319926399625,-0.02134776988834302,-0.004137734099505792,group_mean,,,
ember_main,p1,svc,classical_ext,ember_m2,9,0.006965106290239646,0.00267873624504759,0.011356736456454568,group_mean,,,
ember_main,p1,svc,classical_ext,HIER,18,-0.0026140464868783025,,,hier_T,0.46935306469353066,,
ember_main,p2,gpc,classical_ext,ember_m1,9,-0.007676322145929837,-0.017540870635702362,0.0010055455493999726,group_mean,,,
ember_main,p2,gpc,classical_ext,ember_m2,9,0.0076697870037347494,0.005432824253076602,0.00986575352922923,group_mean,,,
