setting,model,p1_ood_mean,p1_ood_std,p1_id_mean,p1_n_runs,p2_ood_mean,p2_n_folds,p3_ood_mean,p3_cfg,fam,n_candidates,group
toniot_scanning__m2_centroid__ms123__q1000_id500_ood500,gpc,0.9545665744545835,0.007501574929804936,0.9888484637339681,15,0.9557079709549855,5,0.95829683791792,zz_r1_full__gpc__d10,quantum,20,toniot_scanning_m2_centroid
toniot_scanning__m2_centroid__ms123__q1000_id500_ood500,svc,0.9547200295694227,0.011665538667938978,0.9909347895660985,15,0.9559826457218646,5,0.9588139246124656,zz_r1_full__svc__d8,quantum,20,toniot_scanning_m2_centroid
toniot_scanning__m2_centroid__ms123__q2000_id1000_ood1000,gpc,0.953464152955645,0.009752774450908601,0.9924901416599028,15,0.955478881690279,5,0.9578066591985839,zz_r1_full__gpc__d12,quantum,20,toniot_scanning_m2_centroid
toniot_scanning__m2_centroid__ms123__q2000_id1000_ood1000,svc,0.9532384411191157,0.008261948481134209,0.9931620062080039,15,0.9519938711872846,5,0.9576083179026488,zz_r1_full__svc__d6,quantum,20,toniot_scanning_m2_centroid
toniot_scanning__m2_centroid__ms123__q4000_id1800_ood1800,gpc,0.9582406168322978,0.0026420061756403613,0.9938869100763413,15,0.958550334330791,5,0.9596507630482786,zz_r1_full__gpc__d10,quantum,20,toniot_scanning_m2_centroid
toniot_scanning__m2_centroid__ms123__q4000_id1800_ood1800,svc,0.9583289218825526,0.0023157111196506056,0.9939969210774413,15,0.9551247283037769,5,0.9586562809873282,zz_r1_full__svc__d8,quantum,20,toniot_scanning_m2_centroid
toniot_scanning__m2_centroid__ms42__q1000_id500_ood500,gpc,0.9494951928697061,0.014269326490231845,0.9875610638583506,15,0.9512103771835647,5,0.9542292451080931,zz_r1_full__gpc__d8,quantum,20,toniot_scanning_m2_centroid
toniot_scanning__m2_centroid__ms42__q1000_id500_ood500,svc,0.9450145946303314,0.011787114706850373,0.9904075508461739,15,0.9510425961530263,5,0.9543348329773048,zz_r1_full__svc__d6,quantum,20,toniot_scanning_m2_centroid
toniot_scanning__m2_centroid__ms42__q2000_id1000_ood1000,gpc,0.9527172905203876,0.009011418601122822,0.989017940894257,15,0.9516920787921818,5,0.957112255145113,zz_r1_full__gpc__d12,quantum,20,toniot_scanning_m2_centroid
toniot_scanning__m2_centroid__ms42__q2000_id1000_ood1000,svc,0.951358441654664,0.005275618910132117,0.9923671562610167,15,0.9582641159119267,5,0.9582641159119267,zz_r1_full__svc__d10,quantum,20,toniot_scanning_m2_centroid
toniot_scanning__m2_centroid__ms42__q4000_id1800_ood1800,gpc,0.9602207688275054,0.007277238551131271,0.9910934240657819,15,0.9627882120467215,5,0.964457287110292,zz_r1_full__gpc__d8,quantum,20,toniot_scanning_m2_centroid
toniot_scanning__m2_centroid__ms42__q4000_id1800_ood1800,svc,0.9607154790971453,0.005244219633007676,0.9918633994831851,15,0.9611861543805459,5,0.9636504607582101,zz_r1_full__svc__d8,quantum,20,toniot_scanning_m2_centroid
toniot_scanning__m2_centroid__ms999__q1000_id500_ood500,gpc,0.9539470508862831,0.008101052756948663,0.9927630935080365,15,0.9513607694844204,5,0.9541678881067877,zz_r1_full__gpc__d10,quantum,20,toniot_scanning_m2_centroid
toniot_scanning__m2_centroid__ms999__q1000_id500_ood500,svc,0.9571225808333634,0.0025859526550100964,0.9952097177877082,15,0.9571739914110898,5,0.9571739914110897,zz_r1_full__svc__d10,quantum,20,toniot_scanning_m2_centroid
toniot_scanning__m2_centroid__ms999__q2000_id1000_ood1000,gpc,0.9574793971196223,0.006796425569819994,0.9894380433723995,15,0.9569122537419092,5,0.960629152329329,zz_r1_full__gpc__d10,quantum,20,toniot_scanning_m2_centroid
toniot_scanning__m2_centroid__ms999__q2000_id1000_ood1000,svc,0.9599206553191603,0.005249671361945851,0.9898555326769369,15,0.9621850401656505,5,0.9621850401656507,zz_r1_full__svc__d8,quantum,20,toniot_scanning_m2_centroid
toniot_scanning__m2_centroid__ms999__q4000_id1800_ood1800,gpc,0.9670950599827445,0.0018199838570084432,0.9917863524827749,15,0.9672686576516132,5,0.9679791796464483,zz_r1_full__gpc__d10,quantum,20,toniot_scanning_m2_centroid
toniot_scanning__m2_centroid__ms999__q4000_id1800_ood1800,svc,0.9674291717105501,0.004040666530278574,0.9921129594201523,15,0.9684494223258675,5,0.9687755758045892,zz_r1_full__svc__d10,quantum,20,toniot_scanning_m2_centroid
toniot_scanning__natural_cur__ms123__q1000_id500_ood500,gpc,0.9851702026564187,0.007437669291066401,0.9824994510770251,15,0.992037311898283,5,0.9920373118982829,zz_r1_full__gpc__d8,quantum,20,toniot_scanning_natural_cur
toniot_scanning__natural_cur__ms123__q1000_id500_ood500,svc,0.959025991406198,0.05865118409169664,0.9861499585460274,15,0.9916614329572246,5,0.9920780996238913,zz_r1_full__svc__d12,quantum,20,toniot_scanning_natural_cur
toniot_scanning__natural_cur__ms123__q2000_id1000_ood1000,gpc,0.9892530432877715,0.004474148909395574,0.9826484351359017,15,0.9919483509506744,5,0.9925342884506744,zz_r1_full__gpc__d10,quantum,20,toniot_scanning_natural_cur
toniot_scanning__natural_cur__ms123__q2000_id1000_ood1000,svc,0.9670339229322729,0.014804521059606605,0.9830245703573591,15,0.9892572897398042,5,0.9917156599628293,zmap_r2__svc__d10,quantum,20,toniot_scanning_natural_cur
toniot_scanning__natural_cur__ms123__q4000_id1800_ood1800,gpc,0.9899020243496038,0.0041394489127071395,0.9862214462905707,15,0.991918692299144,5,0.991918692299144,zz_r1_full__gpc__d12,quantum,20,toniot_scanning_natural_cur
toniot_scanning__natural_cur__ms123__q4000_id1800_ood1800,svc,0.9499747099235655,0.008333647026124776,0.9861029370911887,15,0.9892786203826887,5,0.9913879067365112,zmap_r2__svc__d12,quantum,20,toniot_scanning_natural_cur
toniot_scanning__natural_cur__ms42__q1000_id500_ood500,gpc,0.9809424295785779,0.009592856624601659,0.9815946940679784,15,0.9898395317399103,5,0.9898395317399103,zz_r1_full__gpc__d8,quantum,20,toniot_scanning_natural_cur
toniot_scanning__natural_cur__ms42__q1000_id500_ood500,svc,0.9704368014976337,0.018516604128886914,0.98626913037483,15,0.9867453264538785,5,0.9875634786433918,zz_r1_full__svc__d10,quantum,20,toniot_scanning_natural_cur
toniot_scanning__natural_cur__ms42__q2000_id1000_ood1000,gpc,0.9818466701116735,0.010009460823957891,0.9847361459333477,15,0.9879831871132178,5,0.990565280068564,zz_r1_full__gpc__d10,quantum,20,toniot_scanning_natural_cur
toniot_scanning__natural_cur__ms42__q2000_id1000_ood1000,svc,0.9755411883264892,0.017706235124263038,0.9858358430905673,15,0.9881661516443572,5,0.9903643437692963,zz_r1_full__svc__d12,quantum,20,toniot_scanning_natural_cur
toniot_scanning__natural_cur__ms42__q4000_id1800_ood1800,gpc,0.9796298660067738,0.015862978389271438,0.9834500626090853,15,0.9918934706849323,5,0.991893470684932,zz_r1_full__gpc__d12,quantum,20,toniot_scanning_natural_cur
