feature,auc_mean_across_seeds,auc_min,auc_max,n_seeds
sel_eff_rank_q,0.893,0.839,0.946,5
sel_kta_ood_q_minus_c,0.714,0.679,0.768,5
fam_kta_ood_best_q_minus_best_c,0.657,0.607,0.714,5
fam_eff_rank_max_q,0.646,0.589,0.714,5
fam_kta_train_best_q_minus_best_c,0.6,0.536,0.696,5
fam_kta_id_best_q_minus_best_c,0.589,0.375,0.839,5
fam_gd_median_lam1e-4,0.471,0.143,0.679,5
apriori_gd1e-2_vs_rbf_at_best_train_kta,0.414,0.25,0.554,5
apriori_eff_rank_q_at_best_train_kta,0.382,0.339,0.429,5
fam_novelty_ratio_mean_q_minus_c,0.357,0.286,0.411,5
sel_gd_lam1e-4,0.35,0.268,0.411,5
sel_kta_drop_q_minus_c,0.275,0.143,0.375,5
sel_gd_lam1e-2,0.257,0.196,0.304,5
sel_novelty_ratio_q_minus_c,0.214,0.161,0.268,5
