feature,spearman_rho_vs_delta_ood,spearman_p,pearson_r,pearson_p,auc_quantum_vs_classical_wins,mannwhitney_p,perfect_threshold_separation
sel_eff_rank_q,0.49,0.0389,0.608,0.0074,0.893,0.0176,False
sel_kta_drop_q_minus_c,-0.443,0.0658,-0.531,0.0234,0.143,0.0346,False
sel_novelty_ratio_q_minus_c,-0.193,0.4429,-0.321,0.1941,0.25,0.1575,False
fam_kta_ood_best_q_minus_best_c,0.271,0.276,0.188,0.456,0.714,0.2327,False
sel_gd_lam1e-2,-0.098,0.6987,-0.385,0.1145,0.304,0.2771,False
sel_kta_ood_q_minus_c,0.381,0.119,0.328,0.1838,0.696,0.2771,False
fam_gd_median_lam1e-4,0.181,0.4733,0.084,0.7407,0.679,0.3275,False
fam_novelty_ratio_mean_q_minus_c,-0.067,0.7914,-0.101,0.6904,0.339,0.3817,False
fam_eff_rank_max_q,0.038,0.8804,0.121,0.6331,0.607,0.5739,False
sel_gd_lam1e-4,-0.009,0.9708,0.039,0.8794,0.393,0.5739,False
fam_kta_id_best_q_minus_best_c,-0.176,0.4836,-0.092,0.716,0.589,0.6451,False
fam_kta_train_best_q_minus_best_c,-0.034,0.8933,-0.046,0.855,0.571,0.7209,False
