group,model,scope,predictor,kind,n_units,median_rho,frac_pos
ember_m1,gpc,all,kta_drop_id_to_ood,diagnostic,45,-0.6471635150166852,0.0
ember_m1,gpc,all,kta_id,honest,45,-0.0028921023359288096,0.4888888888888889
ember_m1,gpc,all,kta_ood,diagnostic,45,0.7219132369299222,0.9777777777777777
ember_m1,gpc,all,kta_train,honest,45,-0.09543937708565071,0.4
ember_m1,gpc,all,ood_novelty_ratio,label_free,45,-0.7130144605116796,0.022222222222222223
ember_m1,gpc,all,spec_train_eff_rank,honest,45,0.6502780867630701,0.9777777777777777
ember_m1,gpc,quantum,kta_drop_id_to_ood,diagnostic,45,-0.5969924812030075,0.044444444444444446
ember_m1,gpc,quantum,kta_id,honest,45,-0.12481203007518797,0.3111111111111111
ember_m1,gpc,quantum,kta_ood,diagnostic,45,0.6694246430534136,0.9777777777777777
ember_m1,gpc,quantum,kta_train,honest,45,-0.23308270676691725,0.24444444444444444
ember_m1,gpc,quantum,ood_novelty_ratio,label_free,45,-0.6060150375939849,0.022222222222222223
ember_m1,gpc,quantum,spec_train_eff_rank,honest,45,0.5624060150375939,0.9777777777777777
ember_m1,svc,all,kta_drop_id_to_ood,diagnostic,45,-0.6418242491657397,0.0
ember_m1,svc,all,kta_id,honest,45,0.02736678179132688,0.5777777777777777
ember_m1,svc,all,kta_ood,diagnostic,45,0.7441601779755282,0.9777777777777777
ember_m1,svc,all,kta_train,honest,45,-0.12526421258956935,0.4666666666666667
ember_m1,svc,all,ood_novelty_ratio,label_free,45,-0.735120707630439,0.044444444444444446
ember_m1,svc,all,spec_train_eff_rank,honest,45,0.6969966629588431,0.9555555555555556
ember_m1,svc,quantum,kta_drop_id_to_ood,diagnostic,45,-0.6526315789473683,0.06666666666666667
ember_m1,svc,quantum,kta_id,honest,45,-0.13533834586466165,0.26666666666666666
ember_m1,svc,quantum,kta_ood,diagnostic,45,0.669172932330827,0.9555555555555556
ember_m1,svc,quantum,kta_train,honest,45,-0.1969924812030075,0.28888888888888886
ember_m1,svc,quantum,ood_novelty_ratio,label_free,45,-0.669172932330827,0.06666666666666667
ember_m1,svc,quantum,spec_train_eff_rank,honest,45,0.6240601503759398,0.9333333333333333
ember_m2,gpc,all,kta_drop_id_to_ood,diagnostic,45,-0.6378197997775306,0.022222222222222223
ember_m2,gpc,all,kta_id,honest,45,-0.21245828698553948,0.3333333333333333
ember_m2,gpc,all,kta_ood,diagnostic,45,0.5141268075639599,0.8
ember_m2,gpc,all,kta_train,honest,45,-0.16889185998905584,0.4222222222222222
ember_m2,gpc,all,ood_novelty_ratio,label_free,45,-0.8371523915461624,0.0
ember_m2,gpc,all,spec_train_eff_rank,honest,45,0.8839693012759486,1.0
ember_m2,gpc,quantum,kta_drop_id_to_ood,diagnostic,45,-0.5022556390977443,0.08888888888888889
ember_m2,gpc,quantum,kta_id,honest,45,-0.17744360902255638,0.3111111111111111
ember_m2,gpc,quantum,kta_ood,diagnostic,45,0.23308270676691725,0.6444444444444445
ember_m2,gpc,quantum,kta_train,honest,45,-0.1985709053551699,0.3333333333333333
ember_m2,gpc,quantum,ood_novelty_ratio,label_free,45,-0.7548872180451127,0.0
ember_m2,gpc,quantum,spec_train_eff_rank,honest,45,0.8360902255639097,1.0
ember_m2,svc,all,kta_drop_id_to_ood,diagnostic,45,-0.646718576195773,0.022222222222222223
ember_m2,svc,all,kta_id,honest,45,-0.21423804226918797,0.37777777777777777
ember_m2,svc,all,kta_ood,diagnostic,45,0.5333185036895165,0.8
ember_m2,svc,all,kta_train,honest,45,-0.10190232569453422,0.4
ember_m2,svc,all,ood_novelty_ratio,label_free,45,-0.8737345698743143,0.0
