source,setting,qs,model,scope,predictor,kind,rho,n_cells,group
ember,m1_hist_byteent__ms123__q1000_id500_ood500,7,gpc,all,kta_ood,diagnostic,-0.015350389321468297,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,7,gpc,all,kta_drop_id_to_ood,diagnostic,-0.06162402669632924,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,7,gpc,all,kta_train,honest,-0.047385984427141266,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,7,gpc,all,kta_id,honest,-0.005116796440489433,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,7,gpc,all,spec_train_eff_rank,honest,-0.12124582869855395,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,7,gpc,all,ood_novelty_ratio,label_free,0.04471635150166852,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,7,gpc,quantum,kta_ood,diagnostic,0.26766917293233083,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,7,gpc,quantum,kta_drop_id_to_ood,diagnostic,-0.27368421052631575,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,7,gpc,quantum,kta_train,honest,-0.14586466165413534,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,7,gpc,quantum,kta_id,honest,-0.12180451127819547,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,7,gpc,quantum,spec_train_eff_rank,honest,0.23157894736842105,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,7,gpc,quantum,ood_novelty_ratio,label_free,-0.22556390977443608,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,7,svc,all,kta_ood,diagnostic,-0.007341490545050056,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,7,svc,all,kta_drop_id_to_ood,diagnostic,-0.10522803114571745,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,7,svc,all,kta_train,honest,-0.2956618464961067,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,7,svc,all,kta_id,honest,-0.19555061179087874,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,7,svc,all,spec_train_eff_rank,honest,-0.08298109010011123,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,7,svc,all,ood_novelty_ratio,label_free,0.23159065628476083,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,7,svc,quantum,kta_ood,diagnostic,0.10676691729323308,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,7,svc,quantum,kta_drop_id_to_ood,diagnostic,-0.1263157894736842,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,7,svc,quantum,kta_train,honest,-0.10375939849624059,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,7,svc,quantum,kta_id,honest,-0.09022556390977443,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,7,svc,quantum,spec_train_eff_rank,honest,0.051127819548872175,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,7,svc,quantum,ood_novelty_ratio,label_free,0.14586466165413534,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,42,gpc,all,kta_ood,diagnostic,0.8020022246941045,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,42,gpc,all,kta_drop_id_to_ood,diagnostic,-0.7219132369299222,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,42,gpc,all,kta_train,honest,-0.2600667408231368,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,42,gpc,all,kta_id,honest,-0.0878754171301446,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,42,gpc,all,spec_train_eff_rank,honest,0.7459399332591768,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,42,gpc,all,ood_novelty_ratio,label_free,-0.6511679644048943,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,42,gpc,quantum,kta_ood,diagnostic,0.7458646616541353,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,42,gpc,quantum,kta_drop_id_to_ood,diagnostic,-0.6781954887218045,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,42,gpc,quantum,kta_train,honest,-0.23609022556390977,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,42,gpc,quantum,kta_id,honest,-0.512781954887218,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,42,gpc,quantum,spec_train_eff_rank,honest,0.6646616541353383,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,42,gpc,quantum,ood_novelty_ratio,label_free,-0.5503759398496241,20,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,42,svc,all,kta_ood,diagnostic,0.7526140155728587,30,ember_m1
ember,m1_hist_byteent__ms123__q1000_id500_ood500,42,svc,all,kta_drop_id_to_ood,diagnostic,-0.6418242491657397,30,ember_m1
