family,model,dim,cfg,kernel,split,regularization,c_selected,c_cv_score,fit_seconds,accuracy,balanced_accuracy,f1_macro,f1_pos,roc_auc,pr_auc,feature_policy,n_input_features,n_retained_features,n_removed_features,removed_features,id_split_hash_salt
classical_ext,svc,4,linear__svc__d4,linear,id_val,fixed_c1,1.0,,0.0060007572174072266,0.8366533864541833,0.8368571428571429,0.8362791733617576,0.844106463878327,0.9265396825396826,0.9216568998103188,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,linear__svc__d4,linear,id_test,fixed_c1,1.0,,0.0060007572174072266,0.8032128514056225,0.8035161290322581,0.8021790943139258,0.8164794007490637,0.9069032258064516,0.8787476164726438,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,linear__svc__d4,linear,ood_test,fixed_c1,1.0,,0.0060007572174072266,0.492,0.48510031864982145,0.4551694551694552,0.31351351351351353,0.7914044610975005,0.7393071239834971,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,rbf_gscale__svc__d4,rbf_gscale,id_val,fixed_c1,1.0,,0.0050847530364990234,0.8924302788844621,0.8924444444444444,0.8924302788844621,0.8924302788844621,0.9509206349206349,0.9389249093376443,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,rbf_gscale__svc__d4,rbf_gscale,id_test,fixed_c1,1.0,,0.0050847530364990234,0.8674698795180723,0.867516129032258,0.867461328773973,0.8685258964143426,0.9494838709677419,0.9307846709417862,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,rbf_gscale__svc__d4,rbf_gscale,ood_test,fixed_c1,1.0,,0.0050847530364990234,0.804,0.8036220396791084,0.803745654368061,0.7966804979253111,0.8398424364701926,0.6891163869451838,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,poly2__svc__d4,poly2,id_val,fixed_c1,1.0,,0.009176492691040039,0.8844621513944223,0.8844761904761904,0.8844621513944223,0.8844621513944223,0.9455238095238094,0.9455880930762111,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,poly2__svc__d4,poly2,id_test,fixed_c1,1.0,,0.009176492691040039,0.8554216867469879,0.855516129032258,0.8553633664644378,0.8582677165354331,0.9349677419354838,0.9261642670100543,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,poly2__svc__d4,poly2,ood_test,fixed_c1,1.0,,0.009176492691040039,0.53,0.5220652991945686,0.48419439944863674,0.33048433048433046,0.8447422779459096,0.7726189548423271,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,poly3__svc__d4,poly3,id_val,fixed_c1,1.0,,0.008140325546264648,0.8884462151394422,0.8884444444444444,0.8884444444444444,0.888,0.9541587301587301,0.953023379547058,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,poly3__svc__d4,poly3,id_test,fixed_c1,1.0,,0.008140325546264648,0.8674698795180723,0.867516129032258,0.867461328773973,0.8685258964143426,0.9392258064516129,0.9226009914989229,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,poly3__svc__d4,poly3,ood_test,fixed_c1,1.0,,0.008140325546264648,0.542,0.5337384509455413,0.493306781723642,0.336231884057971,0.8388016204704488,0.690741469507795,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,laplacian_med__svc__d4,laplacian_med,id_val,fixed_c1,1.0,,0.0050008296966552734,0.9561752988047809,0.9561904761904761,0.9561752988047809,0.9561752988047809,0.9745396825396826,0.9695598865498505,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,laplacian_med__svc__d4,laplacian_med,id_test,fixed_c1,1.0,,0.0050008296966552734,0.963855421686747,0.9639354838709677,0.9638460917964023,0.9644268774703557,0.9986451612903225,0.998697219078698,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,laplacian_med__svc__d4,laplacian_med,ood_test,fixed_c1,1.0,,0.0050008296966552734,0.95,0.9513618677042801,0.9499757882815283,0.9510763209393346,0.9933547901554819,0.974472853173511,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,matern15_med__svc__d4,matern15_med,id_val,fixed_c1,1.0,,0.006006717681884766,0.8924302788844621,0.8924444444444444,0.8924302788844621,0.8924302788844621,0.9648253968253968,0.9604675381581993,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,matern15_med__svc__d4,matern15_med,id_test,fixed_c1,1.0,,0.006006717681884766,0.8714859437751004,0.8715483870967742,0.8714672861014324,0.873015873015873,0.9789032258064516,0.9803384480811229,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,matern15_med__svc__d4,matern15_med,ood_test,fixed_c1,1.0,,0.006006717681884766,0.82,0.8200829450289027,0.8199279711884754,0.8163265306122449,0.8620998863108678,0.7787559717248823,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,matern25_med__svc__d4,matern25_med,id_val,fixed_c1,1.0,,0.004999637603759766,0.8924302788844621,0.8924444444444444,0.8924302788844621,0.8924302788844621,0.9543492063492063,0.9454689870200154,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,matern25_med__svc__d4,matern25_med,id_test,fixed_c1,1.0,,0.004999637603759766,0.8674698795180723,0.867516129032258,0.867461328773973,0.8685258964143426,0.9436129032258065,0.9213409402549341,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,matern25_med__svc__d4,matern25_med,ood_test,fixed_c1,1.0,,0.004999637603759766,0.548,0.5402475540824005,0.5058683598327823,0.3615819209039548,0.8362075867480104,0.6847559769110145,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,rbf_gscale_x0.1__svc__d4,rbf_gscale_x0.1,id_val,fixed_c1,1.0,,0.005515098571777344,0.8366533864541833,0.8368571428571429,0.8362791733617576,0.844106463878327,0.9361269841269841,0.9320325036414276,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,rbf_gscale_x0.1__svc__d4,rbf_gscale_x0.1,id_test,fixed_c1,1.0,,0.005515098571777344,0.8032128514056225,0.8035161290322581,0.8021790943139258,0.8164794007490637,0.9239354838709677,0.9155281785393679,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,rbf_gscale_x0.1__svc__d4,rbf_gscale_x0.1,ood_test,fixed_c1,1.0,,0.005515098571777344,0.492,0.48510031864982145,0.4551694551694552,0.31351351351351353,0.7929576788201952,0.7356240157233606,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,rbf_gscale_x0.3__svc__d4,rbf_gscale_x0.3,id_val,fixed_c1,1.0,,0.004771709442138672,0.8804780876494024,0.8805079365079365,0.8804761904761904,0.8809523809523809,0.9477460317460317,0.9439448266689667,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,rbf_gscale_x0.3__svc__d4,rbf_gscale_x0.3,id_test,fixed_c1,1.0,,0.004771709442138672,0.8594377510040161,0.859516129032258,0.8594014680971203,0.8616600790513834,0.9241935483870969,0.8987692512303285,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,rbf_gscale_x0.3__svc__d4,rbf_gscale_x0.3,ood_test,fixed_c1,1.0,,0.004771709442138672,0.54,0.5317929256537125,0.491789079210196,0.3352601156069364,0.832556724471986,0.6804649647948665,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,rbf_gscale_x3__svc__d4,rbf_gscale_x3,id_val,fixed_c1,1.0,,0.005999565124511719,0.9282868525896414,0.9284761904761905,0.9281488549618321,0.9312977099236641,0.9733968253968254,0.9713059302745257,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,rbf_gscale_x3__svc__d4,rbf_gscale_x3,id_test,fixed_c1,1.0,,0.005999565124511719,0.927710843373494,0.9279999999999999,0.9273723100855586,0.9323308270676691,0.9856774193548387,0.9865793014876486,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,rbf_gscale_x3__svc__d4,rbf_gscale_x3,ood_test,fixed_c1,1.0,,0.005999565124511719,0.906,0.9085603112840467,0.9055887445713529,0.9118198874296435,0.91748731005108,0.8846060955540407,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,rbf_gscale_x10__svc__d4,rbf_gscale_x10,id_val,fixed_c1,1.0,,0.005001068115234375,0.9282868525896414,0.9284761904761905,0.9281488549618321,0.9312977099236641,0.972888888888889,0.9627329141326487,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,rbf_gscale_x10__svc__d4,rbf_gscale_x10,id_test,fixed_c1,1.0,,0.005001068115234375,0.927710843373494,0.9279999999999999,0.9273723100855586,0.9323308270676691,0.9963870967741935,0.9964567934440609,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,rbf_gscale_x10__svc__d4,rbf_gscale_x10,ood_test,fixed_c1,1.0,,0.005001068115234375,0.906,0.9085603112840467,0.9055887445713529,0.9118198874296435,0.996156987077869,0.9958001283369102,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,laplacian_med_x0.1__svc__d4,laplacian_med_x0.1,id_val,fixed_c1,1.0,,0.004998683929443359,0.9760956175298805,0.9760634920634921,0.9760922021844044,0.9758064516129032,0.9800000000000001,0.98472726777893,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,laplacian_med_x0.1__svc__d4,laplacian_med_x0.1,id_test,fixed_c1,1.0,,0.004998683929443359,0.9879518072289156,0.9879032258064516,0.9879486972654674,0.9877551020408163,0.9990967741935485,0.9991697175235649,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,laplacian_med_x0.1__svc__d4,laplacian_med_x0.1,ood_test,fixed_c1,1.0,,0.004998683929443359,0.988,0.9882147603721317,0.9879951980792316,0.9877551020408163,0.9926182126787401,0.986371762269384,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,laplacian_med_x0.3__svc__d4,laplacian_med_x0.3,id_val,fixed_c1,1.0,,0.005001544952392578,0.9681274900398407,0.9680952380952381,0.9681229362458725,0.967741935483871,0.9761269841269841,0.9761810468205662,full_v4_features,88,88,0,,ksf-v4-idsplit::
classical_ext,svc,4,laplacian_med_x0.3__svc__d4,laplacian_med_x0.3,id_test,fixed_c1,1.0,,0.005001544952392578,0.9919678714859438,0.9919354838709677,0.9919667053813395,0.991869918699187,0.9999354838709678,0.9999354838709678,full_v4_features,88,88,0,,ksf-v4-idsplit::
