family,model,dim,cfg,kernel,split,c_selected,c_cv_score,fit_seconds,accuracy,balanced_accuracy,f1_macro,f1_pos,roc_auc,pr_auc,log_loss,brier,ece,mean_predictive_entropy,shots,min_eig_before_psd,fro_change_sampling,fro_change_projection,spec_train_eff_rank,kta_ood
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,id_val,1.0,0.9317307692307691,0.009168624877929688,0.944,0.9451923076923077,0.9439964157706093,0.9435483870967742,0.9866666666666667,0.9846151278473319,,,,,128,-1.6237891139088763,23.75061978366909,16.129370786278525,,
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,id_test,1.0,0.9317307692307691,0.009168624877929688,0.936,0.9375,0.936,0.936,0.979871794871795,0.9819506931082412,,,,,128,-1.6237891139088763,23.75061978366909,16.129370786278525,,
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,ood_test,1.0,0.9317307692307691,0.009168624877929688,0.948,0.946058091286307,0.9475941692466461,0.9522058823529411,0.990515708358032,0.9897941636622636,,,,,128,-1.6237891139088763,23.75061978366909,16.129370786278525,,
quantum,gpc,4,zz_r1_full__as0.5__gpc__d4,zz_r1_full__as0.5,id_val,,,1.0903172492980957,0.924,0.9256410256410257,0.9239987839805437,0.9243027888446215,0.9871794871794872,0.9865694422720607,0.19680890075163512,0.053750619492305335,0.08853168581360682,0.3316041849674923,128,-1.6237891139088763,23.75061978366909,16.129370786278525,,
quantum,gpc,4,zz_r1_full__as0.5__gpc__d4,zz_r1_full__as0.5,id_test,,,1.0903172492980957,0.928,0.9294871794871795,0.928,0.928,0.985897435897436,0.9827339598852419,0.19031370676195075,0.050500661493603716,0.08173032860858194,0.31845940704484244,128,-1.6237891139088763,23.75061978366909,16.129370786278525,,
quantum,gpc,4,zz_r1_full__as0.5__gpc__d4,zz_r1_full__as0.5,ood_test,,,1.0903172492980957,0.938,0.9356846473029046,0.9373987778625923,0.9435336976320583,0.9903715214918535,0.9746001021927444,0.2296639216466195,0.05816502494666169,0.15928159506854145,0.3967592448095296,128,-1.6237891139088763,23.75061978366909,16.129370786278525,,
quantum,geometry,4,zz_r1_full__as0.5__geom__d4,zz_r1_full__as0.5,ood_test,,,,,,,,,,,,,,128,-1.0014035384305153,11.24876080300618,7.418705432619147,46.95488360334672,0.5025777768486999
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,id_val,10.0,0.941025641025641,0.00760340690612793,0.92,0.9192307692307693,0.9197483307652798,0.9152542372881356,0.9648076923076924,0.9651838390593418,,,,,512,-0.8134560988954769,11.884005070861797,8.015541316319823,,
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,id_test,10.0,0.941025641025641,0.00760340690612793,0.912,0.9102564102564104,0.9114331723027376,0.9043478260869565,0.9634615384615386,0.9696390007497981,,,,,512,-0.8134560988954769,11.884005070861797,8.015541316319823,,
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,ood_test,10.0,0.941025641025641,0.00760340690612793,0.938,0.9374148896970473,0.9378446115288221,0.940952380952381,0.9763213124208975,0.9645167802773046,,,,,512,-0.8134560988954769,11.884005070861797,8.015541316319823,,
quantum,gpc,4,zz_r1_full__as0.5__gpc__d4,zz_r1_full__as0.5,id_val,,,0.915454626083374,0.936,0.9378205128205128,0.9359959037378391,0.9365079365079365,0.9876923076923076,0.9873527599187234,0.19907606179519177,0.05428234215862595,0.09347660696193902,0.3376220621919266,512,-0.8134560988954769,11.884005070861797,8.015541316319823,,
quantum,gpc,4,zz_r1_full__as0.5__gpc__d4,zz_r1_full__as0.5,id_test,,,0.915454626083374,0.944,0.9455128205128205,0.944,0.944,0.9874358974358974,0.9849705749251236,0.1872104662626539,0.04900744200202729,0.10114101714754554,0.32012837521642784,512,-0.8134560988954769,11.884005070861797,8.015541316319823,,
quantum,gpc,4,zz_r1_full__as0.5__gpc__d4,zz_r1_full__as0.5,ood_test,,,0.915454626083374,0.938,0.9356846473029046,0.9373987778625923,0.9435336976320583,0.988561175283167,0.9725853252467128,0.228076581109881,0.05715193564434044,0.1607173431415838,0.39833537636618355,512,-0.8134560988954769,11.884005070861797,8.015541316319823,,
quantum,geometry,4,zz_r1_full__as0.5__geom__d4,zz_r1_full__as0.5,ood_test,,,,,,,,,,,,,,512,-0.4957460787820356,5.595275295369976,3.646613509167251,29.059075777586965,0.5030973474185879
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,id_val,10.0,0.9479967948717949,0.00950765609741211,0.972,0.9721153846153846,0.971963664909723,0.970954356846473,0.9821794871794871,0.9822108134566988,,,,,2048,-0.39944806984113945,5.925618745422122,3.96871778074069,,
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,id_test,10.0,0.9479967948717949,0.00950765609741211,0.94,0.9391025641025641,0.9397832195905259,0.9361702127659575,0.976474358974359,0.9813209347445896,,,,,2048,-0.39944806984113945,5.925618745422122,3.96871778074069,,
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,ood_test,10.0,0.9479967948717949,0.00950765609741211,0.96,0.9587945977987472,0.9598141807718892,0.9625468164794008,0.990756019801663,0.9883354813940602,,,,,2048,-0.39944806984113945,5.925618745422122,3.96871778074069,,
quantum,gpc,4,zz_r1_full__as0.5__gpc__d4,zz_r1_full__as0.5,id_val,,,0.9043784141540527,0.936,0.9378205128205128,0.9359959037378391,0.9365079365079365,0.9877564102564103,0.9876847285979258,0.20092276080662283,0.05492090336529679,0.10838166283987856,0.33870967074559655,2048,-0.39944806984113945,5.925618745422122,3.96871778074069,,
quantum,gpc,4,zz_r1_full__as0.5__gpc__d4,zz_r1_full__as0.5,id_test,,,0.9043784141540527,0.944,0.9455128205128205,0.944,0.944,0.9877564102564103,0.9854572954215807,0.18910389455631474,0.04955429960583525,0.11124039889963643,0.3227955842153821,2048,-0.39944806984113945,5.925618745422122,3.96871778074069,,
quantum,gpc,4,zz_r1_full__as0.5__gpc__d4,zz_r1_full__as0.5,ood_test,,,0.9043784141540527,0.938,0.9356846473029046,0.9373987778625923,0.9435336976320583,0.9885291337573495,0.9706420858806031,0.22885882650043396,0.05752212606841766,0.16354669059918106,0.39904268024460715,2048,-0.39944806984113945,5.925618745422122,3.96871778074069,,
quantum,geometry,4,zz_r1_full__as0.5__geom__d4,zz_r1_full__as0.5,ood_test,,,,,,,,,,,,,,2048,-0.24453933251215307,2.7956314017638895,1.7954767913680088,20.95013894342561,0.5030789222814878
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,id_val,10.0,0.9537660256410255,0.0060176849365234375,0.976,0.9756410256410257,0.9759445763038039,0.9747899159663865,0.9867948717948718,0.9904141765280458,,,,,8192,-0.20019563690155143,2.967892005531265,1.9745416370600106,,
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,id_test,10.0,0.9537660256410255,0.0060176849365234375,0.964,0.9631410256410257,0.9638699317543156,0.9617021276595744,0.9896794871794872,0.9914364267702321,,,,,8192,-0.20019563690155143,2.967892005531265,1.9745416370600106,,
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,ood_test,10.0,0.9537660256410255,0.0060176849365234375,0.974,0.9733174193755108,0.973923962273991,0.9753320683111955,0.9832743235232861,0.9689072617924671,,,,,8192,-0.20019563690155143,2.967892005531265,1.9745416370600106,,
quantum,gpc,4,zz_r1_full__as0.5__gpc__d4,zz_r1_full__as0.5,id_val,,,0.8398127555847168,0.936,0.9378205128205128,0.9359959037378391,0.9365079365079365,0.9867948717948718,0.9867474661682097,0.2012304426894979,0.05509687868285212,0.11182706196876803,0.33824282419891233,8192,-0.20019563690155143,2.967892005531265,1.9745416370600106,,
quantum,gpc,4,zz_r1_full__as0.5__gpc__d4,zz_r1_full__as0.5,id_test,,,0.8398127555847168,0.944,0.9455128205128205,0.944,0.944,0.9878205128205129,0.9851098982304493,0.189308989564421,0.04961199314857375,0.12144789429450681,0.32223995655373633,8192,-0.20019563690155143,2.967892005531265,1.9745416370600106,,
quantum,gpc,4,zz_r1_full__as0.5__gpc__d4,zz_r1_full__as0.5,ood_test,,,0.8398127555847168,0.94,0.9377593360995851,0.9394418965183128,0.9452554744525548,0.9884009676540797,0.9724600868290395,0.2287494980746678,0.05740515770119592,0.16371034571040943,0.3991227134434148,8192,-0.20019563690155143,2.967892005531265,1.9745416370600106,,
quantum,geometry,4,zz_r1_full__as0.5__geom__d4,zz_r1_full__as0.5,ood_test,,,,,,,,,,,,,,8192,-0.1228587126276615,1.399604147441592,0.8877317762266735,17.146955977075017,0.503065809211135
quantum,svc,4,zz_r2_full__as0.5__svc__d4,zz_r2_full__as0.5,id_val,1.0,0.9427884615384616,0.006999969482421875,0.94,0.941025641025641,0.9399913587556608,0.9392712550607287,0.9857051282051281,0.9853443785852606,,,,,128,-1.5930346912931628,24.273423983752835,16.41172520619811,,
quantum,svc,4,zz_r2_full__as0.5__svc__d4,zz_r2_full__as0.5,id_test,1.0,0.9427884615384616,0.006999969482421875,0.952,0.9525641025641025,0.9519723360655737,0.9508196721311475,0.981602564102564,0.9858378806006908,,,,,128,-1.5930346912931628,24.273423983752835,16.41172520619811,,
quantum,svc,4,zz_r2_full__as0.5__svc__d4,zz_r2_full__as0.5,ood_test,1.0,0.9427884615384616,0.006999969482421875,0.948,0.946058091286307,0.9475941692466461,0.9522058823529411,0.9912526634518336,0.9892974634498352,,,,,128,-1.5930346912931628,24.273423983752835,16.41172520619811,,
quantum,gpc,4,zz_r2_full__as0.5__gpc__d4,zz_r2_full__as0.5,id_val,,,0.9800899028778076,0.932,0.9336538461538462,0.9319989119825918,0.9322709163346613,0.9926923076923077,0.992953771057247,0.19444138933396587,0.0498645354426523,0.1189718202295248,0.3517109523696521,128,-1.5930346912931628,24.273423983752835,16.41172520619811,,
quantum,gpc,4,zz_r2_full__as0.5__gpc__d4,zz_r2_full__as0.5,id_test,,,0.9800899028778076,0.948,0.9493589743589743,0.9479991679866878,0.9477911646586346,0.9925641025641025,0.9918138299156659,0.1852426685351079,0.047163115698611605,0.09732238411950214,0.33081377359573827,128,-1.5930346912931628,24.273423983752835,16.41172520619811,,
