family,model,dim,cfg,kernel,split,regularization,c_selected,c_cv_score,fit_seconds,accuracy,balanced_accuracy,f1_macro,f1_pos,roc_auc,pr_auc,feature_policy,n_input_features,n_retained_features,n_removed_features,removed_features,id_split_hash_salt
classical_ext,svc,4,linear__svc__d4,linear,id_val,fixed_c1,1.0,,0.0075986385345458984,0.808,0.8174924490713964,0.8062140688586008,0.7876106194690266,0.9046976415397467,0.9032235968206197,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
classical_ext,svc,4,linear__svc__d4,linear,id_test,fixed_c1,1.0,,0.0075986385345458984,0.8,0.8104877578561789,0.7974593298334305,0.7747747747747747,0.8766146134567185,0.9098146756410319,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
classical_ext,svc,4,linear__svc__d4,linear,ood_test,fixed_c1,1.0,,0.0075986385345458984,0.638,0.6268382352941176,0.625598318708914,0.5574572127139364,0.4897768317853457,0.47340364840301186,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
classical_ext,svc,4,linear__svc__d4,linear,id_val,train_cv,10.0,0.8304041784865281,0.009998798370361328,0.844,0.8389884968832337,0.8412336552083504,0.8621908127208481,0.8951224214382109,0.8762646400723234,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
classical_ext,svc,4,linear__svc__d4,linear,id_test,train_cv,10.0,0.8304041784865281,0.009998798370361328,0.836,0.8304414883362252,0.8327213382292942,0.856140350877193,0.8871537818906239,0.8940371996702567,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
classical_ext,svc,4,linear__svc__d4,linear,ood_test,train_cv,10.0,0.8304041784865281,0.009998798370361328,0.66,0.6537990196078431,0.654336651701477,0.6100917431192661,0.5302018833849329,0.4977017361859026,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
classical_ext,svc,4,rbf_gscale__svc__d4,rbf_gscale,id_val,fixed_c1,1.0,,0.00500035285949707,0.864,0.8552149604781183,0.858794604292644,0.8859060402684564,0.9397210976158344,0.9128317263412273,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
classical_ext,svc,4,rbf_gscale__svc__d4,rbf_gscale,id_test,fixed_c1,1.0,,0.00500035285949707,0.86,0.8514555619818778,0.854870544525717,0.8821548821548821,0.9211490264121843,0.8611141328906514,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
classical_ext,svc,4,rbf_gscale__svc__d4,rbf_gscale,ood_test,fixed_c1,1.0,,0.00500035285949707,0.876,0.8856746646026832,0.8758728938432956,0.8798449612403101,0.9197948916408669,0.881106010981005,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
classical_ext,svc,4,rbf_gscale__svc__d4,rbf_gscale,id_val,train_cv,100.0,0.9005546788828633,0.007983922958374023,0.872,0.8673607094659725,0.8698679159346736,0.8865248226950354,0.9408778356146776,0.9377983304395271,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
classical_ext,svc,4,rbf_gscale__svc__d4,rbf_gscale,id_test,train_cv,100.0,0.9005546788828633,0.007983922958374023,0.88,0.8753936122357175,0.8780011711887565,0.8936170212765957,0.9158794421952317,0.883067327803867,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
classical_ext,svc,4,rbf_gscale__svc__d4,rbf_gscale,ood_test,train_cv,100.0,0.9005546788828633,0.007983922958374023,0.88,0.888641640866873,0.8799519807923168,0.8823529411764706,0.9373871259029928,0.9095530749421057,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
classical_ext,svc,4,poly2__svc__d4,poly2,id_val,fixed_c1,1.0,,0.006132841110229492,0.856,0.8461538461538461,0.8494882600842866,0.8807947019867549,0.9067540646488015,0.8747968547547456,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
classical_ext,svc,4,poly2__svc__d4,poly2,id_test,fixed_c1,1.0,,0.006132841110229492,0.86,0.8504273504273504,0.8539207666238168,0.8837209302325582,0.9023841655420602,0.8710240196959198,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
classical_ext,svc,4,poly2__svc__d4,poly2,ood_test,fixed_c1,1.0,,0.006132841110229492,0.844,0.8562628998968008,0.843358395989975,0.8533834586466166,0.7660442466460269,0.5801126818810123,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
