family,model,dim,cfg,kernel,split,c_selected,c_cv_score,fit_seconds,accuracy,balanced_accuracy,f1_macro,f1_pos,roc_auc,pr_auc,log_loss,brier,ece,mean_predictive_entropy,shots,min_eig_before_psd,fro_change_sampling,fro_change_projection,spec_train_eff_rank,kta_ood
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,id_val,0.1,0.8722232263350685,0.009085893630981445,0.908,0.9017094017094017,0.905705242788501,0.9204152249134948,0.9506458453826875,0.9428617275098788,,,,,128,-1.6628819400648236,26.227823301264937,17.538701606966775,,
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,id_test,0.1,0.8722232263350685,0.009085893630981445,0.912,0.905982905982906,0.9099187631027255,0.9236111111111112,0.9648480174795964,0.9644118554460592,,,,,128,-1.6628819400648236,26.227823301264937,17.538701606966775,,
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,ood_test,0.1,0.8722232263350685,0.009085893630981445,0.874,0.8826892109500806,0.8738177928929374,0.8786127167630058,0.9235909822866344,0.8599621975776333,,,,,128,-1.6628819400648236,26.227823301264937,17.538701606966775,,
quantum,gpc,4,zz_r1_full__as0.5__gpc__d4,zz_r1_full__as0.5,id_val,,,1.072829008102417,0.896,0.8914594177752072,0.8942676816969224,0.9078014184397163,0.9604781183728552,0.962016575005638,0.2450423593496518,0.07189542751655749,0.059476273663565137,0.34794723080067425,128,-1.6628819400648236,26.227823301264937,17.538701606966775,,
quantum,gpc,4,zz_r1_full__as0.5__gpc__d4,zz_r1_full__as0.5,id_test,,,1.072829008102417,0.9,0.8962470278259752,0.8986360466436367,0.910394265232975,0.9703746545851808,0.9718078988210558,0.22404225560022842,0.06370579090361571,0.08436562491255319,0.3337906561046209,128,-1.6628819400648236,26.227823301264937,17.538701606966775,,
quantum,gpc,4,zz_r1_full__as0.5__gpc__d4,zz_r1_full__as0.5,ood_test,,,1.072829008102417,0.874,0.8804347826086957,0.873987398739874,0.8752475247524752,0.9200966183574879,0.8468539645426582,0.31704230293839875,0.09434801554171318,0.058958755260581405,0.36949422553606076,128,-1.6628819400648236,26.227823301264937,17.538701606966775,,
quantum,geometry,4,zz_r1_full__as0.5__geom__d4,zz_r1_full__as0.5,ood_test,,,,,,,,,,,,,,128,-1.160318990127343,12.869976598648048,8.336926142338362,69.81591387050044,0.2705357678967405
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,id_val,1.0,0.8750302438789281,0.010006427764892578,0.904,0.8984641089904248,0.9019671916868178,0.916083916083916,0.9392069918385708,0.9276037931991176,,,,,512,-0.8366886645759172,13.097680426558762,8.651188920858274,,
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,id_test,1.0,0.8750302438789281,0.010006427764892578,0.912,0.9070111175374334,0.9103416797078769,0.9225352112676056,0.9611850138165927,0.9599002193947272,,,,,512,-0.8366886645759172,13.097680426558762,8.651188920858274,,
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,ood_test,1.0,0.8750302438789281,0.010006427764892578,0.894,0.9005636070853462,0.8939893989398939,0.8950495049504951,0.9416425120772947,0.9113577245318422,,,,,512,-0.8366886645759172,13.097680426558762,8.651188920858274,,
quantum,gpc,4,zz_r1_full__as0.5__gpc__d4,zz_r1_full__as0.5,id_val,,,1.1052682399749756,0.896,0.8909453119979436,0.8940401669274909,0.9084507042253521,0.9619561724824883,0.9642631404190141,0.2440925552263596,0.07122627461824863,0.079558254205185,0.35216530062232115,512,-0.8366886645759172,13.097680426558762,8.651188920858274,,
quantum,gpc,4,zz_r1_full__as0.5__gpc__d4,zz_r1_full__as0.5,id_test,,,1.1052682399749756,0.908,0.9042799305957201,0.9067451629121459,0.9175627240143369,0.9696034959192854,0.9713497097603611,0.22751777054966443,0.06465529692368246,0.08503839815548718,0.33824304630079255,512,-0.8366886645759172,13.097680426558762,8.651188920858274,,
quantum,gpc,4,zz_r1_full__as0.5__gpc__d4,zz_r1_full__as0.5,ood_test,,,1.1052682399749756,0.868,0.87487922705314,0.8679661993470329,0.8700787401574803,0.9197584541062802,0.8485794219122282,0.31826307592124353,0.09457569323851965,0.06945480867317826,0.37275419751140093,512,-0.8366886645759172,13.097680426558762,8.651188920858274,,
quantum,geometry,4,zz_r1_full__as0.5__geom__d4,zz_r1_full__as0.5,ood_test,,,,,,,,,,,,,,512,-0.5781198163872597,6.447492884224604,4.106904608195882,44.06537503549566,0.27116324042957074
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,id_val,1.0,0.8728466599190282,0.009970426559448242,0.896,0.8909453119979436,0.8940401669274909,0.9084507042253521,0.9530878478246899,0.9493155761879452,,,,,2048,-0.4082898807411338,6.566647188222446,4.286521769422316,,
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,id_test,1.0,0.8728466599190282,0.009970426559448242,0.908,0.9032517190411927,0.906368565892104,0.9187279151943463,0.9667116509221773,0.9685327158521353,,,,,2048,-0.4082898807411338,6.566647188222446,4.286521769422316,,
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,ood_test,1.0,0.8728466599190282,0.009970426559448242,0.898,0.90426731078905,0.8979963278678033,0.8986083499005965,0.9546376811594203,0.9271566049389878,,,,,2048,-0.4082898807411338,6.566647188222446,4.286521769422316,,
quantum,gpc,4,zz_r1_full__as0.5__gpc__d4,zz_r1_full__as0.5,id_val,,,1.1465275287628174,0.888,0.8834265150054623,0.8861344264428395,0.900709219858156,0.9622132253711202,0.9650595344561437,0.24422698081113292,0.07128926546871116,0.07428544727381603,0.3527078787966781,2048,-0.4082898807411338,6.566647188222446,4.286521769422316,,
quantum,gpc,4,zz_r1_full__as0.5__gpc__d4,zz_r1_full__as0.5,id_test,,,1.1465275287628174,0.904,0.9000064263222158,0.9025974025974026,0.9142857142857143,0.9695392326971275,0.9718784214241835,0.22820170268107864,0.06504343793701509,0.07405528970457567,0.3390243314450996,2048,-0.4082898807411338,6.566647188222446,4.286521769422316,,
quantum,gpc,4,zz_r1_full__as0.5__gpc__d4,zz_r1_full__as0.5,ood_test,,,1.1465275287628174,0.874,0.8814009661835749,0.8739389864694511,0.8767123287671232,0.927536231884058,0.8675221545331431,0.314825411537064,0.09353967999737474,0.081450239043953,0.37452075545090185,2048,-0.4082898807411338,6.566647188222446,4.286521769422316,,
quantum,geometry,4,zz_r1_full__as0.5__geom__d4,zz_r1_full__as0.5,ood_test,,,,,,,,,,,,,,2048,-0.27902290749002406,3.2145798274977055,2.0084100212932072,32.06494659894634,0.2713529317307249
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,id_val,10.0,0.8817064295353768,0.009045839309692383,0.864,0.8624124413598098,0.8631239935587762,0.8740740740740741,0.9429985219458903,0.9459187646782631,,,,,8192,-0.20547977510270732,3.2819196673710245,2.115064911477198,,
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,id_test,10.0,0.8817064295353768,0.009045839309692383,0.896,0.8930017351069983,0.8948628364389234,0.9057971014492754,0.957714799820063,0.9596585538800174,,,,,8192,-0.20547977510270732,3.2819196673710245,2.115064911477198,,
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,ood_test,10.0,0.8817064295353768,0.009045839309692383,0.904,0.9088566827697262,0.9039861740090573,0.902834008097166,0.9454589371980676,0.9202210094710964,,,,,8192,-0.20547977510270732,3.2819196673710245,2.115064911477198,,
quantum,gpc,4,zz_r1_full__as0.5__gpc__d4,zz_r1_full__as0.5,id_val,,,1.0130958557128906,0.892,0.887185913501703,0.8900848382211656,0.9045936395759717,0.9634984898142793,0.9660807589911794,0.24325767023819297,0.07085773974603685,0.07107348740948016,0.3531624451939993,8192,-0.20547977510270732,3.2819196673710245,2.115064911477198,,
quantum,gpc,4,zz_r1_full__as0.5__gpc__d4,zz_r1_full__as0.5,id_test,,,1.0130958557128906,0.904,0.9000064263222158,0.9025974025974026,0.9142857142857143,0.9690251269198638,0.9710646989872392,0.22828536518710002,0.06511002393848188,0.07332366801319287,0.33828702470106964,8192,-0.20547977510270732,3.2819196673710245,2.115064911477198,,
quantum,gpc,4,zz_r1_full__as0.5__gpc__d4,zz_r1_full__as0.5,ood_test,,,1.0130958557128906,0.872,0.8792270531400965,0.8719487795118047,0.8745098039215686,0.9242190016103059,0.8624580418643614,0.31586045768425025,0.09404383408429255,0.07055709567883432,0.3740276967177156,8192,-0.20547977510270732,3.2819196673710245,2.115064911477198,,
quantum,geometry,4,zz_r1_full__as0.5__geom__d4,zz_r1_full__as0.5,ood_test,,,,,,,,,,,,,,8192,-0.14054382628913717,1.6208925738353384,0.9898981065127239,26.270857737994035,0.27132549091571595
quantum,svc,4,zz_r2_full__as0.5__svc__d4,zz_r2_full__as0.5,id_val,1.0,0.8702953296703295,0.012027740478515625,0.872,0.8704453441295547,0.8711755233494365,0.8814814814814815,0.9365079365079365,0.9366315333570765,,,,,128,-1.6072604613722017,25.495960196696043,16.7408832907915,,
quantum,svc,4,zz_r2_full__as0.5__svc__d4,zz_r2_full__as0.5,id_test,1.0,0.8702953296703295,0.012027740478515625,0.888,0.8865111496690444,0.8872785829307568,0.8962962962962963,0.9503245292718977,0.9512691130976078,,,,,128,-1.6072604613722017,25.495960196696043,16.7408832907915,,
quantum,svc,4,zz_r2_full__as0.5__svc__d4,zz_r2_full__as0.5,ood_test,1.0,0.8702953296703295,0.012027740478515625,0.896,0.9004830917874396,0.8959733691825107,0.8943089430894309,0.9277455716586152,0.8725930419300287,,,,,128,-1.6072604613722017,25.495960196696043,16.7408832907915,,
quantum,gpc,4,zz_r2_full__as0.5__gpc__d4,zz_r2_full__as0.5,id_val,,,0.7822551727294922,0.876,0.8736906368485315,0.874941504897452,0.8864468864468864,0.9595141700404858,0.9621065560225632,0.27900361776435867,0.08127012931689175,0.1038693912309803,0.39954525470888297,128,-1.6072604613722017,25.495960196696043,16.7408832907915,,
quantum,gpc,4,zz_r2_full__as0.5__gpc__d4,zz_r2_full__as0.5,id_test,,,0.7822551727294922,0.904,0.9015487436540068,0.9031070344293004,0.9124087591240876,0.9681254418096523,0.9688174815945753,0.2552831265265447,0.07094679496889769,0.08133973110593255,0.3882577891492926,128,-1.6072604613722017,25.495960196696043,16.7408832907915,,
quantum,gpc,4,zz_r2_full__as0.5__gpc__d4,zz_r2_full__as0.5,ood_test,,,0.7822551727294922,0.88,0.886634460547504,0.8799827175113216,0.8814229249011858,0.921207729468599,0.8462831371461332,0.3234821544034127,0.0951615623888568,0.07434368844846957,0.40313045964593175,128,-1.6072604613722017,25.495960196696043,16.7408832907915,,
quantum,geometry,4,zz_r2_full__as0.5__geom__d4,zz_r2_full__as0.5,ood_test,,,,,,,,,,,,,,128,-1.0638685522207334,12.465297384854061,7.911302316971678,84.83635756743173,0.2624600203133922
quantum,svc,4,zz_r2_full__as0.5__svc__d4,zz_r2_full__as0.5,id_val,10.0,0.8834915413533835,0.012717723846435547,0.84,0.8388278388278387,0.839166237776634,0.8507462686567164,0.9014202172096908,0.8978296101916199,,,,,512,-0.7930136191405552,12.733975282436177,8.203299393255277,,
quantum,svc,4,zz_r2_full__as0.5__svc__d4,zz_r2_full__as0.5,id_test,10.0,0.8834915413533835,0.012717723846435547,0.832,0.8318231476126213,0.8314714946070878,0.8409090909090909,0.879249405565195,0.8588800583059395,,,,,512,-0.7930136191405552,12.733975282436177,8.203299393255277,,
quantum,svc,4,zz_r2_full__as0.5__svc__d4,zz_r2_full__as0.5,ood_test,10.0,0.8834915413533835,0.012717723846435547,0.826,0.8247181964573269,0.8248221038261269,0.8104575163398693,0.8809661835748791,0.8185202266211792,,,,,512,-0.7930136191405552,12.733975282436177,8.203299393255277,,
