family,model,dim,cfg,kernel,split,fit_seconds,accuracy,balanced_accuracy,f1_macro,f1_pos,roc_auc,pr_auc,log_loss,brier,ece,mean_predictive_entropy
classical_ext,svc,4,linear__svc__d4,linear,id_test,0.10971665382385254,0.8627777777777778,0.8632855908136807,0.8625986046619434,0.8675603217158177,0.9137905914310408,0.9145410951877111,,,,
classical_ext,svc,4,linear__svc__d4,linear,ood_test,0.10971665382385254,0.6955555555555556,0.6920819626904724,0.6919775515837675,0.6587795765877957,0.6730300784714945,0.6179957002687151,,,,
classical_ext,gpc,4,linear__gpc__d4,linear,id_test,14.700654029846191,0.7011111111111111,0.7006914433880727,0.7004895344536006,0.6868451688009313,0.8295085813063342,0.8723778240055781,0.480550485240488,0.15745005648431654,0.19273050573615727,0.555564057779295
classical_ext,gpc,4,linear__gpc__d4,linear,ood_test,14.700654029846191,0.6777777777777778,0.6709195255833402,0.6668500480578379,0.6065128900949797,0.6531616849288461,0.6149693968606578,0.6392321149802925,0.22383908779763564,0.245065583522963,0.47656158339052845
classical_ext,svc,4,rbf_gscale__svc__d4,rbf_gscale,id_test,0.08019638061523438,0.8827777777777778,0.8840288924558588,0.8815263079910474,0.8937027707808565,0.9509680207433016,0.9171971172849377,,,,
classical_ext,svc,4,rbf_gscale__svc__d4,rbf_gscale,ood_test,0.08019638061523438,0.9172222222222223,0.9207781828708715,0.9171141380349376,0.9201072386058982,0.9294659657882594,0.8694417319603016,,,,
classical_ext,gpc,4,rbf_gscale__gpc__d4,rbf_gscale,id_test,17.38192367553711,0.885,0.886115569823435,0.8840491673852652,0.8945491594498217,0.9637473762192864,0.9607251807417817,0.24134865793212903,0.0747938701995535,0.04181215616253257,0.3049201222530059
classical_ext,gpc,4,rbf_gscale__gpc__d4,rbf_gscale,ood_test,17.38192367553711,0.9044444444444445,0.9076441355454963,0.9043646302346156,0.9071274298056156,0.8892974184696882,0.7526269156730723,0.3077577060748706,0.08880154877177156,0.09217747430875664,0.30318652657734385
classical_ext,svc,4,poly2__svc__d4,poly2,id_test,0.07407712936401367,0.8827777777777778,0.8840288924558588,0.8815263079910474,0.8937027707808565,0.9341758241758242,0.880860042309206,,,,
classical_ext,svc,4,poly2__svc__d4,poly2,ood_test,0.07407712936401367,0.9044444444444445,0.9084556963278112,0.904235891497038,0.9087048832271762,0.8973660151499594,0.790709949691718,,,,
classical_ext,gpc,4,poly2__gpc__d4,poly2,id_test,14.620137453079224,0.8844444444444445,0.8854179528336832,0.8837411501676811,0.8927835051546392,0.9582837387331768,0.9555389474088748,0.2754895328094096,0.08202966069341404,0.07385244995654824,0.38123642476525044
classical_ext,gpc,4,poly2__gpc__d4,poly2,ood_test,14.620137453079224,0.7788888888888889,0.7795449568796478,0.7787903003684358,0.7741203178206584,0.8482010196469463,0.7265644440615944,0.4152794470408217,0.13846438769125632,0.16068742224676674,0.3933885773928941
classical_ext,svc,4,poly3__svc__d4,poly3,id_test,0.07568073272705078,0.8827777777777778,0.8840288924558588,0.8815263079910474,0.8937027707808565,0.9461452031114952,0.9000143397505556,,,,
classical_ext,svc,4,poly3__svc__d4,poly3,ood_test,0.07568073272705078,0.9144444444444444,0.9180199896328058,0.9143292649005885,0.917470525187567,0.9222299611910645,0.8581346799448069,,,,
classical_ext,gpc,4,poly3__gpc__d4,poly3,id_test,14.777241706848145,0.8894444444444445,0.890609951845907,0.8884375937278381,0.8990360223236935,0.9614137547845413,0.9583339889621663,0.257708807157437,0.07717397875829943,0.055148750319227405,0.35637362421508545
classical_ext,gpc,4,poly3__gpc__d4,poly3,ood_test,14.777241706848145,0.8683333333333333,0.8702659469838022,0.8683323173789921,0.8686980609418282,0.8762926517872275,0.7529022378302013,0.3672179243824127,0.11509256229761765,0.116169539552241,0.3685366036519474
classical_ext,svc,4,laplacian_med__svc__d4,laplacian_med,id_test,0.06800508499145508,0.8966666666666666,0.8977651561921225,0.8958437033349925,0.9051020408163265,0.9630312384244968,0.9431951033338808,,,,
classical_ext,svc,4,laplacian_med__svc__d4,laplacian_med,ood_test,0.06800508499145508,0.915,0.9185006167119665,0.9148957472904308,0.9178743961352657,0.9230105935899068,0.8314622438333013,,,,
