family,model,dim,cfg,kernel,split,svc_c,fit_seconds,accuracy,balanced_accuracy,f1_macro,f1_pos,roc_auc,pr_auc,log_loss,brier,ece,mean_predictive_entropy
classical_ext_plain,svc,4,linear__svc__d4,linear,id_test,1.0,0.0149993896484375,0.848,0.8454127190240306,0.8465861378463924,0.8613138686131386,0.8464707674056975,0.7359545288082885,,,,
classical_ext_plain,svc,4,linear__svc__d4,linear,ood_test,1.0,0.0149993896484375,0.722,0.7126602564102564,0.7015104857863159,0.7797147385103012,0.6820673076923077,0.5794622000742148,,,,
classical_ext_plain,gpc,4,linear__gpc__d4,linear,id_test,,0.7001762390136719,0.846,0.8440260344026034,0.8449574941909399,0.8576709796672828,0.9012648487471746,0.8451383184916408,0.3778812311765069,0.11802247831746764,0.10371527879357041,0.4059886776961175
classical_ext_plain,gpc,4,linear__gpc__d4,linear,ood_test,,0.7001762390136719,0.74,0.7314102564102565,0.7235407203252862,0.7909967845659164,0.803974358974359,0.7087027384283737,0.567379961840252,0.1907615868923614,0.14485546170443606,0.42818662187918854
classical_ext_plain,svc,4,rbf_gscale__svc__d4,rbf_gscale,id_test,1.0,0.012995004653930664,0.89,0.8854662626845573,0.8877363150568054,0.9036777583187391,0.9422241459465526,0.9070453864080232,,,,
classical_ext_plain,svc,4,rbf_gscale__svc__d4,rbf_gscale,ood_test,1.0,0.012995004653930664,0.78,0.7709935897435898,0.7645709198000137,0.8248407643312102,0.8600000000000001,0.7668021871535894,,,,
classical_ext_plain,gpc,4,rbf_gscale__gpc__d4,rbf_gscale,id_test,,0.7737925052642822,0.872,0.8675195177864345,0.8694410444716443,0.887719298245614,0.9493098638965036,0.9435402796927727,0.2823012897933594,0.08410606047211519,0.06493692399531287,0.3724218443009713
classical_ext_plain,gpc,4,rbf_gscale__gpc__d4,rbf_gscale,ood_test,,0.7737925052642822,0.75,0.7400641025641026,0.7290607294118667,0.8043818466353677,0.9159455128205128,0.8729978214878689,0.4212224525860672,0.13841222724277435,0.14639271833812356,0.44402261528843256
classical_ext_plain,svc,4,poly2__svc__d4,poly2,id_test,1.0,0.013078451156616211,0.89,0.8856426040815017,0.8878644913737211,0.9033391915641477,0.9340803796149345,0.8949770051383077,,,,
classical_ext_plain,svc,4,poly2__svc__d4,poly2,ood_test,1.0,0.013078451156616211,0.778,0.7689102564102563,0.7621690185508165,0.8235294117647058,0.8533493589743589,0.7582273924055606,,,,
