family,model,dim,cfg,kernel,split,c_selected,c_cv_score,fit_seconds,accuracy,balanced_accuracy,f1_macro,f1_pos,roc_auc,pr_auc,log_loss,brier,ece,mean_predictive_entropy,shots,min_eig_before_psd,fro_change_sampling,fro_change_projection,spec_train_eff_rank,kta_ood
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,id_val,1.0,0.8966496649664967,0.009000062942504883,0.8645418326693227,0.8643809523809524,0.8642811704834605,0.8702290076335878,0.9326984126984127,0.9037195927476018,,,,,128,-1.5260935092670507,24.68869479223247,16.563888979317714,,
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,id_test,1.0,0.8966496649664967,0.009000062942504883,0.8554216867469879,0.8551612903225807,0.8547446201711175,0.8646616541353384,0.8861290322580644,0.8314347356417182,,,,,128,-1.5260935092670507,24.68869479223247,16.563888979317714,,
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,ood_test,1.0,0.8966496649664967,0.009000062942504883,0.81,0.8030186440949678,0.8025695059249931,0.8408710217755444,0.8551435579281488,0.7988489061687399,,,,,128,-1.5260935092670507,24.68869479223247,16.563888979317714,,
quantum,gpc,4,zz_r1_full__as0.5__gpc__d4,zz_r1_full__as0.5,id_val,,,0.9493246078491211,0.8685258964143426,0.8682857142857143,0.8679894812335645,0.8764044943820225,0.9427301587301588,0.9274387829238431,0.2839988066319948,0.08639813160601284,0.05751043815979312,0.3505277767243536,128,-1.5260935092670507,24.68869479223247,16.563888979317714,,
quantum,gpc,4,zz_r1_full__as0.5__gpc__d4,zz_r1_full__as0.5,id_test,,,0.9493246078491211,0.8514056224899599,0.8510967741935485,0.8504407395983831,0.862453531598513,0.9376129032258065,0.9267563679778383,0.3133057085969766,0.09829225330351807,0.09156900876131305,0.36436980972038646,128,-1.5260935092670507,24.68869479223247,16.563888979317714,,
quantum,gpc,4,zz_r1_full__as0.5__gpc__d4,zz_r1_full__as0.5,ood_test,,,0.9493246078491211,0.788,0.780182433190657,0.7780234876279506,0.8250825082508251,0.9077894804341204,0.8834692534895597,0.42301881736892405,0.1375402719629939,0.10593067786009241,0.4112794719991157,128,-1.5260935092670507,24.68869479223247,16.563888979317714,,
quantum,geometry,4,zz_r1_full__as0.5__geom__d4,zz_r1_full__as0.5,ood_test,,,,,,,,,,,,,,128,-1.1683746377404445,12.877216588510132,8.37616204180619,60.2628172155836,0.3250550600610784
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,id_val,1.0,0.8966896689668967,0.009006023406982422,0.8764940239043825,0.8762857142857143,0.8761085900804076,0.8830188679245283,0.9313650793650793,0.9138045564941146,,,,,512,-0.767018004291476,12.370164749968037,8.202994147927845,,
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,id_test,1.0,0.8966896689668967,0.009006023406982422,0.8554216867469879,0.8550645161290322,0.8541775117126497,0.8676470588235294,0.9202580645161291,0.9118235454042461,,,,,512,-0.767018004291476,12.370164749968037,8.202994147927845,,
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,ood_test,1.0,0.8966896689668967,0.009006023406982422,0.788,0.7800060917937126,0.7776248657357681,0.8256578947368421,0.8749739495663604,0.8187461350423504,,,,,512,-0.767018004291476,12.370164749968037,8.202994147927845,,
