family,model,dim,cfg,kernel,split,regularization,c_selected,c_cv_score,fit_seconds,accuracy,balanced_accuracy,f1_macro,f1_pos,roc_auc,pr_auc,feature_policy,n_input_features,n_retained_features,n_removed_features,removed_features,id_split_hash_salt
classical_ext,svc,4,linear__svc__d4,linear,id_val,fixed_c1,1.0,,0.01000070571899414,0.8406374501992032,0.8417302798982189,0.8406146812293624,0.84251968503937,0.8637404580152672,0.912417349746411,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
classical_ext,svc,4,linear__svc__d4,linear,id_test,fixed_c1,1.0,,0.01000070571899414,0.8313253012048193,0.8327731092436975,0.8313225806451613,0.832,0.8667744020685196,0.8410710237201052,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
classical_ext,svc,4,linear__svc__d4,linear,ood_test,fixed_c1,1.0,,0.01000070571899414,0.706,0.7054752876046018,0.7006244119408092,0.7407407407407407,0.7597561560984977,0.6864919609866704,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
classical_ext,svc,4,linear__svc__d4,linear,id_val,train_cv,100.0,0.7954854802014121,0.02399921417236328,0.8127490039840638,0.8108142493638677,0.8115525311097267,0.8265682656826568,0.8497455470737914,0.8756869254143655,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
classical_ext,svc,4,linear__svc__d4,linear,id_test,train_cv,100.0,0.7954854802014121,0.02399921417236328,0.7831325301204819,0.7809308338720103,0.7815789473684212,0.8,0.8542986425339366,0.8398987663853587,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
classical_ext,svc,4,linear__svc__d4,linear,ood_test,train_cv,100.0,0.7954854802014121,0.02399921417236328,0.684,0.6833549336789388,0.6752659530738749,0.7285223367697594,0.7787644602313637,0.7094480136798826,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
classical_ext,svc,4,rbf_gscale__svc__d4,rbf_gscale,id_val,fixed_c1,1.0,,0.006887197494506836,0.9123505976095617,0.9083333333333333,0.9108088900374726,0.9225352112676056,0.9525445292620865,0.9382660037831447,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
classical_ext,svc,4,rbf_gscale__svc__d4,rbf_gscale,id_test,fixed_c1,1.0,,0.006887197494506836,0.8995983935742972,0.8953135100193924,0.8976908538088586,0.911660777385159,0.9250808015513898,0.8696614553098585,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
classical_ext,svc,4,rbf_gscale__svc__d4,rbf_gscale,ood_test,fixed_c1,1.0,,0.006887197494506836,0.744,0.7430518888302213,0.7283531409168081,0.7935483870967742,0.8010848173570777,0.7103225004021868,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
classical_ext,svc,4,rbf_gscale__svc__d4,rbf_gscale,id_val,train_cv,100.0,0.8775508935606148,0.014058351516723633,0.9123505976095617,0.9090330788804071,0.9111647361647361,0.9214285714285714,0.948027989821883,0.9257869351381564,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
classical_ext,svc,4,rbf_gscale__svc__d4,rbf_gscale,id_test,train_cv,100.0,0.8775508935606148,0.014058351516723633,0.9036144578313253,0.8998707175177764,0.9020969855832242,0.9142857142857143,0.9291531997414352,0.8611578350712653,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
classical_ext,svc,4,rbf_gscale__svc__d4,rbf_gscale,ood_test,train_cv,100.0,0.8775508935606148,0.014058351516723633,0.754,0.7531080497287956,0.7407590070437675,0.799347471451876,0.830941295060721,0.7524289274605076,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
classical_ext,svc,4,poly2__svc__d4,poly2,id_val,fixed_c1,1.0,,0.006001710891723633,0.9083665338645418,0.9045165394402035,0.906852542072059,0.9187279151943463,0.896501272264631,0.8087904985486836,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
classical_ext,svc,4,poly2__svc__d4,poly2,id_test,fixed_c1,1.0,,0.006001710891723633,0.9036144578313253,0.8995151906916613,0.9018912529550827,0.9148936170212766,0.9077569489334195,0.8496128273879259,port_protocol_service_ablation,39,36,3,ct_src_dport_ltm|ct_dst_sport_ltm|is_sm_ips_ports,ksf-v4-idsplit::
