family,model,dim,cfg,kernel,split,svc_c,fit_seconds,accuracy,balanced_accuracy,f1_macro,f1_pos,roc_auc,pr_auc,log_loss,brier,ece,mean_predictive_entropy
classical_ext,svc,4,linear__svc_C0.01__d4,linear,id_test,0.01,0.045191049575805664,0.655,0.6550310350209501,0.6549416851447896,0.6504559270516718,0.8036249544779674,0.7821770242503212,,,,
classical_ext,svc,4,linear__svc_C0.01__d4,linear,ood_test,0.01,0.045191049575805664,0.716,0.7160674570793133,0.7159443250877172,0.7199211045364892,0.8016808268932303,0.7719593529797955,,,,
classical_ext,svc,4,linear__svc_C0.1__d4,linear,id_test,0.1,0.03599953651428223,0.794,0.7909067988906631,0.7887257496133475,0.7553444180522565,0.7998311182612384,0.7555916917667024,,,,
classical_ext,svc,4,linear__svc_C0.1__d4,linear,ood_test,0.1,0.03599953651428223,0.787,0.7867205875294006,0.7858588417677805,0.7702265372168284,0.7524720395526328,0.6727524559305934,,,,
classical_ext,svc,4,linear__svc_C10__d4,linear,id_test,10.0,0.037613630294799805,0.826,0.8264439988954654,0.825999303997216,0.8263473053892215,0.8390781138070825,0.7716506771284719,,,,
classical_ext,svc,4,linear__svc_C10__d4,linear,ood_test,10.0,0.037613630294799805,0.727,0.7274876398022369,0.7230785148487735,0.7560321715817694,0.7834045344725515,0.7008637921108813,,,,
classical_ext,svc,4,linear__svc_C100__d4,linear,id_test,100.0,0.06064033508300781,0.824,0.8244870517330387,0.8239971839549434,0.8247011952191236,0.8433922018256836,0.7748857965289621,,,,
classical_ext,svc,4,linear__svc_C100__d4,linear,ood_test,100.0,0.06064033508300781,0.724,0.7244995919934719,0.7198299489603255,0.7540106951871658,0.7873365973855582,0.703488901761785,,,,
classical_ext,svc,4,rbf_gscale__svc_C0.01__d4,rbf_gscale,id_test,0.01,0.02851581573486328,0.876,0.8784931907043009,0.8748945684064393,0.886654478976234,0.895901616382329,0.8292864503815593,,,,
classical_ext,svc,4,rbf_gscale__svc_C0.01__d4,rbf_gscale,ood_test,0.01,0.02851581573486328,0.724,0.7250356005696091,0.7046435175672899,0.7802547770700637,0.7445359125746012,0.6541933149054702,,,,
classical_ext,svc,4,rbf_gscale__svc_C0.1__d4,rbf_gscale,id_test,0.1,0.015402078628540039,0.877,0.8795156855918265,0.8758798153333838,0.8876712328767123,0.931058632378071,0.8709028749764702,,,,
classical_ext,svc,4,rbf_gscale__svc_C0.1__d4,rbf_gscale,ood_test,0.1,0.015402078628540039,0.725,0.7260396166338662,0.7055520043342745,0.781225139220366,0.7945887134194146,0.6778267855604327,,,,
classical_ext,svc,4,rbf_gscale__svc_C10__d4,rbf_gscale,id_test,10.0,0.023000240325927734,0.887,0.8893004214039595,0.8861776334013246,0.895852534562212,0.9677924115271792,0.9617998150038771,,,,
classical_ext,svc,4,rbf_gscale__svc_C10__d4,rbf_gscale,ood_test,10.0,0.023000240325927734,0.753,0.7539360629770075,0.7390768814722402,0.7993501218521527,0.896218339493432,0.8646760720704378,,,,
classical_ext,svc,4,rbf_gscale__svc_C100__d4,rbf_gscale,id_test,100.0,0.028000354766845703,0.897,0.8990851572160926,0.8964173475801382,0.9041860465116279,0.9651551350853813,0.9569908387036222,,,,
classical_ext,svc,4,rbf_gscale__svc_C100__d4,rbf_gscale,ood_test,100.0,0.028000354766845703,0.788,0.7887806204899279,0.7798857066914745,0.8221476510067114,0.9038464615433847,0.8719054322560482,,,,
classical_ext,svc,4,poly2__svc_C0.01__d4,poly2,id_test,0.01,0.03226518630981445,0.666,0.6666746705405416,0.665914474105371,0.6712598425196851,0.82291429051661,0.7952125446144509,,,,
classical_ext,svc,4,poly2__svc_C0.01__d4,poly2,ood_test,0.01,0.03226518630981445,0.702,0.7022352357637722,0.7010625321006676,0.7178030303030303,0.8097049552792844,0.7699762635539857,,,,
classical_ext,svc,4,poly2__svc_C0.1__d4,poly2,id_test,0.1,0.02716684341430664,0.856,0.8579552503411652,0.8552909255351222,0.8654205607476636,0.8827672593535272,0.7763759732379352,,,,
classical_ext,svc,4,poly2__svc_C0.1__d4,poly2,ood_test,0.1,0.02716684341430664,0.713,0.7139914238627818,0.6946727306577303,0.7694779116465863,0.7348317573081169,0.6149412334515629,,,,
classical_ext,svc,4,poly2__svc_C10__d4,poly2,id_test,10.0,0.020998239517211914,0.887,0.8892123787913351,0.8862537105952152,0.8954671600370028,0.929333797558018,0.8673417760088107,,,,
classical_ext,svc,4,poly2__svc_C10__d4,poly2,ood_test,10.0,0.020998239517211914,0.752,0.7529320469127506,0.7381480308309576,0.7983739837398374,0.7689643034288548,0.6348192444768432,,,,
classical_ext,svc,4,poly2__svc_C100__d4,poly2,id_test,100.0,0.030000686645507812,0.887,0.8892123787913351,0.8862537105952152,0.8954671600370028,0.951824683146643,0.9186158345194568,,,,
classical_ext,svc,4,poly2__svc_C100__d4,poly2,ood_test,100.0,0.030000686645507812,0.753,0.7539360629770075,0.7390768814722402,0.7993501218521527,0.8145490327845245,0.6987604914549425,,,,
