family,model,dim,cfg,kernel,split,c_selected,c_cv_score,fit_seconds,accuracy,balanced_accuracy,f1_macro,f1_pos,roc_auc,pr_auc,log_loss,brier,ece,mean_predictive_entropy,shots,min_eig_before_psd,fro_change_sampling,fro_change_projection,spec_train_eff_rank,kta_ood
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,id_val,1.0,0.8975626353959776,0.010995626449584961,0.8764940239043825,0.8781806615776081,0.8764940239043825,0.8764940239043825,0.9289440203562341,0.9073590251188598,,,,,128,-1.6342964711161347,25.99665758620169,17.38937882041185,,
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,id_test,1.0,0.8975626353959776,0.010995626449584961,0.9076305220883534,0.9090497737556561,0.9076245624788296,0.9068825910931174,0.9484809308338721,0.9306535127790198,,,,,128,-1.6342964711161347,25.99665758620169,17.38937882041185,,
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,ood_test,1.0,0.8975626353959776,0.010995626449584961,0.866,0.866261860189763,0.8654829163303739,0.8738229755178908,0.8827341237459799,0.8116746401769008,,,,,128,-1.6342964711161347,25.99665758620169,17.38937882041185,,
quantum,gpc,4,zz_r1_full__as0.5__gpc__d4,zz_r1_full__as0.5,id_val,,,0.9206147193908691,0.8844621513944223,0.8851145038167939,0.8843960930675772,0.8816326530612245,0.9622773536895675,0.9585099994549298,0.2662816061394372,0.07961690108504338,0.0699361977682753,0.3634803124621194,128,-1.6342964711161347,25.99665758620169,17.38937882041185,,
quantum,gpc,4,zz_r1_full__as0.5__gpc__d4,zz_r1_full__as0.5,id_test,,,0.9206147193908691,0.9036144578313253,0.903781512605042,0.9034883720930232,0.9,0.9803490627020038,0.9795686497588367,0.23085488579627714,0.06402211538163798,0.08570991996843491,0.37403671475500705,128,-1.6342964711161347,25.99665758620169,17.38937882041185,,
quantum,gpc,4,zz_r1_full__as0.5__gpc__d4,zz_r1_full__as0.5,ood_test,,,0.9206147193908691,0.85,0.8502136034176546,0.849624060150376,0.8571428571428571,0.8474855597689563,0.7096436467830977,0.4114467550212605,0.12439268349488744,0.15210834752673172,0.3783569692883258,128,-1.6342964711161347,25.99665758620169,17.38937882041185,,
quantum,geometry,4,zz_r1_full__as0.5__geom__d4,zz_r1_full__as0.5,ood_test,,,,,,,,,,,,,,128,-1.1324910426668793,12.72321054744566,8.281969155859516,68.20090260409636,0.2753321449230787
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,id_val,1.0,0.8901799830812894,0.00648951530456543,0.8685258964143426,0.8708969465648855,0.8684924982138604,0.8705882352941177,0.9281806615776081,0.9062437832665536,,,,,512,-0.8199291382564278,13.020950863128457,8.591821211372947,,
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,id_test,1.0,0.8901799830812894,0.00648951530456543,0.8875502008032129,0.8898190045248868,0.8875338753387534,0.8888888888888888,0.957983193277311,0.9371956492974189,,,,,512,-0.8199291382564278,13.020950863128457,8.591821211372947,,
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,ood_test,1.0,0.8901799830812894,0.00648951530456543,0.878,0.8783260532168514,0.8772532085206396,0.8868274582560297,0.9083345333525336,0.8727797605184477,,,,,512,-0.8199291382564278,13.020950863128457,8.591821211372947,,
quantum,gpc,4,zz_r1_full__as0.5__gpc__d4,zz_r1_full__as0.5,id_val,,,0.851405143737793,0.8725099601593626,0.8736641221374046,0.8724917449834899,0.8709677419354839,0.9636132315521628,0.960879413661495,0.26450875370631,0.07885628164145642,0.07767413007651486,0.3664300724000227,512,-0.8199291382564278,13.020950863128457,8.591821211372947,,
quantum,gpc,4,zz_r1_full__as0.5__gpc__d4,zz_r1_full__as0.5,id_test,,,0.851405143737793,0.9036144578313253,0.903781512605042,0.9034883720930232,0.9,0.9796380090497738,0.9786545513660982,0.2353899013146781,0.06542452165232898,0.09390267653936299,0.3803261183950619,512,-0.8199291382564278,13.020950863128457,8.591821211372947,,
quantum,gpc,4,zz_r1_full__as0.5__gpc__d4,zz_r1_full__as0.5,ood_test,,,0.851405143737793,0.854,0.8542296676746828,0.85357301892318,0.8614800759013282,0.8406374501992031,0.69305197816187,0.4029510609753226,0.1218379985488392,0.14868266295166255,0.3844253411546533,512,-0.8199291382564278,13.020950863128457,8.591821211372947,,
quantum,geometry,4,zz_r1_full__as0.5__geom__d4,zz_r1_full__as0.5,ood_test,,,,,,,,,,,,,,512,-0.5672203767430833,6.33664765985536,4.061388796064192,43.12694723511808,0.2762336107548413
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,id_val,1.0,0.8940740015477688,0.006998777389526367,0.8605577689243028,0.8636132315521629,0.8604159715270827,0.8648648648648649,0.9324427480916029,0.9309834604045646,,,,,2048,-0.409937008976205,6.506909904602797,4.236659098661759,,
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,id_test,1.0,0.8940740015477688,0.006998777389526367,0.9036144578313253,0.9062702003878474,0.9035755776429586,0.905511811023622,0.9638655462184874,0.9389625189387446,,,,,2048,-0.409937008976205,6.506909904602797,4.236659098661759,,
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,ood_test,1.0,0.8940740015477688,0.006998777389526367,0.882,0.8823421174738796,0.8812011968476032,0.8909426987060998,0.8885262164194627,0.8182817769316745,,,,,2048,-0.409937008976205,6.506909904602797,4.236659098661759,,
quantum,gpc,4,zz_r1_full__as0.5__gpc__d4,zz_r1_full__as0.5,id_val,,,0.6651289463043213,0.8844621513944223,0.8851145038167939,0.8843960930675772,0.8816326530612245,0.963676844783715,0.9616844142986173,0.2665227128195228,0.08003124091441699,0.08584850359322813,0.3656238915705691,2048,-0.409937008976205,6.506909904602797,4.236659098661759,,
quantum,gpc,4,zz_r1_full__as0.5__gpc__d4,zz_r1_full__as0.5,id_test,,,0.6651289463043213,0.9156626506024096,0.9163865546218488,0.9156136528685548,0.9135802469135802,0.9807369101486748,0.9797130687768568,0.23357977556090823,0.06463116211462883,0.08627368957848834,0.38045766678284754,2048,-0.409937008976205,6.506909904602797,4.236659098661759,,
quantum,gpc,4,zz_r1_full__as0.5__gpc__d4,zz_r1_full__as0.5,ood_test,,,0.6651289463043213,0.848,0.8482055712891405,0.8476489832574251,0.8549618320610687,0.8368613897822366,0.6873990025049234,0.4053824862995623,0.12255184466488277,0.15150559814098816,0.38578630792322127,2048,-0.409937008976205,6.506909904602797,4.236659098661759,,
quantum,geometry,4,zz_r1_full__as0.5__geom__d4,zz_r1_full__as0.5,ood_test,,,,,,,,,,,,,,2048,-0.28288751735355244,3.168221495231913,1.9939091268191447,31.331775551027764,0.2763962446312657
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,id_val,10.0,0.898915926498292,0.014522075653076172,0.8764940239043825,0.8767811704834605,0.8763684319239875,0.8724279835390947,0.9237913486005089,0.8866035922662044,,,,,8192,-0.20120534735722478,3.256900950495518,2.095688777898755,,
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,id_test,10.0,0.898915926498292,0.014522075653076172,0.8995983935742972,0.8988687782805429,0.8992799935280317,0.8936170212765957,0.9471881060116354,0.9170598128213072,,,,,8192,-0.20120534735722478,3.256900950495518,2.095688777898755,,
quantum,svc,4,zz_r1_full__as0.5__svc__d4,zz_r1_full__as0.5,ood_test,10.0,0.898915926498292,0.014522075653076172,0.874,0.8742139874237989,0.8736842105263158,0.88,0.9129266068257093,0.8755203843116905,,,,,8192,-0.20120534735722478,3.256900950495518,2.095688777898755,,
quantum,gpc,4,zz_r1_full__as0.5__gpc__d4,zz_r1_full__as0.5,id_val,,,0.7264363765716553,0.8844621513944223,0.8851145038167939,0.8843960930675772,0.8816326530612245,0.9639949109414758,0.9621415732705768,0.2653120200872706,0.07938962651701588,0.07878091564808844,0.3672460426845432,8192,-0.20120534735722478,3.256900950495518,2.095688777898755,,
quantum,gpc,4,zz_r1_full__as0.5__gpc__d4,zz_r1_full__as0.5,id_test,,,0.7264363765716553,0.9156626506024096,0.9156755009696186,0.915526405066154,0.9121338912133892,0.9804137039431157,0.9793003378011348,0.23452704193851392,0.06506522810463032,0.08169405137201506,0.3812042201425596,8192,-0.20120534735722478,3.256900950495518,2.095688777898755,,
quantum,gpc,4,zz_r1_full__as0.5__gpc__d4,zz_r1_full__as0.5,ood_test,,,0.7264363765716553,0.85,0.8502136034176546,0.849624060150376,0.8571428571428571,0.8387014192227076,0.6900827219856112,0.40368474222878603,0.12200546826587089,0.1507963194443179,0.3861697634754715,8192,-0.20120534735722478,3.256900950495518,2.095688777898755,,
quantum,geometry,4,zz_r1_full__as0.5__geom__d4,zz_r1_full__as0.5,ood_test,,,,,,,,,,,,,,8192,-0.13798541763488675,1.585269548158443,0.9792424033017899,25.720678813008178,0.2763090113200564
quantum,svc,4,zz_r2_full__as0.5__svc__d4,zz_r2_full__as0.5,id_val,1.0,0.878744438676855,0.010540246963500977,0.8565737051792829,0.8580470737913486,0.8565714285714285,0.856,0.9111959287531807,0.8776340821531133,,,,,128,-1.6170888378277282,25.47246548338848,16.731577527116002,,
quantum,svc,4,zz_r2_full__as0.5__svc__d4,zz_r2_full__as0.5,id_test,1.0,0.878744438676855,0.010540246963500977,0.9116465863453815,0.9136069812540402,0.9116451612903226,0.912,0.9572721396250807,0.9318028677243448,,,,,128,-1.6170888378277282,25.47246548338848,16.731577527116002,,
quantum,svc,4,zz_r2_full__as0.5__svc__d4,zz_r2_full__as0.5,ood_test,1.0,0.878744438676855,0.010540246963500977,0.88,0.880254084065345,0.8795664391810518,0.8867924528301887,0.8980943695099122,0.856209629821133,,,,,128,-1.6170888378277282,25.47246548338848,16.731577527116002,,
quantum,gpc,4,zz_r2_full__as0.5__gpc__d4,zz_r2_full__as0.5,id_val,,,0.825507402420044,0.8406374501992032,0.8406806615776081,0.8404322949777495,0.8347107438016529,0.9510178117048347,0.9476450643526961,0.315065292171451,0.09517943684285389,0.0839718464326715,0.41575547955375564,128,-1.6170888378277282,25.47246548338848,16.731577527116002,,
quantum,gpc,4,zz_r2_full__as0.5__gpc__d4,zz_r2_full__as0.5,id_test,,,0.825507402420044,0.9156626506024096,0.9160310277957338,0.9155755041413048,0.9128630705394191,0.9776987718164188,0.9723078215967885,0.26174497231023997,0.07128250049218572,0.11647678528633992,0.4254064950650983,128,-1.6170888378277282,25.47246548338848,16.731577527116002,,
quantum,gpc,4,zz_r2_full__as0.5__gpc__d4,zz_r2_full__as0.5,ood_test,,,0.825507402420044,0.876,0.8762860205763292,0.8754239603928566,0.8838951310861424,0.880910094561513,0.7857146942192619,0.3678352687333921,0.10845998644825153,0.10329522540313174,0.4251271802242849,128,-1.6170888378277282,25.47246548338848,16.731577527116002,,
quantum,geometry,4,zz_r2_full__as0.5__geom__d4,zz_r2_full__as0.5,ood_test,,,,,,,,,,,,,,128,-1.0542539040812933,12.274688558378395,7.800863169881847,81.58540286420516,0.33624663239509645
quantum,svc,4,zz_r2_full__as0.5__svc__d4,zz_r2_full__as0.5,id_val,0.1,0.8782327140443009,0.00799703598022461,0.8446215139442231,0.8434478371501273,0.8439875687305761,0.8340425531914893,0.9325063613231553,0.9364703390724813,,,,,512,-0.7982511448915369,12.738066830667178,8.227765417828149,,
quantum,svc,4,zz_r2_full__as0.5__svc__d4,zz_r2_full__as0.5,id_test,0.1,0.8782327140443009,0.00799703598022461,0.9116465863453815,0.9104072398190045,0.911232823437905,0.9051724137931034,0.9692954104718812,0.9577280192981695,,,,,512,-0.7982511448915369,12.738066830667178,8.227765417828149,,
quantum,svc,4,zz_r2_full__as0.5__svc__d4,zz_r2_full__as0.5,ood_test,0.1,0.8782327140443009,0.00799703598022461,0.87,0.8702939247027952,0.8693598633303186,0.8785046728971962,0.88742219875518,0.8011665478726829,,,,,512,-0.7982511448915369,12.738066830667178,8.227765417828149,,
quantum,gpc,4,zz_r2_full__as0.5__gpc__d4,zz_r2_full__as0.5,id_val,,,0.6793768405914307,0.8645418326693227,0.8642811704834605,0.8642811704834605,0.8583333333333333,0.9478371501272265,0.9395588436042308,0.3157061064645517,0.09460100431644582,0.07374202420914819,0.42243847118398087,512,-0.7982511448915369,12.738066830667178,8.227765417828149,,
quantum,gpc,4,zz_r2_full__as0.5__gpc__d4,zz_r2_full__as0.5,id_test,,,0.6793768405914307,0.9116465863453815,0.9107627666451197,0.9113247863247863,0.905982905982906,0.9794440853264383,0.977629091012219,0.2634215666130867,0.07213530232763088,0.10630581356405117,0.42720057584138427,512,-0.7982511448915369,12.738066830667178,8.227765417828149,,
quantum,gpc,4,zz_r2_full__as0.5__gpc__d4,zz_r2_full__as0.5,ood_test,,,0.6793768405914307,0.872,0.872269956319301,0.871473555684082,0.8796992481203008,0.8762060192963088,0.7556888782070843,0.3725225070247434,0.10979594305119283,0.09955967116667219,0.42742700533346945,512,-0.7982511448915369,12.738066830667178,8.227765417828149,,
quantum,geometry,4,zz_r2_full__as0.5__geom__d4,zz_r2_full__as0.5,ood_test,,,,,,,,,,,,,,512,-0.5188079629021306,6.149212026264637,3.8107791554268684,53.778267471061014,0.3367612221265382
quantum,svc,4,zz_r2_full__as0.5__svc__d4,zz_r2_full__as0.5,id_val,1.0,0.8859301242487223,0.007725954055786133,0.8725099601593626,0.8750636132315521,0.8724593495934959,0.875,0.9325063613231551,0.9108058178040208,,,,,2048,-0.38956429677556975,6.369787225734487,4.039206299368875,,
quantum,svc,4,zz_r2_full__as0.5__svc__d4,zz_r2_full__as0.5,id_test,1.0,0.8859301242487223,0.007725954055786133,0.9076305220883534,0.9094053005817712,0.9076305220883534,0.9076305220883534,0.9662572721396252,0.9379756525385473,,,,,2048,-0.38956429677556975,6.369787225734487,4.039206299368875,,
quantum,svc,4,zz_r2_full__as0.5__svc__d4,zz_r2_full__as0.5,ood_test,1.0,0.8859301242487223,0.007725954055786133,0.88,0.8803180850893614,0.8793028532805485,0.8884758364312267,0.8993263892222275,0.8472718262221528,,,,,2048,-0.38956429677556975,6.369787225734487,4.039206299368875,,
quantum,gpc,4,zz_r2_full__as0.5__gpc__d4,zz_r2_full__as0.5,id_val,,,0.6592648029327393,0.852589641434263,0.8517811704834606,0.8521296075153253,0.8438818565400844,0.9461195928753181,0.9346491963719461,0.31471104757694873,0.09413482069045685,0.07482556063428684,0.4232828480292275,2048,-0.38956429677556975,6.369787225734487,4.039206299368875,,
quantum,gpc,4,zz_r2_full__as0.5__gpc__d4,zz_r2_full__as0.5,id_test,,,0.6592648029327393,0.9076305220883534,0.9065610859728507,0.90724755040894,0.9012875536480687,0.978409825468649,0.9764656920400301,0.26358959515178204,0.07199441594635048,0.10609268944154539,0.42883391269421484,2048,-0.38956429677556975,6.369787225734487,4.039206299368875,,
quantum,gpc,4,zz_r2_full__as0.5__gpc__d4,zz_r2_full__as0.5,ood_test,,,0.6592648029327393,0.878,0.8782940527048433,0.877399256356145,0.8859813084112149,0.8762220195523129,0.7546463821987333,0.3721589076297144,0.10969799078175012,0.0983675111711318,0.4296261621406854,2048,-0.38956429677556975,6.369787225734487,4.039206299368875,,
quantum,geometry,4,zz_r2_full__as0.5__geom__d4,zz_r2_full__as0.5,ood_test,,,,,,,,,,,,,,2048,-0.2562916265776523,3.0802153858528847,1.85988827532699,40.300308382555464,0.3368635122179863
quantum,svc,4,zz_r2_full__as0.5__svc__d4,zz_r2_full__as0.5,id_val,10.0,0.8916871070493512,0.01200246810913086,0.852589641434263,0.853530534351145,0.8525521949670556,0.8502024291497976,0.9173664122137404,0.8692144987113345,,,,,8192,-0.19499411677655612,3.19077146012202,1.9884616194073277,,
quantum,svc,4,zz_r2_full__as0.5__svc__d4,zz_r2_full__as0.5,id_test,10.0,0.8916871070493512,0.01200246810913086,0.9036144578313253,0.9012928248222366,0.9027850078084331,0.8938053097345132,0.9701357466063348,0.9659827722014924,,,,,8192,-0.19499411677655612,3.19077146012202,1.9884616194073277,,
quantum,svc,4,zz_r2_full__as0.5__svc__d4,zz_r2_full__as0.5,ood_test,10.0,0.8916871070493512,0.01200246810913086,0.862,0.8621657946527145,0.861800439835122,0.8670520231213873,0.8769900318405094,0.8074770000457063,,,,,8192,-0.19499411677655612,3.19077146012202,1.9884616194073277,,
quantum,gpc,4,zz_r2_full__as0.5__gpc__d4,zz_r2_full__as0.5,id_val,,,0.7979977130889893,0.848605577689243,0.8479643765903309,0.8481983702571938,0.8403361344537815,0.9456106870229007,0.935546353688132,0.31502130302711623,0.09443162872385422,0.08286712114370068,0.4232779449289723,8192,-0.19499411677655612,3.19077146012202,1.9884616194073277,,
quantum,gpc,4,zz_r2_full__as0.5__gpc__d4,zz_r2_full__as0.5,id_test,,,0.7979977130889893,0.9196787148594378,0.9188106011635424,0.9193861693861693,0.9145299145299145,0.9804783451842275,0.9787933332364784,0.2611719444794971,0.07096017559334583,0.11420570894156123,0.42840551741718413,8192,-0.19499411677655612,3.19077146012202,1.9884616194073277,,
quantum,gpc,4,zz_r2_full__as0.5__gpc__d4,zz_r2_full__as0.5,ood_test,,,0.7979977130889893,0.876,0.8762860205763292,0.8754239603928566,0.8838951310861424,0.8752780044480712,0.75376483130665,0.37302280102722285,0.11008420149025562,0.10059345697830378,0.4298546227756474,8192,-0.19499411677655612,3.19077146012202,1.9884616194073277,,
quantum,geometry,4,zz_r2_full__as0.5__geom__d4,zz_r2_full__as0.5,ood_test,,,,,,,,,,,,,,8192,-0.1253665657835376,1.5338072076344176,0.8939695283838227,33.717647425947675,0.33695877230019927
