family,model,dim,cfg,kernel,split,fit_seconds,accuracy,balanced_accuracy,f1_macro,f1_pos,roc_auc,pr_auc,log_loss,brier,ece,mean_predictive_entropy
classical_ext,svc,4,linear__svc__d4,linear,id_test,0.10043001174926758,0.8077777777777778,0.8123470522803115,0.8054234009290189,0.784019975031211,0.8229032258064517,0.8251386742207356,,,,
classical_ext,svc,4,linear__svc__d4,linear,ood_test,0.10043001174926758,0.665,0.6630274138524963,0.6504697919145619,0.5792044661549197,0.7664717088992848,0.6393624995652775,,,,
classical_ext,gpc,4,linear__gpc__d4,linear,id_test,11.931150197982788,0.8094444444444444,0.8139599555061179,0.807181505164781,0.7862928348909657,0.8193783215918922,0.8263265429947231,0.48021739458483054,0.14946138546595725,0.20805832280948428,0.5135345434507205
classical_ext,gpc,4,linear__gpc__d4,linear,ood_test,11.931150197982788,0.6638888888888889,0.6619273038414952,0.6494757425304376,0.578397212543554,0.7922026770578292,0.6781257018902604,0.580208571081936,0.19233958719776156,0.20100784195019725,0.5489764384360338
classical_ext,svc,4,rbf_gscale__svc__d4,rbf_gscale,id_test,0.07312774658203125,0.8911111111111111,0.8876900259547646,0.8891735639997538,0.9038272816486752,0.9585836114200963,0.945136476775232,,,,
classical_ext,svc,4,rbf_gscale__svc__d4,rbf_gscale,ood_test,0.07312774658203125,0.7622222222222222,0.7645764576457645,0.7492105862821056,0.8063348416289593,0.9111454355312074,0.8551537904072448,,,,
classical_ext,gpc,4,rbf_gscale__gpc__d4,rbf_gscale,id_test,16.88716173171997,0.8816666666666667,0.8789951798294401,0.8802320761241675,0.8933400100150225,0.9543752317389692,0.9455911929493753,0.24601490145505325,0.07553761640500266,0.047470701586636445,0.2924814120983786
classical_ext,gpc,4,rbf_gscale__gpc__d4,rbf_gscale,ood_test,16.88716173171997,0.7755555555555556,0.7777444411107777,0.7650859284145239,0.8146788990825689,0.8450869778335858,0.7421915077303181,0.46376930383639764,0.15509766571277697,0.14384374768589367,0.4311209105859546
classical_ext,svc,4,poly2__svc__d4,poly2,id_test,0.08083963394165039,0.8883333333333333,0.8846310715609937,0.8860828006124702,0.9020944958597175,0.9066147571375602,0.8493923920301389,,,,
classical_ext,svc,4,poly2__svc__d4,poly2,ood_test,0.08083963394165039,0.7344444444444445,0.7370737073707371,0.7158895786553956,0.7884955752212389,0.7671779523631376,0.6391804987864825,,,,
classical_ext,gpc,4,poly2__gpc__d4,poly2,id_test,14.804756879806519,0.8716666666666667,0.8684649610678532,0.8696296296296296,0.8859259259259259,0.9358806080830552,0.9258383704902008,0.29448024876818535,0.0885847990954132,0.08624520571719539,0.3906838758731798
classical_ext,gpc,4,poly2__gpc__d4,poly2,ood_test,14.804756879806519,0.7322222222222222,0.7348623751264015,0.7133375361301757,0.7869142351900973,0.8188967044852634,0.7229377024739339,0.49192559252882484,0.16566610924707734,0.0911666718897256,0.49482054817348536
classical_ext,svc,4,poly3__svc__d4,poly3,id_test,0.07972931861877441,0.8927777777777778,0.8892658509454949,0.8907873777370352,0.9055310817425355,0.9264306019033496,0.872651027920045,,,,
classical_ext,svc,4,poly3__svc__d4,poly3,ood_test,0.07972931861877441,0.7611111111111111,0.7634763476347635,0.7479037578625365,0.8056057866184448,0.8164976991526313,0.6826266023790035,,,,
classical_ext,gpc,4,poly3__gpc__d4,poly3,id_test,14.676059484481812,0.8822222222222222,0.8786800148312941,0.8800175068794993,0.8962818003913894,0.9450179211469533,0.9333067035206181,0.2734420219588639,0.0819698271488198,0.04717348529328031,0.3597903246336871
classical_ext,gpc,4,poly3__gpc__d4,poly3,ood_test,14.676059484481812,0.7338888888888889,0.7365236523652365,0.7152085943453282,0.7881468376824414,0.8048730799005827,0.7115173437735925,0.48665543207876355,0.16457261844539725,0.08250149172952016,0.478102613387969
classical_ext,svc,4,laplacian_med__svc__d4,laplacian_med,id_test,0.07608938217163086,0.8938888888888888,0.8906377456433074,0.8921431728793099,0.905864958107442,0.9607576319367198,0.942109464983981,,,,
classical_ext,svc,4,laplacian_med__svc__d4,laplacian_med,ood_test,0.07608938217163086,0.7722222222222223,0.7744774477447744,0.7608815112806901,0.8129562043795621,0.905774528070091,0.8567519667325587,,,,
classical_ext,gpc,4,laplacian_med__gpc__d4,laplacian_med,id_test,16.86922860145569,0.8922222222222222,0.8890248424175009,0.8904959792080338,0.9042448173741362,0.9589605734767025,0.9546726793107052,0.23990000672871375,0.07251442135152335,0.03592548454439318,0.3032171490202423
classical_ext,gpc,4,laplacian_med__gpc__d4,laplacian_med,ood_test,16.86922860145569,0.7716666666666666,0.7738496071829406,0.7610742165233424,0.8113813675998164,0.8565387402937823,0.7723802571980026,0.450872451482403,0.15051093218260725,0.11192540992605775,0.43905084840602887
classical_ext,svc,4,matern15_med__svc__d4,matern15_med,id_test,0.06400036811828613,0.8933333333333333,0.8898405635891732,0.8913698091050708,0.9059745347698335,0.9621282906933629,0.9534709518384358,,,,
classical_ext,svc,4,matern15_med__svc__d4,matern15_med,ood_test,0.06400036811828613,0.7611111111111111,0.7634763476347635,0.7479037578625365,0.8056057866184448,0.9176115142378436,0.8563277710400955,,,,
classical_ext,gpc,4,matern15_med__gpc__d4,matern15_med,id_test,17.022524118423462,0.8861111111111111,0.8831108639228773,0.8844627439315544,0.8982630272952854,0.9538759115066123,0.9445290909254586,0.24994681691257503,0.07608149981623233,0.0512493602766076,0.3081094740021265
classical_ext,gpc,4,matern15_med__gpc__d4,matern15_med,ood_test,17.022524118423462,0.7666666666666667,0.7689657854674357,0.7545454545454545,0.8090909090909091,0.8402210591429514,0.7342072261325807,0.4714126651378702,0.15849994778357476,0.14569236936554913,0.44418326901362215
classical_ext,svc,4,matern25_med__svc__d4,matern25_med,id_test,0.07014727592468262,0.8927777777777778,0.889302929180571,0.8908206022843448,0.9054385105340519,0.9601001112347052,0.951508589252307,,,,
classical_ext,svc,4,matern25_med__svc__d4,matern25_med,ood_test,0.07014727592468262,0.7611111111111111,0.7634763476347635,0.7479037578625365,0.8056057866184448,0.8969008011912303,0.8031963622483963,,,,
classical_ext,gpc,4,matern25_med__gpc__d4,matern25_med,id_test,17.22338366508484,0.8877777777777778,0.8845754542083797,0.8859803494846538,0.9002961500493584,0.9524249165739712,0.9412760112136747,0.2548675940841656,0.07743473873508148,0.04869759144931569,0.31509671473228734
classical_ext,gpc,4,matern25_med__gpc__d4,matern25_med,ood_test,17.22338366508484,0.7627777777777778,0.7651154004289318,0.7499960154191894,0.8065246941549615,0.8367256478734293,0.7313048375700072,0.479713548054143,0.16170149980506,0.15312710661242634,0.44937445044152885
quantum,svc,4,zz_r1_full__svc__d4,zz_r1_full,id_test,0.07600879669189453,0.8927777777777778,0.8910826844642195,0.8920774470134126,0.900771208226221,0.9550723025583983,0.9368859209454862,,,,
quantum,svc,4,zz_r1_full__svc__d4,zz_r1_full,ood_test,0.07600879669189453,0.8177777777777778,0.8194152748608194,0.813259109311741,0.8423076923076923,0.9049744480620902,0.8346989036962507,,,,
quantum,gpc,4,zz_r1_full__gpc__d4,zz_r1_full,id_test,16.870599031448364,0.8922222222222222,0.8906562847608454,0.891584982843603,0.8998968008255934,0.9631479421579533,0.9594147996653495,0.23539756561244252,0.0705945050623555,0.0390585913603283,0.3043515523562135
