setting_label,splits_dir,dim,kernel,family,n_train,spec_train_top1_share,spec_train_top5_share,spec_train_top20_share,spec_train_eff_rank,spec_ood_top1_share,spec_ood_top5_share,spec_ood_top20_share,spec_ood_eff_rank,k_train_mean,k_train_std,k_id2train_mean,k_id2train_std,k_ood2train_mean,k_ood2train_std,ood_novelty_ratio,kta_train,kta_id,kta_ood,kta_drop_id_to_ood,gd_vs_linear_lam1e-06,gd_vs_linear_lam0.0001,gd_vs_linear_lam0.01,gd_vs_rbf_gscale_lam1e-06,gd_vs_rbf_gscale_lam0.0001,gd_vs_rbf_gscale_lam0.01,gd_vs_laplacian_med_lam1e-06,gd_vs_laplacian_med_lam0.0001,gd_vs_laplacian_med_lam0.01,gd_vs_matern15_med_lam1e-06,gd_vs_matern15_med_lam0.0001,gd_vs_matern15_med_lam0.01
unsw_dos__m2_centroid__ms123__q4000_id1800_ood1800__qs2024__s42,data\processed\netflow\unsw_dos\splits_m2_centroid__ms123\qsplits\splits_sparsity_q4000_id1800_ood1800_seed2024,4,linear,classical,4000,0.8208296105412305,0.9999999999999932,0.9999999999999959,1.8172482006406339,0.8343487616020343,0.9999999999999946,0.9999999999999974,1.7512826862206547,0.8186729198684797,0.15164111140989595,0.8186065166187442,0.1524093072618332,0.8255541334411601,0.14564570214744754,1.0084871262094433,0.18119629044144464,0.2775754723528458,0.030100201804948715,0.24747527054789709,,,,,,,,,,,,
unsw_dos__m2_centroid__ms123__q4000_id1800_ood1800__qs2024__s42,data\processed\netflow\unsw_dos\splits_m2_centroid__ms123\qsplits\splits_sparsity_q4000_id1800_ood1800_seed2024,4,rbf_gscale,classical,4000,0.356121947921204,0.9244883330203174,0.9975613555113755,5.760330403773817,0.41374845985907294,0.9307971466300167,0.9984105945834747,5.039044977708258,0.3488986824653315,0.33186975120052786,0.3454584175350617,0.3337692949447429,0.3670075924057608,0.3244483306351221,1.0623784912362486,0.2768867918018898,0.3280128035669074,0.2136444829219573,0.11436832064495006,,,,,,,,,,,,
unsw_dos__m2_centroid__ms123__q4000_id1800_ood1800__qs2024__s42,data\processed\netflow\unsw_dos\splits_m2_centroid__ms123\qsplits\splits_sparsity_q4000_id1800_ood1800_seed2024,4,laplacian_med,classical,4000,0.4520644527537672,0.830578862348405,0.9374579657440625,9.327829757938622,0.4900380168087951,0.8519597391473849,0.9478325300868915,7.6053756025424955,0.4492520117990949,0.2158877823539068,0.4480199225786679,0.2179314068476834,0.45745322824670015,0.20713384284304365,1.0210555495249787,0.27513123887496665,0.3232123730876772,0.2613875428777611,0.06182483020991608,,,,,,,,,,,,
unsw_dos__m2_centroid__ms123__q4000_id1800_ood1800__qs2024__s42,data\processed\netflow\unsw_dos\splits_m2_centroid__ms123\qsplits\splits_sparsity_q4000_id1800_ood1800_seed2024,4,matern15_med,classical,4000,0.5732237546209149,0.9508608867531068,0.9957847535040013,4.115051744764928,0.6133112936027947,0.9547063000429123,0.9968978064505485,3.6369493346574266,0.5703709882431625,0.22937551394660685,0.5679457773421788,0.23012671452453112,0.5848540132338748,0.22404229170834217,1.0297708629348767,0.26019888597797286,0.3194736505092325,0.1880882028882975,0.131385447620935,,,,,,,,,,,,
unsw_dos__m2_centroid__ms123__q4000_id1800_ood1800__qs2024__s42,data\processed\netflow\unsw_dos\splits_m2_centroid__ms123\qsplits\splits_sparsity_q4000_id1800_ood1800_seed2024,4,zz_r1_full,quantum,4000,0.13681998557640526,0.4918089582464599,0.8076050785777344,30.981583551425594,0.18395603475080627,0.5861029397037495,0.8734402580245583,21.8013982989121,0.1279408821620513,0.20714980166457425,0.1288676030763557,0.21150770939981706,0.12376402302122015,0.18585666812736312,0.9603967177684557,0.22472805189704698,0.22996788166962642,0.3413988014155095,-0.11143091974588307,311.2137564582288,31.122119267152915,3.1192331471676917,120.35011590141728,15.598067571064497,1.8874552503346604,25.6497824253026,8.372876725041781,1.549549168301883,43.17762748993775,10.757370316444154,1.9182367948258225
unsw_dos__m2_centroid__ms123__q4000_id1800_ood1800__qs2024__s42,data\processed\netflow\unsw_dos\splits_m2_centroid__ms123\qsplits\splits_sparsity_q4000_id1800_ood1800_seed2024,4,zz_r2_full,quantum,4000,0.13331767830940225,0.40586054239772906,0.7274489213309161,44.20745207752149,0.14466867026083766,0.5009797573420116,0.8040298319699469,31.136287820885673,0.11794016222368982,0.17955113818331983,0.1204399408019052,0.18337500770004514,0.10584424169760454,0.1559500767320828,0.8788134649758166,0.18501184509106164,0.18826110973731955,0.29496480194271796,-0.10670369220539841,272.34961457702923,27.23669391160292,2.741444642085666,156.35329933856138,17.677609471384766,1.9789260659578192,26.827969578531945,8.027933341069211,1.6950933855848627,50.19829510493094,12.459683027260612,1.990240128664737
unsw_dos__m2_centroid__ms123__q4000_id1800_ood1800__qs2024__s42,data\processed\netflow\unsw_dos\splits_m2_centroid__ms123\qsplits\splits_sparsity_q4000_id1800_ood1800_seed2024,4,pauli_xz_r1_full,quantum,4000,0.2281090378940434,0.8127735878580101,0.9892343763214363,8.876691914427665,0.2727901288967808,0.8577792564188818,0.9924115479682221,7.568319702379012,0.21459092570958868,0.3250726222872555,0.2152871374506906,0.3290864627514471,0.2127122837533899,0.3145212380237689,0.9880399092681956,0.3124972077296306,0.3413218297448734,0.31688579151876806,0.02443603822610535,399.9347761127181,40.0001828160215,4.060161409231516,7.482661217839481,3.6414156415022187,1.4756323192077145,2.948080417003376,2.2964090208720855,1.5026689385060286,3.624460562995599,2.820230286502193,1.8327869356733182
unsw_dos__m2_centroid__ms123__q4000_id1800_ood1800__qs2024__s42,data\processed\netflow\unsw_dos\splits_m2_centroid__ms123\qsplits\splits_sparsity_q4000_id1800_ood1800_seed2024,4,zmap_r2,quantum,4000,0.281228634512616,0.7932487329373535,0.9806581279457627,9.578522261246754,0.3162792603835943,0.8392469461413665,0.9851770233244118,8.193492032798849,0.2707957072226005,0.2862273612884274,0.27264529583692737,0.29072015568664267,0.2651559531722848,0.2728283010310656,0.9725308201571831,0.19081948283283415,0.1899413048026694,0.3675297861954338,-0.1775884813927644,383.5576203418726,38.36257089581475,3.8935591789347637,30.094107599347645,6.798655246402145,1.727846793690369,3.480114427793785,2.66093496030375,1.5502179009801378,6.173098693737799,4.249435704246541,1.980168555714106
unsw_dos__m2_centroid__ms123__q4000_id1800_ood1800__qs2024__s42,data\processed\netflow\unsw_dos\splits_m2_centroid__ms123\qsplits\splits_sparsity_q4000_id1800_ood1800_seed2024,6,linear,classical,4000,0.8481676839943938,0.9921036875650496,0.999999999999996,1.8231271871128834,0.8406760031097361,0.9960546489867448,0.9999999999999969,1.8446273404296423,0.846385752269389,0.11384070167514564,0.8495401353528562,0.11116343207942556,0.839846970814408,0.12077936020140854,0.988590104063274,0.199843108170872,0.2852806971589175,0.09335464886323054,0.191926048295687,,,,,,,,,,,,
unsw_dos__m2_centroid__ms123__q4000_id1800_ood1800__qs2024__s42,data\processed\netflow\unsw_dos\splits_m2_centroid__ms123\qsplits\splits_sparsity_q4000_id1800_ood1800_seed2024,6,rbf_gscale,classical,4000,0.42339555459202666,0.8739986849084249,0.9945542584387069,6.1035370447050905,0.44404080608768537,0.907857028056386,0.9967802297179378,5.417631647335682,0.40849729846727806,0.29371321831359404,0.41279110716585055,0.2921877188314695,0.40040881307522497,0.29658516825399583,0.9700034863259527,0.2548433513959556,0.3093006805742629,0.20081797681792726,0.10848270375633565,,,,,,,,,,,,
