model,kernel,delta_ood,setting,qs,seed
gpc,laplacian_med,-0.011934156378600824,m1_hist_byteent__ms123__q1000_id500_ood500,123,123
gpc,linear,0.0009735632736064704,m1_hist_byteent__ms123__q1000_id500_ood500,123,123
gpc,matern15_med,-0.007886182767289562,m1_hist_byteent__ms123__q1000_id500_ood500,123,123
gpc,matern25_med,-0.0027701718147027377,m1_hist_byteent__ms123__q1000_id500_ood500,123,123
gpc,poly2,0.053325006805335404,m1_hist_byteent__ms123__q1000_id500_ood500,123,123
gpc,poly3,0.0473010840498951,m1_hist_byteent__ms123__q1000_id500_ood500,123,123
gpc,rbf_gscale,0.02005892619813938,m1_hist_byteent__ms123__q1000_id500_ood500,123,123
svc,laplacian_med,0.0016685081103585465,m1_hist_byteent__ms123__q1000_id500_ood500,123,123
svc,linear,-0.0018174248610910882,m1_hist_byteent__ms123__q1000_id500_ood500,123,123
svc,matern15_med,0.01642087396518872,m1_hist_byteent__ms123__q1000_id500_ood500,123,123
svc,matern25_med,0.026154905445869604,m1_hist_byteent__ms123__q1000_id500_ood500,123,123
svc,poly2,0.0457670813918112,m1_hist_byteent__ms123__q1000_id500_ood500,123,123
svc,poly3,0.022614529791356475,m1_hist_byteent__ms123__q1000_id500_ood500,123,123
svc,rbf_gscale,0.03532049126515189,m1_hist_byteent__ms123__q1000_id500_ood500,123,123
gpc,laplacian_med,-0.011934156378600824,m1_hist_byteent__ms123__q1000_id500_ood500,123,42
gpc,linear,0.0009735632736064704,m1_hist_byteent__ms123__q1000_id500_ood500,123,42
gpc,matern15_med,-0.007886182767289562,m1_hist_byteent__ms123__q1000_id500_ood500,123,42
gpc,matern25_med,-0.0027701718147027377,m1_hist_byteent__ms123__q1000_id500_ood500,123,42
gpc,poly2,0.053325006805335404,m1_hist_byteent__ms123__q1000_id500_ood500,123,42
gpc,poly3,0.0473010840498951,m1_hist_byteent__ms123__q1000_id500_ood500,123,42
gpc,rbf_gscale,0.02005892619813938,m1_hist_byteent__ms123__q1000_id500_ood500,123,42
svc,laplacian_med,0.0016685081103585465,m1_hist_byteent__ms123__q1000_id500_ood500,123,42
svc,linear,-0.001405902227346223,m1_hist_byteent__ms123__q1000_id500_ood500,123,42
svc,matern15_med,0.01642087396518872,m1_hist_byteent__ms123__q1000_id500_ood500,123,42
svc,matern25_med,0.026154905445869604,m1_hist_byteent__ms123__q1000_id500_ood500,123,42
svc,poly2,0.04617860402555607,m1_hist_byteent__ms123__q1000_id500_ood500,123,42
svc,poly3,0.022614529791356475,m1_hist_byteent__ms123__q1000_id500_ood500,123,42
svc,rbf_gscale,0.03532049126515189,m1_hist_byteent__ms123__q1000_id500_ood500,123,42
gpc,laplacian_med,-0.011934156378600824,m1_hist_byteent__ms123__q1000_id500_ood500,123,999
gpc,linear,0.0009735632736064704,m1_hist_byteent__ms123__q1000_id500_ood500,123,999
gpc,matern15_med,-0.007886182767289562,m1_hist_byteent__ms123__q1000_id500_ood500,123,999
gpc,matern25_med,-0.0027701718147027377,m1_hist_byteent__ms123__q1000_id500_ood500,123,999
gpc,poly2,0.053325006805335404,m1_hist_byteent__ms123__q1000_id500_ood500,123,999
gpc,poly3,0.0473010840498951,m1_hist_byteent__ms123__q1000_id500_ood500,123,999
gpc,rbf_gscale,0.02005892619813938,m1_hist_byteent__ms123__q1000_id500_ood500,123,999
svc,laplacian_med,0.0016685081103585465,m1_hist_byteent__ms123__q1000_id500_ood500,123,999
svc,linear,-0.0018174248610910882,m1_hist_byteent__ms123__q1000_id500_ood500,123,999
svc,matern15_med,0.01642087396518872,m1_hist_byteent__ms123__q1000_id500_ood500,123,999
svc,matern25_med,0.026154905445869604,m1_hist_byteent__ms123__q1000_id500_ood500,123,999
