variant_name,master_seed,size_tag,dim,cfg_classical,n_runs_classical,id_bal_acc_mean_classical,id_bal_acc_std_classical,ood_bal_acc_mean_classical,ood_bal_acc_std_classical,cfg_quantum,n_runs_quantum,id_bal_acc_mean_quantum,id_bal_acc_std_quantum,ood_bal_acc_mean_quantum,ood_bal_acc_std_quantum,delta_ood_bal_acc_mean,effect_ood_bal_acc_mean,winner_ood_bal_acc_mean,delta_id_bal_acc_mean,winner_id_bal_acc_mean
m1_hist_byteent,42,size_q1000_id500_ood500,4,rbf_gscale,15,0.6939,0.0125,0.6659,0.0495,zz_r1_full__d4,15,0.7192,0.0358,0.7267,0.0259,0.0608,1.0882,quantum,0.0253,quantum
m1_hist_byteent,42,size_q1000_id500_ood500,6,linear,15,0.6636,0.0184,0.6899,0.0204,zz_r1_full__d6,15,0.7551,0.0172,0.7374,0.0139,0.0474,1.9239,quantum,0.0915,quantum
m1_hist_byteent,42,size_q1000_id500_ood500,8,rbf_gscale,15,0.7085,0.0281,0.722,0.0135,zz_r2_full__d8,15,0.7718,0.0227,0.738,0.0156,0.0161,0.7783,quantum,0.0633,quantum
m1_hist_byteent,42,size_q1000_id500_ood500,10,rbf_gscale,15,0.7095,0.0219,0.714,0.0241,zz_r1_full__d10,15,0.7755,0.0289,0.7377,0.0059,0.0237,0.9552,quantum,0.066,quantum
m1_hist_byteent,42,size_q1000_id500_ood500,12,rbf_gscale,15,0.7112,0.0244,0.7181,0.031,pauli_xz_r1_full__d12,15,0.747,0.0315,0.7582,0.0197,0.04,1.0898,quantum,0.0359,quantum
m1_hist_byteent,42,size_q2000_id1000_ood1000,4,linear,15,0.6421,0.0595,0.6863,0.0366,zz_r2_full__d4,15,0.7348,0.0255,0.729,0.0259,0.0427,0.9533,quantum,0.0927,quantum
m1_hist_byteent,42,size_q2000_id1000_ood1000,6,rbf_gscale,15,0.6761,0.0099,0.7013,0.0168,zz_r1_full__d6,15,0.7654,0.0104,0.7355,0.0217,0.0342,1.245,quantum,0.0893,quantum
m1_hist_byteent,42,size_q2000_id1000_ood1000,8,rbf_gscale,15,0.6797,0.0111,0.7089,0.0094,zz_r2_full__d8,15,0.7847,0.0108,0.7509,0.0187,0.042,2.002,quantum,0.105,quantum
m1_hist_byteent,42,size_q2000_id1000_ood1000,10,rbf_gscale,15,0.7024,0.0053,0.7014,0.0562,zz_r1_full__d10,15,0.7928,0.0065,0.7606,0.0098,0.0591,1.0372,quantum,0.0903,quantum
m1_hist_byteent,42,size_q2000_id1000_ood1000,12,rbf_gscale,15,0.7022,0.0049,0.7086,0.0603,zz_r1_full__d12,15,0.7909,0.0061,0.7614,0.007,0.0527,0.8693,quantum,0.0887,quantum
