year,legacy_url,current_official_url,cache_file,size_bytes,sha256
1999,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DBQ.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DBQ.XPT,DBQ1999.XPT,3674320,19faa3a5e749ed4593beaeddf130dff77f7b40172902bc5cb55dcb16dc5bbcda
1999,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DEMO.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DEMO.XPT,DEMO1999.XPT,11500560,a17bd1ebfd6007b8dc93f16259cb090678eb6c467a39363b7e932bba15febf89
1999,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/LAB06.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB06.XPT,LAB061999.XPT,2903440,5ae7ee4a4b7be64b044af9a2f2987129790524c682db0b2b9b2e1672b74012e5
2001,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/DBQ_B.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/DBQ_B.XPT,DBQ_B2001.XPT,3096640,ff1e1d9c0609a77df02baeb20a79dd7328d05b0b1d2e0c0e258e67ad2429033a
2001,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/DEMO_B.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/DEMO_B.XPT,DEMO_B2001.XPT,3273520,6458dc2307cee244ab6ba26f70ec78c7b842ffc68e668bc43f0ab6b9737937d9
2001,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/L06_2_B.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/L06_2_B.XPT,L06_2_B2001.XPT,87200,631d846c5942b4256bcab334315b16f478318ec3a518aaa0f82f731b17a3698a
2001,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/L06_B.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/L06_B.XPT,L06_B2001.XPT,1751360,92e31c9dc039a973dcd769852010cc78984a6a235fa0d2f802aa5e76b4cca051
2003,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/DBQ_C.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/DBQ_C.XPT,DBQ_C2003.XPT,2758720,864fbb9ecc5ac231e714f5f92eba35e27b8c51263d6d0d7f186094f66b5e4bbf
2003,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/DEMO_C.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/DEMO_C.XPT,DEMO_C2003.XPT,3569840,2a2fdb88263337bfa06f0516bfb419631595f0a0ee88fb96069bed13d1857c6f
2003,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/L06BMT_C.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L06BMT_C.XPT,L06BMT_C2003.XPT,662960,0c57f6a5e800a0f2a72191596f5725ee452365a194d49b689af6c66dfab1bf29
2005,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/DBQ_D.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/DBQ_D.XPT,DBQ_D2005.XPT,4395760,e6deef7c89b4d035de48f656c5393e322a8df0a84831a62b42dd7c7582f9f66f
2005,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/DEMO_D.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/DEMO_D.XPT,DEMO_D2005.XPT,3566560,bf9cc79cce501b2fbe5aa8d5b403b618548d02d4aefeb528335cdd9f4c40a3af
2005,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/PBCD_D.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/PBCD_D.XPT,PBCD_D2005.XPT,606000,595dbf32fa1e5d652333d65c8f4aafdd95f9d8fc4b13e77b8249eff45e76a078
2007,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DBQ_E.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/DBQ_E.XPT,DBQ_E2007.XPT,4392720,e6d591099cc1ade73071789cd97ad0222bd5ec53d6e198504ee20add8673c667
2007,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DEMO_E.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/DEMO_E.XPT,DEMO_E2007.XPT,3498080,02b8e97703d04bc99769c751881bece51ac9ba68cf18a2992a45d3bdfb856147
2007,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/INQ_E.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/INQ_E.XPT,INQ_E2007.XPT,1220800,2365c39449a0df411e7f9a6ddc4e9423fe0dd556507ab1cc646022e70223fb4a
2007,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/PBCD_E.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/PBCD_E.XPT,PBCD_E2007.XPT,597520,b16c6f4153ed3e08bc48f7ee3228834f853acc23b7590dc72c7793b7448bd125
2009,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DBQ_F.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/DBQ_F.XPT,DBQ_F2009.XPT,4644800,bd1f67469f24245e7d82ef52d2fa57d2367b2338ac9617cb89d45ebd5801e06c
2009,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DEMO_F.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/DEMO_F.XPT,DEMO_F2009.XPT,3631600,78c4d4a6e5eafa9da3bbb24a90d140fef5d8c0cda932a7ff8ee609288d4fae07
2009,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/INQ_F.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/INQ_F.XPT,INQ_F2009.XPT,1267360,af90c815051aa84482aa7e16673e1e4860430178123305369cb0fbf0281f641d
2009,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/PBCD_F.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/PBCD_F.XPT,PBCD_F2009.XPT,788960,932c90e58f7b0b969a91bb69ff61a72e82bddfc4c22ea5dc73c094b291a7264a
2011,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DBQ_G.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/DBQ_G.XPT,DBQ_G2011.XPT,3362880,df7c5dbc5b5823eca804e564e7e63a89dfc73b93daba8db77faea2bce2aa2e78
2011,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DEMO_G.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/DEMO_G.XPT,DEMO_G2011.XPT,3753760,eaf0525d1952626885af3e935415a1f66ad62c18698080e7354789c125af252d
2011,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/INQ_G.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/INQ_G.XPT,INQ_G2011.XPT,1173600,9fcc77fe0ee97757bba7cb7b20d2a88388d22454217bd92804e4b04b194134f3
2011,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/PBCD_G.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/PBCD_G.XPT,PBCD_G2011.XPT,1149360,996cc3daaae69bf043785b274b02d4921dd2e49ec819c528707752d675ebd191
2013,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DBQ_H.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/DBQ_H.XPT,DBQ_H2013.XPT,4159360,93647043bf20f1d10bbe019fc6e0763d2b48e21691806696dfafd0c07cfbc557
2013,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DEMO_H.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/DEMO_H.XPT,DEMO_H2013.XPT,3833200,f8f0cbb3085a323d4cde22349b164878fea1e64dbc404e65b5815c7816b547d7
2013,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/INQ_H.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/INQ_H.XPT,INQ_H2013.XPT,1223920,309de9a87335a545a0b61526942a99f7959f4d607d47a45c64f63ef91607c5b1
2013,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/PBCD_H.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/PBCD_H.XPT,PBCD_H2013.XPT,809920,fd354c927ba6344256bdef540ce32821ed35a85f18a4014a94be337f148afd26
2015,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DBQ_I.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/DBQ_I.XPT,DBQ_I2015.XPT,4076160,ac491eb3a22b94e1faa08e95e50719d5e526a71ac85e06b36c4cfeaa05d95456
2015,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DEMO_I.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/DEMO_I.XPT,DEMO_I2015.XPT,3756480,c9297c6c37ae8f78f29be9568fa2a03cf3b112616a39afee04030fc775a66a0d
2015,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/INQ_I.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/INQ_I.XPT,INQ_I2015.XPT,1279280,9624b486977638df2e6edf8e29ea311f2bd3cf7c2c0c17091deb6e51db42744f
2015,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/PBCD_I.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/PBCD_I.XPT,PBCD_I2015.XPT,794000,7556d180dbe580ebf439b22201b02db408ee995640e29946e7e60f43f583aa9d
2017,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DBQ_J.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/DBQ_J.XPT,DBQ_J2017.XPT,3412720,1c365d7f4696c161a7a9726aac6d696e63978f64632e3ce08e5eb13e294a138d
2017,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DEMO_J.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/DEMO_J.XPT,DEMO_J2017.XPT,3412720,c0b46e0345ea19404928656277c8b0d10b0cca348a9b2fe4fc3c67e8b7ee73ec
2017,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/INQ_J.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/INQ_J.XPT,INQ_J2017.XPT,1187520,fc69a9aa8c8125d624ca67688050cc1f34b1455d64bc67832f5f1288281e5064
2017,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/PBCD_J.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/PBCD_J.XPT,PBCD_J2017.XPT,1073840,66859650ceda3969f2b20da86eaca22197cfc93544598bd7a738329515e8c895
