task,split,seed,stratum,source_n,sample_n,class_0_n,class_1_n,positions_sha256,first_rank_digest,tableshift_commit,ood_validation_accessed
brfss_diabetes,id_test,7,q1000,132590,250,223,27,d553fc3de6165e55127bcba2cac4ccd9ddf3cc151a81e976fad7a29b4f6542ec,0000c9cb1894ff3388bea9405807efcd63ac3464909ac9933caae2f4c93a24f1,fca9429814703a07e3902d005d46563a207b7f0a,False
brfss_diabetes,id_test,7,q2000,132590,500,444,56,37e0e53a1a0f64b6c022443c6a7b9a0ebce61244e52637638201eb2ed3645c16,0000c9cb1894ff3388bea9405807efcd63ac3464909ac9933caae2f4c93a24f1,fca9429814703a07e3902d005d46563a207b7f0a,False
brfss_diabetes,id_test,42,q1000,132590,250,205,45,5c9a3192cb88e4c2f3208283310998c10692ec06764b2a65fe6f58130e93998b,0000469448421cf1a5d038f5014a03ba1c5322b910d251d39715164132f4ad3b,fca9429814703a07e3902d005d46563a207b7f0a,False
brfss_diabetes,id_test,42,q2000,132590,500,425,75,f235a6298c21340d63ba7de9ecc00bf33ee8cb70d293ad076c975bcb7b7ba607,0000469448421cf1a5d038f5014a03ba1c5322b910d251d39715164132f4ad3b,fca9429814703a07e3902d005d46563a207b7f0a,False
brfss_diabetes,id_test,123,q1000,132590,250,218,32,c4677ce9aaefa6930e1dad1c54c41eb74fc97c4ddf019bc55d76360d5e371714,0001c1e26b52582b8313a858a8fcd5f8674b7ce09a411b85fd7dda385c591b4f,fca9429814703a07e3902d005d46563a207b7f0a,False
brfss_diabetes,id_test,123,q2000,132590,500,437,63,7e893860c25f4e7e2ca875b1230cd74b3569fc69e02293ce89656b631acb9ce0,0001c1e26b52582b8313a858a8fcd5f8674b7ce09a411b85fd7dda385c591b4f,fca9429814703a07e3902d005d46563a207b7f0a,False
brfss_diabetes,id_test,999,q1000,132590,250,210,40,0d191202f042ca8d157e6d3f2606ab747a1fec6fb4d06e682d71f66e011f1d43,00002b7833ee5cb66fcfa555a7578cf960d4fde66d68c92f2fb64d7fd185abfa,fca9429814703a07e3902d005d46563a207b7f0a,False
brfss_diabetes,id_test,999,q2000,132590,500,424,76,a96a0e4a432e469d94476bac2248bde640e5fdd500d55c990dfc52a989c70738,00002b7833ee5cb66fcfa555a7578cf960d4fde66d68c92f2fb64d7fd185abfa,fca9429814703a07e3902d005d46563a207b7f0a,False
brfss_diabetes,id_test,2024,q1000,132590,250,219,31,9ab99bdffaa3971cb4daeb2b255123b0af993236e3a4d664249bc9ee033fcb83,00000c6b2197056a81bd5550d584bd6bf2faac1c11720c1285b7cb505ead1723,fca9429814703a07e3902d005d46563a207b7f0a,False
brfss_diabetes,id_test,2024,q2000,132590,500,438,62,0fa23ed87d25838d250c85543b2bb757b4d10640f55d6da7878ca27f46527c46,00000c6b2197056a81bd5550d584bd6bf2faac1c11720c1285b7cb505ead1723,fca9429814703a07e3902d005d46563a207b7f0a,False
brfss_diabetes,ood_test,7,q1000,233859,500,413,87,ff55f3700c23fbecae2f962680f2d4ac43b685be495fca25c49c95fa5766260e,00000b22ab059651b7fc1752df85148defd0fe10eb97987205119eb8bd5e2ece,fca9429814703a07e3902d005d46563a207b7f0a,False
brfss_diabetes,ood_test,7,q2000,233859,1000,825,175,710b5c5349a9f4a3bb713f0db3e59ad68e740f7c3a65178631ec6a247316086c,00000b22ab059651b7fc1752df85148defd0fe10eb97987205119eb8bd5e2ece,fca9429814703a07e3902d005d46563a207b7f0a,False
brfss_diabetes,ood_test,42,q1000,233859,500,423,77,80493b195aeb4e78f48b4e6b47abe72721372ae3c3c524291163c74e10fe49b5,00000fc6b6ef8b0500c732f45ce9260eb00b720c80882bcce7aa72f163b52e5d,fca9429814703a07e3902d005d46563a207b7f0a,False
brfss_diabetes,ood_test,42,q2000,233859,1000,841,159,9c9765bf4544df6605c77d1f1038d4c5b8b15f69aff4eca6f29c9c254e64e04f,00000fc6b6ef8b0500c732f45ce9260eb00b720c80882bcce7aa72f163b52e5d,fca9429814703a07e3902d005d46563a207b7f0a,False
brfss_diabetes,ood_test,123,q1000,233859,500,424,76,d659f998976f7f4d509fa2497430dfae02f0ad260b9f80fb2f0013455da41e74,00000a16690177a372a1e5878b3e6ee97bcb7c0cba519a71c6f0fa7ee316c9b7,fca9429814703a07e3902d005d46563a207b7f0a,False
brfss_diabetes,ood_test,123,q2000,233859,1000,838,162,2d3c1d9f448b2be579364950aebd457a531e91c67de31ca55b1fd3636d709041,00000a16690177a372a1e5878b3e6ee97bcb7c0cba519a71c6f0fa7ee316c9b7,fca9429814703a07e3902d005d46563a207b7f0a,False
brfss_diabetes,ood_test,999,q1000,233859,500,404,96,2e6bf9047f315d8f4b4958832b44ca97ab9cf6693150f9ff5e304e4d2e8e435e,0000372be12045664763fc1ca9cc8bb45573740b157395d4f22dcb344cea5ef9,fca9429814703a07e3902d005d46563a207b7f0a,False
brfss_diabetes,ood_test,999,q2000,233859,1000,817,183,72cdc962a0866bb858be07b497500b12036315f70e72fd691d9429b5ab4cac80,0000372be12045664763fc1ca9cc8bb45573740b157395d4f22dcb344cea5ef9,fca9429814703a07e3902d005d46563a207b7f0a,False
brfss_diabetes,ood_test,2024,q1000,233859,500,411,89,74b4804f71377e7fa407adec5cb55ad61556bf29cca320798d13e66afdc41c62,00009afe47e8a2f61583b5ca2a5d9cb942795731b4314a7f0d51494d31f93657,fca9429814703a07e3902d005d46563a207b7f0a,False
brfss_diabetes,ood_test,2024,q2000,233859,1000,828,172,e8682fed842e15fb9328e9be899a9332a8410d189b842196bbbd5be34b9ebf04,00009afe47e8a2f61583b5ca2a5d9cb942795731b4314a7f0d51494d31f93657,fca9429814703a07e3902d005d46563a207b7f0a,False
brfss_diabetes,train,7,q1000,1060712,1000,876,124,5e22ba5b6e63003cedb8b219751543ccdcd77e2fdb7b1ce1f94fead874c70052,00003ac5539eb72db5602294b3a08599424092f0d9c3c19897e698f1578c4bd6,fca9429814703a07e3902d005d46563a207b7f0a,False
brfss_diabetes,train,7,q2000,1060712,2000,1741,259,f4d441c62a918139b96f0b139c1166f4377d0919eb2fe29a5e032f8b48ac68fb,00003ac5539eb72db5602294b3a08599424092f0d9c3c19897e698f1578c4bd6,fca9429814703a07e3902d005d46563a207b7f0a,False
brfss_diabetes,train,42,q1000,1060712,1000,878,122,b7cc23acdec954ebbdb3081f42abcd495e2801fc6bba801c4db86acb122cbdb1,0000100121aa87f70076c73376f158230eb5ed8443270e42e5d4c7aef025f222,fca9429814703a07e3902d005d46563a207b7f0a,False
