task,relative_path,size_bytes,sha256,tableshift_commit
nhanes_lead,DBQ1999.XPT,3674320,19faa3a5e749ed4593beaeddf130dff77f7b40172902bc5cb55dcb16dc5bbcda,fca9429814703a07e3902d005d46563a207b7f0a
nhanes_lead,DBQ_B2001.XPT,3096640,ff1e1d9c0609a77df02baeb20a79dd7328d05b0b1d2e0c0e258e67ad2429033a,fca9429814703a07e3902d005d46563a207b7f0a
nhanes_lead,DBQ_C2003.XPT,2758720,864fbb9ecc5ac231e714f5f92eba35e27b8c51263d6d0d7f186094f66b5e4bbf,fca9429814703a07e3902d005d46563a207b7f0a
nhanes_lead,DBQ_D2005.XPT,4395760,e6deef7c89b4d035de48f656c5393e322a8df0a84831a62b42dd7c7582f9f66f,fca9429814703a07e3902d005d46563a207b7f0a
nhanes_lead,DBQ_E2007.XPT,4392720,e6d591099cc1ade73071789cd97ad0222bd5ec53d6e198504ee20add8673c667,fca9429814703a07e3902d005d46563a207b7f0a
nhanes_lead,DBQ_F2009.XPT,4644800,bd1f67469f24245e7d82ef52d2fa57d2367b2338ac9617cb89d45ebd5801e06c,fca9429814703a07e3902d005d46563a207b7f0a
nhanes_lead,DBQ_G2011.XPT,3362880,df7c5dbc5b5823eca804e564e7e63a89dfc73b93daba8db77faea2bce2aa2e78,fca9429814703a07e3902d005d46563a207b7f0a
nhanes_lead,DBQ_H2013.XPT,4159360,93647043bf20f1d10bbe019fc6e0763d2b48e21691806696dfafd0c07cfbc557,fca9429814703a07e3902d005d46563a207b7f0a
nhanes_lead,DBQ_I2015.XPT,4076160,ac491eb3a22b94e1faa08e95e50719d5e526a71ac85e06b36c4cfeaa05d95456,fca9429814703a07e3902d005d46563a207b7f0a
nhanes_lead,DBQ_J2017.XPT,3412720,1c365d7f4696c161a7a9726aac6d696e63978f64632e3ce08e5eb13e294a138d,fca9429814703a07e3902d005d46563a207b7f0a
nhanes_lead,DEMO1999.XPT,11500560,a17bd1ebfd6007b8dc93f16259cb090678eb6c467a39363b7e932bba15febf89,fca9429814703a07e3902d005d46563a207b7f0a
nhanes_lead,DEMO_B2001.XPT,3273520,6458dc2307cee244ab6ba26f70ec78c7b842ffc68e668bc43f0ab6b9737937d9,fca9429814703a07e3902d005d46563a207b7f0a
nhanes_lead,DEMO_C2003.XPT,3569840,2a2fdb88263337bfa06f0516bfb419631595f0a0ee88fb96069bed13d1857c6f,fca9429814703a07e3902d005d46563a207b7f0a
nhanes_lead,DEMO_D2005.XPT,3566560,bf9cc79cce501b2fbe5aa8d5b403b618548d02d4aefeb528335cdd9f4c40a3af,fca9429814703a07e3902d005d46563a207b7f0a
nhanes_lead,DEMO_E2007.XPT,3498080,02b8e97703d04bc99769c751881bece51ac9ba68cf18a2992a45d3bdfb856147,fca9429814703a07e3902d005d46563a207b7f0a
nhanes_lead,DEMO_F2009.XPT,3631600,78c4d4a6e5eafa9da3bbb24a90d140fef5d8c0cda932a7ff8ee609288d4fae07,fca9429814703a07e3902d005d46563a207b7f0a
nhanes_lead,DEMO_G2011.XPT,3753760,eaf0525d1952626885af3e935415a1f66ad62c18698080e7354789c125af252d,fca9429814703a07e3902d005d46563a207b7f0a
nhanes_lead,DEMO_H2013.XPT,3833200,f8f0cbb3085a323d4cde22349b164878fea1e64dbc404e65b5815c7816b547d7,fca9429814703a07e3902d005d46563a207b7f0a
nhanes_lead,DEMO_I2015.XPT,3756480,c9297c6c37ae8f78f29be9568fa2a03cf3b112616a39afee04030fc775a66a0d,fca9429814703a07e3902d005d46563a207b7f0a
