task,seed,model,quantum_kernel,quantum_stratum,tier,n_target,n_classical,policy,threshold,n_labels,n_informative_counterexamples
brfss_diabetes,42,svc,zmap_r2__as0.5,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.005,6,2
brfss_diabetes,42,svc,zmap_r2__as0.5,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.01,3,1
brfss_diabetes,42,svc,zmap_r2__as0.5,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.02,0,0
brfss_diabetes,42,svc,zmap_r2__as0.5,product_map,full_115,500,115,adaptive_bottleneck_cover,0.005,6,2
brfss_diabetes,42,svc,zmap_r2__as0.5,product_map,full_115,500,115,adaptive_bottleneck_cover,0.01,3,1
brfss_diabetes,42,svc,zmap_r2__as0.5,product_map,full_115,500,115,adaptive_bottleneck_cover,0.02,0,0
brfss_diabetes,42,gpc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.005,0,0
brfss_diabetes,42,gpc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.01,0,0
brfss_diabetes,42,gpc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.02,0,0
brfss_diabetes,42,gpc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,adaptive_bottleneck_cover,0.005,0,0
brfss_diabetes,42,gpc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,adaptive_bottleneck_cover,0.01,0,0
brfss_diabetes,42,gpc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,adaptive_bottleneck_cover,0.02,0,0
brfss_diabetes,123,svc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.005,2,2
brfss_diabetes,123,svc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.01,1,1
brfss_diabetes,123,svc,pauli_xz_r1_full__as0.5,product_map,customary_30,500,30,adaptive_bottleneck_cover,0.02,0,0
brfss_diabetes,123,svc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,adaptive_bottleneck_cover,0.005,1,1
brfss_diabetes,123,svc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,adaptive_bottleneck_cover,0.01,0,0
brfss_diabetes,123,svc,pauli_xz_r1_full__as0.5,product_map,full_115,500,115,adaptive_bottleneck_cover,0.02,0,0
