task,model,quantum_stratum,tier,policy,threshold,n_seed_draws,probability_reached,median_n_labels,q025_n_labels,q975_n_labels,min_n_labels,max_n_labels,probability_by_25,probability_by_50,probability_by_100
acsfoodstamps,gpc,product_map,customary_30,hash_all,0.005,1000,1.0,292.0,22.975,478.0,1.0,497.0,0.029,0.056,0.126
acsfoodstamps,gpc,product_map,customary_30,hash_all,0.01,1000,1.0,147.5,0.0,432.025,0.0,490.0,0.402,0.408,0.45
acsfoodstamps,gpc,product_map,customary_30,hash_all,0.02,1000,1.0,18.0,0.0,328.04999999999995,0.0,377.0,0.529,0.617,0.723
acsfoodstamps,gpc,product_map,customary_30,nonadaptive_initial_coverage,0.005,1000,1.0,7.0,1.0,469.025,1.0,490.0,0.8,0.8,0.8
acsfoodstamps,gpc,product_map,customary_30,nonadaptive_initial_coverage,0.01,1000,1.0,4.0,0.0,16.0,0.0,16.0,1.0,1.0,1.0
acsfoodstamps,gpc,product_map,customary_30,nonadaptive_initial_coverage,0.02,1000,1.0,1.0,0.0,12.0,0.0,14.0,1.0,1.0,1.0
acsfoodstamps,gpc,product_map,customary_30,random_active_disagreement,0.005,1000,1.0,7.0,1.0,42.0,1.0,46.0,0.8,1.0,1.0
acsfoodstamps,gpc,product_map,customary_30,random_active_disagreement,0.01,1000,1.0,4.0,0.0,15.0,0.0,16.0,1.0,1.0,1.0
acsfoodstamps,gpc,product_map,customary_30,random_active_disagreement,0.02,1000,1.0,1.0,0.0,12.0,0.0,14.0,1.0,1.0,1.0
acsfoodstamps,gpc,product_map,full_115,hash_all,0.005,1000,1.0,278.5,29.975,449.0,1.0,483.0,0.018,0.045,0.111
acsfoodstamps,gpc,product_map,full_115,hash_all,0.01,1000,1.0,141.0,0.0,415.025,0.0,471.0,0.4,0.41,0.446
acsfoodstamps,gpc,product_map,full_115,hash_all,0.02,1000,1.0,19.0,0.0,275.025,0.0,370.0,0.533,0.62,0.747
acsfoodstamps,gpc,product_map,full_115,nonadaptive_initial_coverage,0.005,1000,1.0,7.0,1.0,16.0,1.0,16.0,1.0,1.0,1.0
acsfoodstamps,gpc,product_map,full_115,nonadaptive_initial_coverage,0.01,1000,1.0,4.0,0.0,15.0,0.0,15.0,1.0,1.0,1.0
acsfoodstamps,gpc,product_map,full_115,nonadaptive_initial_coverage,0.02,1000,1.0,1.0,0.0,9.0,0.0,12.0,1.0,1.0,1.0
acsfoodstamps,gpc,product_map,full_115,random_active_disagreement,0.005,1000,1.0,7.0,1.0,16.0,1.0,16.0,1.0,1.0,1.0
acsfoodstamps,gpc,product_map,full_115,random_active_disagreement,0.01,1000,1.0,4.0,0.0,15.0,0.0,15.0,1.0,1.0,1.0
acsfoodstamps,gpc,product_map,full_115,random_active_disagreement,0.02,1000,1.0,1.0,0.0,9.0,0.0,11.0,1.0,1.0,1.0
acsfoodstamps,svc,product_map,customary_30,hash_all,0.005,1000,1.0,264.0,26.0,376.0,1.0,425.0,0.024,0.043,0.12
acsfoodstamps,svc,product_map,customary_30,hash_all,0.01,1000,1.0,0.0,0.0,356.0,0.0,373.0,0.652,0.704,0.755
acsfoodstamps,svc,product_map,customary_30,hash_all,0.02,1000,1.0,0.0,0.0,337.0,0.0,362.0,0.8,0.8,0.8
acsfoodstamps,svc,product_map,customary_30,nonadaptive_initial_coverage,0.005,1000,1.0,3.0,1.0,84.0,1.0,85.0,0.8,0.8,1.0
acsfoodstamps,svc,product_map,customary_30,nonadaptive_initial_coverage,0.01,1000,1.0,0.0,0.0,83.0,0.0,84.0,0.8,0.8,1.0
acsfoodstamps,svc,product_map,customary_30,nonadaptive_initial_coverage,0.02,1000,1.0,0.0,0.0,78.0,0.0,80.0,0.8,0.8,1.0
acsfoodstamps,svc,product_map,customary_30,random_active_disagreement,0.005,1000,1.0,3.0,1.0,84.0,1.0,85.0,0.8,0.8,1.0
acsfoodstamps,svc,product_map,customary_30,random_active_disagreement,0.01,1000,1.0,0.0,0.0,82.0,0.0,84.0,0.8,0.8,1.0
acsfoodstamps,svc,product_map,customary_30,random_active_disagreement,0.02,1000,1.0,0.0,0.0,77.0,0.0,81.0,0.8,0.8,1.0
acsfoodstamps,svc,product_map,full_115,hash_all,0.005,1000,1.0,226.0,24.950000000000003,366.0,1.0,405.0,0.027,0.053,0.133
acsfoodstamps,svc,product_map,full_115,hash_all,0.01,1000,1.0,0.0,0.0,350.025,0.0,388.0,0.65,0.695,0.75
acsfoodstamps,svc,product_map,full_115,hash_all,0.02,1000,1.0,0.0,0.0,335.0,0.0,378.0,0.8,0.8,0.8
acsfoodstamps,svc,product_map,full_115,nonadaptive_initial_coverage,0.005,1000,1.0,3.0,1.0,80.0,1.0,81.0,0.8,0.8,1.0
acsfoodstamps,svc,product_map,full_115,nonadaptive_initial_coverage,0.01,1000,1.0,0.0,0.0,78.0,0.0,80.0,0.8,0.8,1.0
acsfoodstamps,svc,product_map,full_115,nonadaptive_initial_coverage,0.02,1000,1.0,0.0,0.0,73.0,0.0,76.0,0.8,0.8,1.0
acsfoodstamps,svc,product_map,full_115,random_active_disagreement,0.005,1000,1.0,4.0,1.0,80.0,1.0,81.0,0.8,0.8,1.0
acsfoodstamps,svc,product_map,full_115,random_active_disagreement,0.01,1000,1.0,0.0,0.0,79.0,0.0,80.0,0.8,0.8,1.0
acsfoodstamps,svc,product_map,full_115,random_active_disagreement,0.02,1000,1.0,0.0,0.0,73.0,0.0,76.0,0.8,0.8,1.0
brfss_diabetes,gpc,product_map,customary_30,hash_all,0.005,1000,1.0,0.0,0.0,260.07499999999993,0.0,403.0,0.8,0.804,0.821
brfss_diabetes,gpc,product_map,customary_30,hash_all,0.01,1000,1.0,0.0,0.0,171.02499999999998,0.0,269.0,0.812,0.843,0.904
brfss_diabetes,gpc,product_map,customary_30,hash_all,0.02,1000,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
brfss_diabetes,gpc,product_map,customary_30,nonadaptive_initial_coverage,0.005,1000,1.0,0.0,0.0,4.0,0.0,4.0,1.0,1.0,1.0
brfss_diabetes,gpc,product_map,customary_30,nonadaptive_initial_coverage,0.01,1000,1.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0
brfss_diabetes,gpc,product_map,customary_30,nonadaptive_initial_coverage,0.02,1000,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
brfss_diabetes,gpc,product_map,customary_30,random_active_disagreement,0.005,1000,1.0,0.0,0.0,4.0,0.0,4.0,1.0,1.0,1.0
brfss_diabetes,gpc,product_map,customary_30,random_active_disagreement,0.01,1000,1.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0
brfss_diabetes,gpc,product_map,customary_30,random_active_disagreement,0.02,1000,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
brfss_diabetes,gpc,product_map,full_115,hash_all,0.005,1000,1.0,0.0,0.0,234.0,0.0,347.0,0.8,0.801,0.821
brfss_diabetes,gpc,product_map,full_115,hash_all,0.01,1000,1.0,0.0,0.0,162.0,0.0,336.0,0.807,0.837,0.924
brfss_diabetes,gpc,product_map,full_115,hash_all,0.02,1000,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
