case,axis,a,b,part,n_a,n_b,n_shared,frac_of_smaller
ember_m1,master_seed,123,42,train,1000,1000,1,0.001
ember_m1,master_seed,123,42,id_test,500,500,0,0.0
ember_m1,master_seed,123,42,ood_test,500,500,500,1.0
ember_m1,master_seed,123,999,train,1000,1000,1,0.001
ember_m1,master_seed,123,999,id_test,500,500,0,0.0
ember_m1,master_seed,123,999,ood_test,500,500,500,1.0
ember_m1,master_seed,42,999,train,1000,1000,2,0.002
ember_m1,master_seed,42,999,id_test,500,500,1,0.002
ember_m1,master_seed,42,999,ood_test,500,500,500,1.0
ember_m2,master_seed,123,42,train,1000,1000,1,0.001
ember_m2,master_seed,123,42,id_test,500,500,0,0.0
ember_m2,master_seed,123,42,ood_test,500,500,2,0.004
ember_m2,master_seed,123,999,train,1000,1000,4,0.004
ember_m2,master_seed,123,999,id_test,500,500,0,0.0
ember_m2,master_seed,123,999,ood_test,500,500,0,0.0
ember_m2,master_seed,42,999,train,1000,1000,1,0.001
ember_m2,master_seed,42,999,id_test,500,500,0,0.0
ember_m2,master_seed,42,999,ood_test,500,500,2,0.004
unsw_dos_natural,master_seed,123,42,train,1000,1000,7,0.007
unsw_dos_natural,master_seed,123,42,id_test,500,500,0,0.0
unsw_dos_natural,master_seed,123,42,ood_test,500,500,18,0.036
unsw_dos_natural,master_seed,123,999,train,1000,1000,5,0.005
unsw_dos_natural,master_seed,123,999,id_test,500,500,3,0.006
unsw_dos_natural,master_seed,123,999,ood_test,500,500,18,0.036
unsw_dos_natural,master_seed,42,999,train,1000,1000,5,0.005
unsw_dos_natural,master_seed,42,999,id_test,500,500,3,0.006
unsw_dos_natural,master_seed,42,999,ood_test,500,500,12,0.024
