group,model,family,budget,e_p1_ood,p2.5,p97.5
ember_m1,svc,classical_ext,5,0.7452683924609068,0.7212328158653362,0.7558534642627741
ember_m1,svc,classical_ext,10,0.7475210346867902,0.7393168126128375,0.755573359168133
ember_m1,svc,classical_ext,20,0.7471235041783204,0.7402398830567847,0.7543727726481045
ember_m1,svc,classical_ext,30,0.7467736203581968,0.7408525142404288,0.7535032705736051
ember_m1,svc,classical_ext,40,0.7464046526493677,0.7409146844542732,0.7525104448587369
ember_m1,svc,classical_ext,50,0.7461342513653547,0.7411793967213317,0.7519025414585736
ember_m1,svc,classical_ext,60,0.745934450884377,0.7410971849676294,0.7513877518242343
ember_m1,svc,classical_ext,115,0.7442161758286465,,
ember_m1,svc,quantum,5,0.7384243206372302,0.714966779295835,0.7526528364788483
ember_m1,svc,quantum,10,0.7379540278980062,0.7185489149642079,0.7511683850090884
ember_m1,svc,quantum,20,0.7360548763728643,0.7230284868510646,0.7475913817127372
ember_m1,svc,quantum,30,0.734047132745543,0.7245824976929701,0.7438745693548532
ember_m1,svc,quantum,40,0.732903778775428,0.7255918252987041,0.7424551355523022
ember_m1,svc,quantum,50,0.7320239162332656,0.7265685264673956,0.7402934986867248
ember_m1,svc,quantum,60,0.7313047685036987,0.7312730226626242,0.7313361984657576
ember_m2,svc,classical_ext,5,0.76987638390356,0.7172260451714242,0.7877807492501089
ember_m2,svc,classical_ext,10,0.7782119605006413,0.760717468167103,0.7882561133292286
ember_m2,svc,classical_ext,20,0.7810440316518805,0.7730026158484851,0.7876037926066424
ember_m2,svc,classical_ext,30,0.7821097127640377,0.7754712832876326,0.7872486849987502
ember_m2,svc,classical_ext,40,0.782829184330415,0.7772640634778886,0.7870433760312447
ember_m2,svc,classical_ext,50,0.7833164421095189,0.7785412641726769,0.7868896766381821
ember_m2,svc,classical_ext,60,0.7837538440688293,0.7793805778851736,0.7867647072747781
ember_m2,svc,classical_ext,115,0.7849225720481837,,
ember_m2,svc,quantum,5,0.7765258316839996,0.7531730578902543,0.7847767958738187
ember_m2,svc,quantum,10,0.7800029176433334,0.7691989461090449,0.7846950083631639
ember_m2,svc,quantum,20,0.7817093832994665,0.7763449785900457,0.7845708281087179
ember_m2,svc,quantum,30,0.7823061034443809,0.779071371907668,0.7845181929899797
ember_m2,svc,quantum,40,0.7826637190185399,0.780618731834882,0.7844420863407751
ember_m2,svc,quantum,50,0.7828401952041693,0.7814139993952318,0.7841686383211
ember_m2,svc,quantum,60,0.7828227064012844,0.7825209393920393,0.78311214056767
