group,model,family,n_pool,family_mean_ood,family_median_ood,expected_max_ood_k5,expected_max_ood_k10,expected_max_ood_k20,expected_max_ood_k30,expected_max_ood_k40,expected_max_ood_k50,expected_max_ood_k60,auc_b
ember_m1,svc,classical_ext,115,0.7166446430746353,0.723720350938713,0.746960048908807,0.7511132407678944,0.7535113724451313,0.7546413374677736,0.755343936353586,0.7558223906393788,0.7561642382599477,0.7466111142043178
ember_m1,svc,quantum,60,0.7266892533274031,0.7323186415652138,0.7451040600153837,0.7483526588251461,0.7509918770686625,0.7522947200270975,0.7530109401626626,0.7533811314003587,0.7535075050472098,0.7343188526294113
ember_m2,svc,classical_ext,115,0.7207797591137922,0.7249295580038205,0.7711136845715575,0.7790044778174802,0.7826948185650333,0.7842640641064924,0.7853094472330953,0.7861113854720804,0.7867642062216516,0.7813280653166613
ember_m2,svc,quantum,60,0.7489237604491381,0.7576070980115852,0.7774979796534921,0.7813379767935412,0.7833359437433882,0.7841155948650393,0.7845278275329498,0.7847806767315599,0.7849670710640354,0.7818298909673999
toniot_scanning_m2_centroid,svc,classical_ext,35,0.8512821062514859,0.8678480261164754,0.9294673613711558,0.9411984671186617,0.9480361938416999,0.9496575436245193,,,,0.9248631839542155
toniot_scanning_m2_centroid,svc,quantum,20,0.9377544864956366,0.9477568240255358,0.9572422769531169,0.9589030586416856,0.9593971168048102,,,,,0.9560446767602028
toniot_scanning_natural_cur,svc,classical_ext,115,0.8889021883625265,0.947453018488122,0.9840424905375275,0.9886450718930246,0.9895662709349476,0.9897819187888341,0.9899116072580231,0.9900099199416466,0.9900910726335507,0.9884750405021562
toniot_scanning_natural_cur,svc,quantum,60,0.9601148233443398,0.9690810915335245,0.9844132888565347,0.9872936620768734,0.9885834287881607,0.9890580953354133,0.9893668547160921,0.9895834388497291,0.9897227295283806,0.9559488325448374
unsw_dos_m2_centroid,svc,classical_ext,35,0.8721179828388873,0.905940327415681,0.919346612894741,0.9252545850163194,0.930605890128281,0.933486782407634,,,,0.8970185412632666
unsw_dos_m2_centroid,svc,quantum,20,0.8906571094367001,0.9053979270091872,0.9256774936340235,0.9324505429300569,0.9351408657389351,,,,,0.9109982127283665
unsw_dos_natural_cur,svc,classical_ext,115,0.7627862783378611,0.757209071406576,0.8041538722293118,0.8147922240338309,0.8212690090298955,0.8240127855581227,0.8257043714059654,0.8269012601734087,0.8278053837369652,0.8140339818620221
unsw_dos_natural_cur,svc,quantum,60,0.7939416183343266,0.797613264217086,0.8109364522543824,0.8146894352828652,0.818444546370147,0.8209211646474066,0.8227446996188217,0.8241015453099442,0.8251201618262585,0.8081639152939413
