group,setting,model,q_p1_ood,c_p1_ood,delta
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,svc,0.7279510291146923,0.7383030102825866,-0.010351981167894264
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,svc,0.7415420708458704,0.7569488331047153,-0.015406762258844853
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,svc,0.7344103955026002,0.7590813733801569,-0.024670977877556677
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,svc,0.6982425834945918,0.7492802353953218,-0.05103765190073006
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000,svc,0.7391467078898387,0.7517711014888586,-0.0126243935990199
ember_m1,m1_hist_byteent__ms42__q4000_id1800_ood1800,svc,0.7360908380983316,0.7562547901665703,-0.020163952068238622
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,svc,0.7134932777360196,0.764215169050279,-0.050721891314259415
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,svc,0.7468162301914814,0.7563530202519139,-0.00953679006043251
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,svc,0.744332653318393,0.7536273921561745,-0.009294738837781424
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,svc,0.7611085743547547,0.7662162036334393,-0.005107629278684689
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,svc,0.783953141385268,0.7811701060118803,0.0027830353733876434
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,svc,0.8014948941161797,0.792753105702916,0.008741788413263674
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,svc,0.7634180132499263,0.7535127759289412,0.009905237320985139
ember_m2,m2_hist_byteent__ms42__q2000_id1000_ood1000,svc,0.7857353663661597,0.7810649474339143,0.0046704189322454015
ember_m2,m2_hist_byteent__ms42__q4000_id1800_ood1800,svc,0.792196977959939,0.7883779033705915,0.003819074589347493
ember_m2,m2_hist_byteent__ms999__q1000_id500_ood500,svc,0.7733726860724662,0.7716524079916158,0.0017202780808504015
ember_m2,m2_hist_byteent__ms999__q2000_id1000_ood1000,svc,0.782202042772591,0.7769290436535072,0.005272999119083743
ember_m2,m2_hist_byteent__ms999__q4000_id1800_ood1800,svc,0.8032766776528019,0.7974516456465985,0.005825032006203323
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms123__q1000_id500_ood500,svc,0.9751149478196955,0.9916389614023607,-0.016524013582665198
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms123__q2000_id1000_ood1000,svc,0.9636009966478728,0.9901332832863974,-0.026532286638524583
