group,setting,model,scheme,budget,delta_median,delta_p2.5,delta_p97.5,frac_lt0
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,svc,uniform,60,0.0007418738382029,-0.006521835091797823,0.005946333634494261,0.4002
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,svc,uniform,60,-0.008560485823229547,-0.01736922483599268,-0.007429079773277558,1.0
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,svc,uniform,60,-0.013485917672103276,-0.021031056042258522,-0.010881588179040835,1.0
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,svc,uniform,60,-0.05236421096308719,-0.06131320692108566,-0.041190730605639825,1.0
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000,svc,uniform,60,0.008488201498458303,-0.018461930425258233,0.0191361137563415,0.307
ember_m1,m1_hist_byteent__ms42__q4000_id1800_ood1800,svc,uniform,60,-0.014117195145496364,-0.018968572846496445,-0.0110684213572525,1.0
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,svc,uniform,60,-0.031235100869866583,-0.04763575123187569,-0.015310920729924793,1.0
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,svc,uniform,60,-0.008380689850783773,-0.012989457505291568,-0.004910590156427697,1.0
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,svc,uniform,60,-0.003574338341245764,-0.009630606626342852,0.00047478504632181284,0.9728
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,svc,kernel_stratified,60,0.0006842406414816482,-0.005913484681961623,0.005946333634494261,0.4266
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,svc,kernel_stratified,60,-0.008560485823229547,-0.01574335541124794,-0.007429079773277558,1.0
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,svc,kernel_stratified,60,-0.013548631812891787,-0.021031056042258522,-0.01087887172386659,1.0
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,svc,kernel_stratified,60,-0.05329808858062368,-0.062273760199774264,-0.04215128388432832,1.0
