group,setting,qs,seed,model,p1_ood_quantum,p1_ood_classical,delta
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,7,42,svc,0.729649069466003,0.6550863324318702,0.07456273703413285
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,7,123,svc,0.729649069466003,0.6550863324318702,0.07456273703413285
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,7,999,svc,0.729649069466003,0.6550863324318702,0.07456273703413285
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,42,42,svc,0.8015817110655737,0.7579405737704918,0.0436411372950819
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,42,123,svc,0.8015817110655737,0.7579405737704918,0.0436411372950819
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,42,999,svc,0.8015817110655737,0.7579405737704918,0.0436411372950819
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,123,42,svc,0.648204192086596,0.741060991817585,-0.09285679973098904
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,123,123,svc,0.648204192086596,0.741060991817585,-0.09285679973098904
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,123,999,svc,0.648204192086596,0.741060991817585,-0.09285679973098904
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,999,42,svc,0.6338550780996824,0.7707887743858968,-0.13693369628621432
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,999,123,svc,0.6338550780996824,0.7707887743858968,-0.13693369628621432
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,999,999,svc,0.6338550780996824,0.7707887743858968,-0.13693369628621432
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,2024,42,svc,0.7550035281288088,0.7697414843800116,-0.014737956251202777
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,2024,123,svc,0.7550035281288088,0.7697414843800116,-0.014737956251202777
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,2024,999,svc,0.7550035281288088,0.7697414843800116,-0.014737956251202777
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,7,42,svc,0.7494310861738889,0.7528164746206238,-0.0033853884467349715
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,7,123,svc,0.7494310861738889,0.7528164746206238,-0.0033853884467349715
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,7,999,svc,0.7494310861738889,0.7528164746206238,-0.0033853884467349715
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,42,42,svc,0.7375862124145878,0.7510561520859003,-0.013469939671312492
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,42,123,svc,0.7375862124145878,0.7510561520859003,-0.013469939671312492
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,42,999,svc,0.7375862124145878,0.7510561520859003,-0.013469939671312492
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,123,42,svc,0.7232761941448382,0.7685060349255265,-0.04522984078068826
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,123,123,svc,0.7232761941448382,0.7685060349255265,-0.04522984078068826
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,123,999,svc,0.7232761941448382,0.7685060349255265,-0.04522984078068826
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,42,svc,0.7177589852008457,0.7185117560381831,-0.0007527708373373798
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,123,svc,0.7177589852008457,0.7185117560381831,-0.0007527708373373798
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,999,svc,0.7177589852008457,0.7185117560381831,-0.0007527708373373798
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,42,svc,0.75622488030616,0.7768570559318506,-0.02063217562569064
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,123,svc,0.75622488030616,0.7768570559318506,-0.02063217562569064
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,999,svc,0.75622488030616,0.7768570559318506,-0.02063217562569064
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,7,42,svc,0.7201387282951062,0.7295150692961314,-0.009376341001025246
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,7,123,svc,0.7201387282951062,0.7305823051552562,-0.010443576860150072
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,7,999,svc,0.7201387282951062,0.7305823051552562,-0.010443576860150072
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,42,svc,0.7448563227260101,0.7425599555541837,0.0022963671718263523
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,123,svc,0.7448563227260101,0.7420012963363067,0.0028550263897033634
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,999,svc,0.7328220006790334,0.7420012963363067,-0.009179295657273379
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,123,42,svc,0.7346264412228369,0.7349880992859572,-0.0003616580631202737
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,123,123,svc,0.7346264412228369,0.7349880992859572,-0.0003616580631202737
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,123,999,svc,0.7346264412228369,0.7355661339680382,-0.000939692745201226
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,999,42,svc,0.6221855363579004,0.6466416588156996,-0.024456122457799156
