group,model,scheme,budget,B,n_settings,q_p1_ood,c_p1_ood_median,delta_median,delta_p2.5,delta_p97.5,frac_resamples_delta_lt0,delta_full_pool,select_col,seed
ember_m1,svc,uniform,60,5000,9,0.7183922806136798,0.7238170055548709,-0.005424724941191099,-0.012079653344699036,0.0011809035468265613,0.9462,-0.0023759169873961428,id_val,20260715
ember_m1,svc,kernel_stratified,60,5000,9,0.7183922806136798,0.7237533324044588,-0.005361051790779164,-0.012000496952149838,0.0012286494125653712,0.9428,-0.0023759169873961428,id_val,20260715
ember_m1,svc,kernel_blocked,60,5000,9,0.7183922806136798,0.723982469711093,-0.005590189097413267,-0.014721256912749845,0.0009352714236961033,0.9486,-0.0023759169873961428,id_val,20260715
ember_m2,svc,uniform,60,5000,9,0.7785282236237062,0.7855972510293706,-0.007069027405664433,-0.01036134453987266,-0.0027600188242595035,0.9996,-0.0052710496540852025,id_val,20260715
ember_m2,svc,kernel_stratified,60,5000,9,0.7785282236237062,0.7856178716949508,-0.0070896480712445385,-0.010314400115342563,-0.003016338981922967,0.9996,-0.0052710496540852025,id_val,20260715
ember_m2,svc,kernel_blocked,60,5000,9,0.7785282236237062,0.7855845368659207,-0.007056313242214661,-0.011464876911563306,-0.0010361734325019156,0.9882,-0.0052710496540852025,id_val,20260715
toniot_scanning_m2_centroid,svc,uniform,60,5000,9,0.9594693885753585,0.960304850682363,-0.0008354621070045377,-0.0022533575006046373,0.000608531480428493,0.8604,-0.001091075717983947,id_val,20260715
toniot_scanning_m2_centroid,svc,kernel_stratified,60,5000,9,0.9594693885753585,0.9606076498650984,-0.0011382612897397801,-0.002009835952545845,-0.00036974183607516855,0.9966,-0.001091075717983947,id_val,20260715
toniot_scanning_m2_centroid,svc,kernel_blocked,60,5000,9,0.9594693885753585,0.9605668602791977,-0.001097471703839096,-0.0021759557031837775,0.00015752740090171623,0.9522,-0.001091075717983947,id_val,20260715
toniot_scanning_natural_cur,svc,uniform,60,5000,9,0.9501513735400265,0.9650366553578117,-0.014885281817785048,-0.023258976485724094,-0.005685055599867546,0.9992,-0.008965192760435725,id_val,20260715
toniot_scanning_natural_cur,svc,kernel_stratified,60,5000,9,0.9501513735400265,0.9644175662037091,-0.014266192663682495,-0.021061181149093704,-0.008416599732041057,1.0,-0.008965192760435725,id_val,20260715
toniot_scanning_natural_cur,svc,kernel_blocked,60,5000,9,0.9501513735400265,0.9648430125466768,-0.014691639006650183,-0.024682448763278526,-0.006331534130240657,1.0,-0.008965192760435725,id_val,20260715
unsw_dos_m2_centroid,svc,uniform,60,5000,9,0.9136645964938457,0.9167044232743886,-0.003039826780542888,-0.006911324415081488,0.0014743602136388402,0.9132,-0.002175403030819978,id_val,20260715
unsw_dos_m2_centroid,svc,kernel_stratified,60,5000,9,0.9136645964938457,0.9164595386723818,-0.002794942178536085,-0.0059569521630044794,0.0018871176392139984,0.8988,-0.002175403030819978,id_val,20260715
unsw_dos_m2_centroid,svc,kernel_blocked,60,5000,9,0.9136645964938457,0.918300178024614,-0.004635581530768219,-0.00867863858569216,0.001139151437940016,0.9498,-0.002175403030819978,id_val,20260715
unsw_dos_natural_cur,svc,uniform,60,5000,9,0.8337313325320475,0.8371697535214546,-0.00343842098940727,-0.006471485113671999,0.0002848795299306863,0.9664,-0.00405288992399,id_val,20260715
unsw_dos_natural_cur,svc,kernel_stratified,60,5000,9,0.8337313325320475,0.8372813617713796,-0.0035500292393322494,-0.006541514808725282,0.00021130238049792182,0.9688,-0.00405288992399,id_val,20260715
unsw_dos_natural_cur,svc,kernel_blocked,60,5000,9,0.8337313325320475,0.8372823712064091,-0.003551038674361813,-0.006754495252451504,0.0012824566376885783,0.9234,-0.00405288992399,id_val,20260715
unsw_recon_m2_centroid,svc,uniform,60,5000,9,0.916876275083229,0.9257662437615582,-0.008889968678329148,-0.011439210556385524,-0.0057794073909693735,1.0,-0.009012140845524708,id_val,20260715
unsw_recon_m2_centroid,svc,kernel_stratified,60,5000,9,0.916876275083229,0.925773701067765,-0.00889742598453598,-0.011447988924892582,-0.005886118787209197,1.0,-0.009012140845524708,id_val,20260715
unsw_recon_m2_centroid,svc,kernel_blocked,60,5000,9,0.916876275083229,0.9258873310430363,-0.009011055959807193,-0.011544486577958308,-0.005501619732760635,0.9998,-0.009012140845524708,id_val,20260715
