group,setting,model,scheme,budget,delta_median,delta_p2.5,delta_p97.5,frac_lt0
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,svc,uniform,60,-0.01834280398110788,-0.03848457420165907,-0.006502198324489394,1.0
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,svc,uniform,60,-0.004535962432215768,-0.016694023072352904,0.005344772292826927,0.8386
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,svc,uniform,60,-0.017332456288176368,-0.03753872297353733,-0.007950420294827065,0.9996
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,svc,uniform,60,-0.016999390673357262,-0.044925931878490366,0.007432012076035277,0.9078
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000,svc,uniform,60,0.03017171328422852,-0.012934638015497768,0.036039231225300054,0.0646
ember_m1,m1_hist_byteent__ms42__q4000_id1800_ood1800,svc,uniform,60,0.014089959904519667,-0.020772592422481244,0.023897178545762898,0.194
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,svc,uniform,60,-0.021751248871318185,-0.03417418214631984,-0.0019303301263356998,0.9882
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,svc,uniform,60,0.005754542384528771,-0.020222956013423055,0.03295488217765752,0.3498
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,svc,uniform,60,-0.001941650594237232,-0.0052739095951802595,0.0031424532722418405,0.8476
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,svc,kernel_stratified,60,-0.01834280398110788,-0.03185199697404062,-0.007018095969055893,1.0
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,svc,kernel_stratified,60,-0.005129569527466016,-0.016908778838819805,0.005775431230474859,0.825
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,svc,kernel_stratified,60,-0.017520873276593463,-0.03753874066619517,-0.007950420294827065,0.9994
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,svc,kernel_stratified,60,-0.017434849218738613,-0.037761832541347434,0.007432012076035277,0.9112
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000,svc,kernel_stratified,60,0.03191871611938424,-0.012776373486821138,0.035834609584804444,0.049
ember_m1,m1_hist_byteent__ms42__q4000_id1800_ood1800,svc,kernel_stratified,60,0.014261508164609471,-0.021006833076118316,0.023897178545762898,0.2294
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,svc,kernel_stratified,60,-0.021927701393039956,-0.03369939468829248,-0.0019303301263356998,0.9918
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,svc,kernel_stratified,60,0.006155576872680535,-0.019834948748547854,0.03295488217765752,0.3746
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,svc,kernel_stratified,60,-0.001941650594237232,-0.0052739095951802595,0.0011191027421358912,0.8914
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,svc,kernel_blocked,60,-0.01743797926976498,-0.03354129007269624,-0.006172809083810016,0.9996
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,svc,kernel_blocked,60,-0.006357808505016771,-0.01844254797249545,0.002493213571266417,0.8866
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,svc,kernel_blocked,60,-0.01663438679010698,-0.037589350630829244,-0.007960592326077598,1.0
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,svc,kernel_blocked,60,-0.017312268741468628,-0.04691747900963794,0.00754577099410092,0.894
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000,svc,kernel_blocked,60,0.020205925446017514,-0.016115919467413642,0.03756813660000524,0.1622
ember_m1,m1_hist_byteent__ms42__q4000_id1800_ood1800,svc,kernel_blocked,60,0.013549031901212039,-0.019391982966508015,0.021517756709320768,0.1458
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,svc,kernel_blocked,60,-0.022875968780277478,-0.03736455037814257,0.0005388056761335136,0.9668
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,svc,kernel_blocked,60,0.0060574918808478095,-0.015403673924281436,0.015360927755634468,0.214
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,svc,kernel_blocked,60,-0.0014062431228131222,-0.005354373267203005,0.008041128987940405,0.7342
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,svc,uniform,60,-0.0015894692790937581,-0.010868476453454049,0.00418168969572652,0.5984
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,svc,uniform,60,-0.01777124588157497,-0.02068515485023814,-0.0118518949913727,1.0
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,svc,uniform,60,-0.0024868470190217984,-0.006204700726253565,0.006438166401991463,0.6654
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,svc,uniform,60,0.00611016459719127,-0.0015916622996038354,0.017090052184296267,0.0688
ember_m2,m2_hist_byteent__ms42__q2000_id1000_ood1000,svc,uniform,60,-0.017587206357230323,-0.024908712931459236,-0.010305468439136104,1.0
ember_m2,m2_hist_byteent__ms42__q4000_id1800_ood1800,svc,uniform,60,-0.00428188755634662,-0.013425060515828258,0.0026907401128739897,0.8928
ember_m2,m2_hist_byteent__ms999__q1000_id500_ood500,svc,uniform,60,0.002864515747061147,-0.006739742487007372,0.009505009253958002,0.2834
ember_m2,m2_hist_byteent__ms999__q2000_id1000_ood1000,svc,uniform,60,-0.011898673972152385,-0.019759921116234147,-0.006280723022945134,1.0
ember_m2,m2_hist_byteent__ms999__q4000_id1800_ood1800,svc,uniform,60,-0.01707534428363333,-0.027785721496244364,-0.0013601567009197124,0.9886
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,svc,kernel_stratified,60,-0.002086755270368945,-0.011039314418497643,0.0038319720708521743,0.6248
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,svc,kernel_stratified,60,-0.017678718083994682,-0.020617945172044405,-0.01204837426188965,1.0
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,svc,kernel_stratified,60,-0.0024868470190217984,-0.006204700726253565,0.005892506463581637,0.6748
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,svc,kernel_stratified,60,0.0065814960627801344,-0.0011229980174539689,0.017051630053148692,0.0524
ember_m2,m2_hist_byteent__ms42__q2000_id1000_ood1000,svc,kernel_stratified,60,-0.01747119729772073,-0.024633096256328924,-0.010897843098284232,1.0
ember_m2,m2_hist_byteent__ms42__q4000_id1800_ood1800,svc,kernel_stratified,60,-0.00428188755634662,-0.013839631869428382,0.0026901069439713154,0.8926
ember_m2,m2_hist_byteent__ms999__q1000_id500_ood500,svc,kernel_stratified,60,0.0019479551553607255,-0.008099850898489747,0.00902810821096145,0.3542
ember_m2,m2_hist_byteent__ms999__q2000_id1000_ood1000,svc,kernel_stratified,60,-0.011898673972152385,-0.019759921116234147,-0.006280723022945134,1.0
ember_m2,m2_hist_byteent__ms999__q4000_id1800_ood1800,svc,kernel_stratified,60,-0.01707534428363333,-0.027785721496244364,-0.002078370985605038,0.9928
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,svc,kernel_blocked,60,-0.0008710206633978368,-0.011916414030907263,0.006541162194230177,0.5196
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,svc,kernel_blocked,60,-0.0170558322277804,-0.020617945172044405,-0.005659265331037333,0.9986
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,svc,kernel_blocked,60,-0.003141673273848067,-0.006136953980546256,0.008089567494282912,0.6228
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,svc,kernel_blocked,60,0.005894012432050677,-0.0024248080024140695,0.01891392605633002,0.0962
ember_m2,m2_hist_byteent__ms42__q2000_id1000_ood1000,svc,kernel_blocked,60,-0.017149156505480656,-0.026080198578016245,-0.009341504820667423,0.9998
ember_m2,m2_hist_byteent__ms42__q4000_id1800_ood1800,svc,kernel_blocked,60,-0.0036227047882493313,-0.011685861691336341,0.005724747675629582,0.8464
ember_m2,m2_hist_byteent__ms999__q1000_id500_ood500,svc,kernel_blocked,60,0.0037166816765132893,-0.008461454535209856,0.00902810821096145,0.2224
ember_m2,m2_hist_byteent__ms999__q2000_id1000_ood1000,svc,kernel_blocked,60,-0.010861233249959024,-0.02017415053708238,-0.007159012061457666,1.0
ember_m2,m2_hist_byteent__ms999__q4000_id1800_ood1800,svc,kernel_blocked,60,-0.01887025564921052,-0.023903616434757358,3.0236454247045685e-06,0.9748
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms123__q1000_id500_ood500,svc,uniform,60,-0.006434210907365068,-0.010927043988540714,0.0004690190256351201,0.963
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms123__q2000_id1000_ood1000,svc,uniform,60,0.0019072306134321204,0.00021145509462849876,0.0042609867406128155,0.0086
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms123__q4000_id1800_ood1800,svc,uniform,60,0.0007532211663879851,-0.0015917413466241036,0.0031911731416210953,0.2432
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q1000_id500_ood500,svc,uniform,60,0.005023765290053994,0.000137619382088916,0.0109148940735579,0.0246
