group,run,qs,seed,model,p1_ood_quantum,p1_ood_classical,setting,delta
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s123,123,123,svc,0.648204192086596,0.7019263102272181,m1_hist_byteent__ms123__q1000_id500_ood500,-0.05372211814062211
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s123,123,123,gpc,0.7383708827720934,0.7039919296728636,m1_hist_byteent__ms123__q1000_id500_ood500,0.03437895309922978
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s42,123,42,svc,0.648204192086596,0.7019263102272181,m1_hist_byteent__ms123__q1000_id500_ood500,-0.05372211814062211
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s42,123,42,gpc,0.7363132696033691,0.7039919296728636,m1_hist_byteent__ms123__q1000_id500_ood500,0.032321339930505455
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s999,123,999,svc,0.648204192086596,0.7019263102272181,m1_hist_byteent__ms123__q1000_id500_ood500,-0.05372211814062211
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s999,123,999,gpc,0.7343677443115403,0.7039919296728636,m1_hist_byteent__ms123__q1000_id500_ood500,0.030375814638676668
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s123,2024,123,svc,0.7550035281288088,0.7697414843800116,m1_hist_byteent__ms123__q1000_id500_ood500,-0.014737956251202777
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s123,2024,123,gpc,0.7630380396433383,0.7472256078003721,m1_hist_byteent__ms123__q1000_id500_ood500,0.015812431842966213
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s42,2024,42,svc,0.7550035281288088,0.7697414843800116,m1_hist_byteent__ms123__q1000_id500_ood500,-0.014737956251202777
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s42,2024,42,gpc,0.7630380396433383,0.7472256078003721,m1_hist_byteent__ms123__q1000_id500_ood500,0.015812431842966213
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s999,2024,999,svc,0.7550035281288088,0.7697414843800116,m1_hist_byteent__ms123__q1000_id500_ood500,-0.014737956251202777
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s999,2024,999,gpc,0.7609371993072038,0.7472256078003721,m1_hist_byteent__ms123__q1000_id500_ood500,0.013711591506831766
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s123,42,123,svc,0.8015817110655737,0.7579405737704918,m1_hist_byteent__ms123__q1000_id500_ood500,0.0436411372950819
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s123,42,123,gpc,0.7977715163934427,0.7585169057377049,m1_hist_byteent__ms123__q1000_id500_ood500,0.039254610655737765
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s42,42,42,svc,0.8015817110655737,0.7579405737704918,m1_hist_byteent__ms123__q1000_id500_ood500,0.0436411372950819
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s42,42,42,gpc,0.7977715163934427,0.7585169057377049,m1_hist_byteent__ms123__q1000_id500_ood500,0.039254610655737765
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s999,42,999,svc,0.8015817110655737,0.7579405737704918,m1_hist_byteent__ms123__q1000_id500_ood500,0.0436411372950819
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s999,42,999,gpc,0.7997246413934427,0.7585169057377049,m1_hist_byteent__ms123__q1000_id500_ood500,0.041207735655737765
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s123,7,123,svc,0.729649069466003,0.6550863324318702,m1_hist_byteent__ms123__q1000_id500_ood500,0.07456273703413285
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s123,7,123,gpc,0.6548462978668929,0.6623113728376886,m1_hist_byteent__ms123__q1000_id500_ood500,-0.0074650749707957376
