variant,model,group,sd_between_qs,sd_between_ms,sd_between_size,sd_run_level,n_runs
full,gpc,ember_m1,0.006600963178394688,0.004172541213368704,0.008444117359325912,0.02975470999245167,135
full,gpc,ember_m2,0.0032951744809629814,0.0004974963744587491,0.00032673206207899677,0.010595487908060204,135
full,gpc,toniot_scanning_m2_centroid,0.013870027882360645,0.007569934800106589,0.018062913806569585,0.043695412474404505,135
full,gpc,toniot_scanning_natural_cur,0.0037599657661504192,0.0006848204226888123,0.004059842104381426,0.012009493953597818,135
full,gpc,unsw_dos_m2_centroid,0.02872666256109997,0.01914315465938991,0.03488166554950549,0.06977468101320095,135
full,gpc,unsw_dos_natural_cur,0.0059112587776272455,0.0046135051021254534,0.005847831401256729,0.018329858092585832,135
full,gpc,unsw_recon_m2_centroid,0.00601452163625724,0.008423394880922393,0.010215956510995241,0.026521892933741287,135
full,gpc,unsw_recon_natural_cur,0.0071170655471095605,0.0010525166254490327,0.004692274470015133,0.01730691486936212,135
full,svc,ember_m1,0.00879331260947722,0.00621787537423414,0.01575475006997161,0.03478682555706657,135
full,svc,ember_m2,0.005122543609614598,0.0005303587137178016,0.0012029717882846137,0.012775862535910142,135
full,svc,toniot_scanning_m2_centroid,0.013139420993769866,0.004890468397104039,0.031131182134965983,0.044589373167762125,135
full,svc,toniot_scanning_natural_cur,0.0024992248706219252,0.010069413621280754,0.0171465202758878,0.03324960039746782,135
full,svc,unsw_dos_m2_centroid,0.012443897276252747,0.026976510486913526,0.03856740254262711,0.06465040920424002,135
full,svc,unsw_dos_natural_cur,0.00689752063608916,0.0028088947835664614,0.0017609434484456214,0.016000289093459033,135
full,svc,unsw_recon_m2_centroid,0.008444621205181321,0.006988510289070421,0.004797015943038666,0.02262908650298046,135
full,svc,unsw_recon_natural_cur,0.007730588057530642,0.0035865098291464055,0.004326873169716876,0.018622959398196366,135
matched60,gpc,ember_m1,0.008882167727789747,0.0032264638499694275,0.008042006471294844,0.03122080838073757,135
matched60,gpc,ember_m2,0.00425742735481456,0.0015275833863765762,0.002271345424260022,0.01274534935616636,135
matched60,gpc,toniot_scanning_natural_cur,0.003953344794770509,0.0024624302188398983,0.005618602391245178,0.013000074515451772,135
matched60,gpc,unsw_dos_natural_cur,0.006687150355069248,0.0038502671151583252,0.00780308935036348,0.01594431953350747,135
matched60,gpc,unsw_recon_natural_cur,0.005219571991984139,0.00022234416314492053,0.006365326283112117,0.016700150195975896,135
matched60,svc,ember_m1,0.00989602090810522,0.005585585934615699,0.013047584800850769,0.03146689412720663,135
matched60,svc,ember_m2,0.003086108354305961,0.001997832734505946,0.00197870712509207,0.012399407625287072,135
matched60,svc,toniot_scanning_natural_cur,0.0025917171058690877,0.009191129546720049,0.017012951969918345,0.03297858266699606,135
matched60,svc,unsw_dos_natural_cur,0.004840018332049371,0.0015789696539433864,0.005342913600060367,0.0160165082966955,135
matched60,svc,unsw_recon_natural_cur,0.006059547173144299,0.005022795253664113,0.009499931340007322,0.023913985986153203,135
budget60,gpc,ember_m1,0.0075205479098895,0.0020689860065629963,0.00829425761056229,0.02939447843183252,135
budget60,gpc,ember_m2,0.004168160623945549,6.580623991768823e-05,0.0014760109629621983,0.009259977478362266,135
budget60,gpc,toniot_scanning_m2_centroid,0.0063033541450540674,0.022176460330137572,0.027479910937475635,0.04239251296338433,135
budget60,gpc,toniot_scanning_natural_cur,0.003296996694387002,0.0008866759802990332,0.004574829302123226,0.011843109687259854,135
budget60,gpc,unsw_dos_m2_centroid,0.0200848585687626,0.019405611184145764,0.03327340505960556,0.05333979490909717,135
budget60,gpc,unsw_dos_natural_cur,0.004580814395181425,0.0026374651275146307,0.0037046216900950054,0.014495763802976734,135
budget60,gpc,unsw_recon_m2_centroid,0.006913458805056848,0.005386043927114415,0.010039559613411039,0.03018319584306025,135
budget60,gpc,unsw_recon_natural_cur,0.006347206585856932,0.0022234904958896313,0.003966178580701941,0.014799938354274745,135
budget60,svc,ember_m1,0.009491248012311694,0.006593597890372306,0.01157010550449051,0.029778044136794544,135
budget60,svc,ember_m2,0.003879770758103177,0.0013863157769657115,0.001073195464523003,0.009985733360664165,135
budget60,svc,toniot_scanning_m2_centroid,0.005357226593570715,0.013933311389705695,0.02311071682516722,0.03011015781751004,135
budget60,svc,toniot_scanning_natural_cur,0.002916763029357921,0.010146055045857968,0.01655857534507791,0.03309882012673446,135
budget60,svc,unsw_dos_m2_centroid,0.005345192786826805,0.020827928517367766,0.03357433863538572,0.049825037761527045,135
budget60,svc,unsw_dos_natural_cur,0.0050203026160275145,0.0019454880157195162,0.00042480485408340744,0.01358744473678005,135
budget60,svc,unsw_recon_m2_centroid,0.009853449485478316,0.003949492336976629,0.010640469535774306,0.023846380055329436,135
budget60,svc,unsw_recon_natural_cur,0.004907658391758105,0.0038910225904110218,0.0034887483327816645,0.01533407894933049,135
