task,split,seed,stratum,source_n,sample_n,class_0_n,class_1_n,positions_sha256,first_rank_digest,tableshift_commit,ood_validation_accessed
acsincome,id_test,7,q1000,158016,250,171,79,1d1518bb05bcf10b934bbf1cdc8a215ec51700d2d4fcf043d6d178c6dad6cfa8,0001ac9a2c6e1e23dee380d48ff395ebd941f01ee375d2b2733025e9073b2ab7,fca9429814703a07e3902d005d46563a207b7f0a,False
acsincome,id_test,7,q2000,158016,500,345,155,132a220d1186a3f043d231c0323f9d921d29b95d374bb817aeca85a231ff9a3c,0001ac9a2c6e1e23dee380d48ff395ebd941f01ee375d2b2733025e9073b2ab7,fca9429814703a07e3902d005d46563a207b7f0a,False
acsincome,id_test,42,q1000,158016,250,173,77,c92eb1d2e05aca41becd6d2f4cb7bdffaca95ba64b795a7068146db8190ac0f5,000061383f1c61b60dbf42f1beaecdf920d43d28f1e235dd3f579eb776657348,fca9429814703a07e3902d005d46563a207b7f0a,False
acsincome,id_test,42,q2000,158016,500,329,171,e731e1bbbbfe35d0b5cd287309dc065946f980d5b15402344975f2778656152a,000061383f1c61b60dbf42f1beaecdf920d43d28f1e235dd3f579eb776657348,fca9429814703a07e3902d005d46563a207b7f0a,False
acsincome,id_test,123,q1000,158016,250,170,80,ab4563580e36487c05a5b9fd307770914434c42ec75d48c1c3fe376dc5ec046d,00000b1486c4a3e0211fea81ed40e2560fbafa5e6b4d45e50845563b33c11954,fca9429814703a07e3902d005d46563a207b7f0a,False
acsincome,id_test,123,q2000,158016,500,342,158,aebfed017df210ad8ba3024f7d2e0b2a1fc05a9054874ea258db69618576aec7,00000b1486c4a3e0211fea81ed40e2560fbafa5e6b4d45e50845563b33c11954,fca9429814703a07e3902d005d46563a207b7f0a,False
acsincome,id_test,999,q1000,158016,250,162,88,976686ef00c362f65eb9430922bc36c71ceca1eed0137b1b763cc767b9de4cd0,000023173c6ca305a1f885660367d483ab3dcba1ea67e04639749609ea163979,fca9429814703a07e3902d005d46563a207b7f0a,False
acsincome,id_test,999,q2000,158016,500,342,158,7cced4a492d10fef9d37edd201cafb4d3ee12b2d51d39da91befe31310422148,000023173c6ca305a1f885660367d483ab3dcba1ea67e04639749609ea163979,fca9429814703a07e3902d005d46563a207b7f0a,False
acsincome,id_test,2024,q1000,158016,250,179,71,afce87ebad523785724737e05438dad97717ef72b65930fd3aeba6c9188670bf,000055b53ed698daed20aaa576e246efc15cedb5dedf03a57db1af60ea47b8cd,fca9429814703a07e3902d005d46563a207b7f0a,False
acsincome,id_test,2024,q2000,158016,500,353,147,b2128d7bf16957efc7922921ee7a4d157aca1705bb9adfcba82a20619a3cc90a,000055b53ed698daed20aaa576e246efc15cedb5dedf03a57db1af60ea47b8cd,fca9429814703a07e3902d005d46563a207b7f0a,False
acsincome,ood_test,7,q1000,75911,500,291,209,10c6dbc4998988a36943d2b9450ff553afed40d84d5429830025bdddf3a22d25,0000a034124e0cc12b845ba50b4d87e2f0b4d624ad08f06df825bf687b4ea337,fca9429814703a07e3902d005d46563a207b7f0a,False
acsincome,ood_test,7,q2000,75911,1000,593,407,5081a54535e3f2194a3d6d6bad01c0e010b07a9e7ba633c2524a6caadc44950a,0000a034124e0cc12b845ba50b4d87e2f0b4d624ad08f06df825bf687b4ea337,fca9429814703a07e3902d005d46563a207b7f0a,False
acsincome,ood_test,42,q1000,75911,500,272,228,e9fe6975038708c2092b3a699e4ad8d359cbb63ff0e9519ba53a0267149e7ba3,0000bcd12b1d8c73852cd93f64829a7a3f2c121bc7c70d941f372daa1bd81357,fca9429814703a07e3902d005d46563a207b7f0a,False
acsincome,ood_test,42,q2000,75911,1000,579,421,c4f039e1ae396134c66f09387c7e8f5214c63cfa45c724030f8904db88dee7cc,0000bcd12b1d8c73852cd93f64829a7a3f2c121bc7c70d941f372daa1bd81357,fca9429814703a07e3902d005d46563a207b7f0a,False
