task,split,seed,stratum,source_n,sample_n,class_0_n,class_1_n,positions_sha256,first_rank_digest,tableshift_commit,ood_validation_accessed
diabetes_readmission,id_test,7,q1000,4287,250,142,108,264ac4e6a4c20345dd7d629e0fc8dc7f8c37f648e54953e657dbdd78c8c3e55f,000b6c87a0fe07c0960946d0f2213afdceeadb89ec6c7189ce00e46973c67284,fca9429814703a07e3902d005d46563a207b7f0a,False
diabetes_readmission,id_test,7,q2000,4287,500,293,207,90f20aca4154c626790a95f2d5300522d529b3c8bbd5a5d7531893a4db26be37,000b6c87a0fe07c0960946d0f2213afdceeadb89ec6c7189ce00e46973c67284,fca9429814703a07e3902d005d46563a207b7f0a,False
diabetes_readmission,id_test,42,q1000,4287,250,161,89,238954a346d58140a04ba756d7a6eacff46dd474a572c2324bac9fc3c64c91b7,00130da7d9314d14b14bfa1dbfd6456f03511c5fcefb0435e81f5af28b133b98,fca9429814703a07e3902d005d46563a207b7f0a,False
diabetes_readmission,id_test,42,q2000,4287,500,306,194,4079cebb906786517a0bebc60f35887dbd901141696bfe19615b451b6f1c38e5,00130da7d9314d14b14bfa1dbfd6456f03511c5fcefb0435e81f5af28b133b98,fca9429814703a07e3902d005d46563a207b7f0a,False
diabetes_readmission,id_test,123,q1000,4287,250,139,111,2245cb5f242c7391cb6f4e830647ddf07f46f9f1903f5e74223395136e3e10bc,000031b8c4759b81c9cfabf1551b204c0eea69fb29d8a81fd0620cc6f24fccf9,fca9429814703a07e3902d005d46563a207b7f0a,False
diabetes_readmission,id_test,123,q2000,4287,500,289,211,a1f588afabae89a2dbe68cf5466176ee5a15adb43de6907d4367dfbb6ed647ac,000031b8c4759b81c9cfabf1551b204c0eea69fb29d8a81fd0620cc6f24fccf9,fca9429814703a07e3902d005d46563a207b7f0a,False
diabetes_readmission,id_test,999,q1000,4287,250,145,105,821c38d921bf03eb84f1eec06e98a80f04a3af2b9dbcf7686d5447778fa7d370,005b87529d562072b1c5d0dc0d8fda22ee9ffcd101113569995927a031dae288,fca9429814703a07e3902d005d46563a207b7f0a,False
diabetes_readmission,id_test,999,q2000,4287,500,272,228,0db743a79a545eaafc201f1e1e0dd6ea9de6899d869a0e0d194d412d237a8658,005b87529d562072b1c5d0dc0d8fda22ee9ffcd101113569995927a031dae288,fca9429814703a07e3902d005d46563a207b7f0a,False
diabetes_readmission,id_test,2024,q1000,4287,250,153,97,4511f4539b1db4f8c1d0ed752a8d9a83f6902a9397b161d758b0e569f2df5092,00075250c0f45f4dbee5100efeae7bb88efb863aa6d19293f164d68015991602,fca9429814703a07e3902d005d46563a207b7f0a,False
diabetes_readmission,id_test,2024,q2000,4287,500,294,206,455efe3aaaa4bc2085adf70163fa30dac009a72023ea52dacb2ddbf04a768c86,00075250c0f45f4dbee5100efeae7bb88efb863aa6d19293f164d68015991602,fca9429814703a07e3902d005d46563a207b7f0a,False
diabetes_readmission,ood_test,7,q1000,50968,500,284,216,35c7121eecae91d258e1782f73565648999fa917f725e4e6d6261d01f9e6cbc4,0003c6fd66faf04e640ac68dbdb18fd5acb6d2444a8ae236877b6788c047b115,fca9429814703a07e3902d005d46563a207b7f0a,False
diabetes_readmission,ood_test,7,q2000,50968,1000,550,450,384b818ef16b63324e3863a2e7df5fc1a292605687e13a612cf9b941b1ead5ae,0003c6fd66faf04e640ac68dbdb18fd5acb6d2444a8ae236877b6788c047b115,fca9429814703a07e3902d005d46563a207b7f0a,False
diabetes_readmission,ood_test,42,q1000,50968,500,273,227,d8b7508828e0d72aaa47200e1b12906ce046d22afa1ba3fd2ce7e40dc1f837c0,00002840430acde3e8dd84649d6217a2b8b7c0d77f44ea742e1987403de55ea4,fca9429814703a07e3902d005d46563a207b7f0a,False
diabetes_readmission,ood_test,42,q2000,50968,1000,544,456,d9c4581183ddd0a8504c375dcf538fd1a51449fe6e4ce541319de05db6e499fd,00002840430acde3e8dd84649d6217a2b8b7c0d77f44ea742e1987403de55ea4,fca9429814703a07e3902d005d46563a207b7f0a,False
diabetes_readmission,ood_test,123,q1000,50968,500,270,230,c2c5750c27a31e279ac7acf66381b9df5fe3e41beed8422350cb96517f87a005,000088a861be91d3ed43d3b9cd7d4fb17a07b67ac2a4ecee0805964a3a8e3b8d,fca9429814703a07e3902d005d46563a207b7f0a,False
diabetes_readmission,ood_test,123,q2000,50968,1000,524,476,dcf051456ee9c46a35b111101f26871bd4fcab030122d2cf6d69bca55ad1d38f,000088a861be91d3ed43d3b9cd7d4fb17a07b67ac2a4ecee0805964a3a8e3b8d,fca9429814703a07e3902d005d46563a207b7f0a,False
diabetes_readmission,ood_test,999,q1000,50968,500,243,257,1dcdc5ea819fc2d5c9383f7202aa341edd7c6ab63613c60363c505171024b318,000133debe5fb6e6193f070d263aa7e7151dd965e599925e741f4cb5838c7c0e,fca9429814703a07e3902d005d46563a207b7f0a,False
diabetes_readmission,ood_test,999,q2000,50968,1000,477,523,8e7da6488654af771aeeef04a94fa353f8f10732892bfaf378d6b612ab11106d,000133debe5fb6e6193f070d263aa7e7151dd965e599925e741f4cb5838c7c0e,fca9429814703a07e3902d005d46563a207b7f0a,False
diabetes_readmission,ood_test,2024,q1000,50968,500,255,245,79c72951fa5ac75f63855536a282f430171bc091a146da4244e53b0d56b0f40e,000164e91f1630c81a32ea6ae9575532280cf3e1d91b4523d47f904c5295c032,fca9429814703a07e3902d005d46563a207b7f0a,False
diabetes_readmission,ood_test,2024,q2000,50968,1000,483,517,31d9615c2af5696ec643e93f2daf6a5e40a62a6b57b135fef6a18ae82a9337db,000164e91f1630c81a32ea6ae9575532280cf3e1d91b4523d47f904c5295c032,fca9429814703a07e3902d005d46563a207b7f0a,False
diabetes_readmission,train,7,q1000,34288,1000,573,427,7bc8465a2c8d22d8056a06d337e2ef31868b880d4f69b0f688be427566196be7,0000f098a81252beb7dae7d7c6824a5b85dceb8023041bc70854538bad61510d,fca9429814703a07e3902d005d46563a207b7f0a,False
diabetes_readmission,train,7,q2000,34288,2000,1163,837,e7c70774649b633b8072fe6573d2367f8fa4d0ac3a14cae0513041c1ee0c849f,0000f098a81252beb7dae7d7c6824a5b85dceb8023041bc70854538bad61510d,fca9429814703a07e3902d005d46563a207b7f0a,False
diabetes_readmission,train,42,q1000,34288,1000,570,430,a0fc620d7cf06463538846aba48aee30117dea2d1ca65996fd929df895972cc4,000017ddc012bf7773a3f2f0b1c0d286189506ae499b0b302ef1a5152a375aae,fca9429814703a07e3902d005d46563a207b7f0a,False
