scope,task,stratum,model,metric,effect,ci_lo,ci_hi,n_seed_clusters,leave_one_task_out_min,leave_one_task_out_max
task_size,college_scorecard,q1000,svc,honest_delta,-0.0165893871142331,-0.028795555323818212,-0.002846657609773784,5,,
task_size,college_scorecard,q1000,svc,oracle_equal_delta,-0.003970966239700368,-0.019236992633057802,0.01122790006984895,5,,
task_size,college_scorecard,q1000,svc,weak_fixed_oracle_delta,0.015574618421658281,0.00040452176266339015,0.0293624383180632,5,,
task_size,college_scorecard,q1000,svc,contraction,0.03216400553589138,0.013826458059068947,0.05115698784328419,5,,
task_size,college_scorecard,q2000,svc,honest_delta,-0.015482595869093129,-0.036701788483156014,0.007919136307034802,5,,
task_size,college_scorecard,q2000,svc,oracle_equal_delta,0.008704668971617502,-0.01005052946356264,0.030768262222451236,5,,
task_size,college_scorecard,q2000,svc,weak_fixed_oracle_delta,0.03092480632334329,0.011100977566819114,0.04975285491044597,5,,
task_size,college_scorecard,q2000,svc,contraction,0.04640740219243642,0.022381551569878623,0.07084185639161074,5,,
task,college_scorecard,sizes_equal,svc,honest_delta,-0.016035991491663116,-0.0324279528045557,2.3984767876084057e-05,5,,
task,college_scorecard,sizes_equal,svc,oracle_equal_delta,0.0023668513659585665,-0.013029352196655419,0.01761284465994094,5,,
task,college_scorecard,sizes_equal,svc,weak_fixed_oracle_delta,0.023249712372500786,0.010576939738665959,0.0364419865243397,5,,
task,college_scorecard,sizes_equal,svc,contraction,0.0392857038641639,0.022962951786595687,0.057017249045302074,5,,
task_size,diabetes_readmission,q1000,svc,honest_delta,-4.84501147685279e-05,-0.021172604666911888,0.026670490440567907,5,,
task_size,diabetes_readmission,q1000,svc,oracle_equal_delta,-0.006571696214742984,-0.009997042481074848,-0.002578313257697462,5,,
task_size,diabetes_readmission,q1000,svc,weak_fixed_oracle_delta,0.0005312495134831563,-0.005442224172028776,0.006504723198995088,5,,
task_size,diabetes_readmission,q1000,svc,contraction,0.0005796996282516842,-0.02374306382151583,0.02519602498502126,5,,
task_size,diabetes_readmission,q2000,svc,honest_delta,-0.013101938522286583,-0.04161761942217133,0.007065528154318756,5,,
task_size,diabetes_readmission,q2000,svc,oracle_equal_delta,-0.00745807234923197,-0.011343855086175613,-0.0027510330701977946,5,,
task_size,diabetes_readmission,q2000,svc,weak_fixed_oracle_delta,0.007414422593294123,0.00400641681667444,0.010822428369913806,5,,
task_size,diabetes_readmission,q2000,svc,contraction,0.020516361115580705,0.0015799715880624233,0.04583197408882085,5,,
task,diabetes_readmission,sizes_equal,svc,honest_delta,-0.006575194318527555,-0.025463184650082998,0.011614524090518047,5,,
task,diabetes_readmission,sizes_equal,svc,oracle_equal_delta,-0.007014884281987477,-0.009961466979874368,-0.004345006273268515,5,,
task,diabetes_readmission,sizes_equal,svc,weak_fixed_oracle_delta,0.003972836053388639,0.0021005868310803866,0.00588677437427908,5,,
task,diabetes_readmission,sizes_equal,svc,contraction,0.010548030371916196,-0.009333101088102296,0.03124093795036636,5,,
task_size,acsincome,q1000,svc,honest_delta,-0.019805424333626708,-0.030374497365057773,-0.007300790536933555,5,,
task_size,acsincome,q1000,svc,oracle_equal_delta,-0.0126042608482968,-0.019813658055599138,-0.00566233102502729,5,,
task_size,acsincome,q1000,svc,weak_fixed_oracle_delta,-0.0006884452917125472,-0.00804993881081073,0.008017514278521088,5,,
task_size,acsincome,q1000,svc,contraction,0.019116979041914162,0.0026138726283459813,0.03544513171333843,5,,
task_size,acsincome,q2000,svc,honest_delta,-0.006394492752248504,-0.014161655401674179,-8.094860779694901e-05,5,,
task_size,acsincome,q2000,svc,oracle_equal_delta,-0.004369865228851744,-0.00884148553358397,0.0013761284692653142,5,,
task_size,acsincome,q2000,svc,weak_fixed_oracle_delta,-0.00021907223105419594,-0.0032955018214537724,0.0052907527031306415,5,,
task_size,acsincome,q2000,svc,contraction,0.006175420521194308,-0.002638292279858079,0.014989133322246695,5,,
task,acsincome,sizes_equal,svc,honest_delta,-0.013099958542937606,-0.02055829297992583,-0.005641624105949383,5,,
task,acsincome,sizes_equal,svc,oracle_equal_delta,-0.008487063038574272,-0.013303294423530765,-0.004027995239494464,5,,
task,acsincome,sizes_equal,svc,weak_fixed_oracle_delta,-0.00045375876138337157,-0.004008445900379731,0.003100928377612988,5,,
task,acsincome,sizes_equal,svc,contraction,0.012646199781554235,0.0021660117690112113,0.022854333415231153,5,,
task_equal,all,sizes_equal,svc,honest_delta,-0.011903714784376093,-0.0205381283546382,-0.0032930778374209223,15,-0.014567975017300361,-0.00983757643073258
task_equal,all,sizes_equal,svc,oracle_equal_delta,-0.0043783653182010605,-0.010164202201772768,0.0011269667119395781,15,-0.007750973660280875,-0.0023240164580144553
task_equal,all,sizes_equal,svc,weak_fixed_oracle_delta,0.008922929888168686,0.0046632573906245905,0.013653638368509849,15,0.001759538646002634,0.013611274212944714
task_equal,all,sizes_equal,svc,contraction,0.020826644672544775,0.011343016696811987,0.030677198113687187,15,0.011597115076735215,0.025965951822859067
task_size,college_scorecard,q1000,gpc,honest_delta,0.003638422029141564,-0.022619122216149055,0.03255278574729494,5,,
task_size,college_scorecard,q1000,gpc,oracle_equal_delta,0.02269667882000235,0.010969329481211676,0.029543637108155284,5,,
task_size,college_scorecard,q1000,gpc,weak_fixed_oracle_delta,0.10133687063410654,0.09099620412350803,0.1124291331323483,5,,
task_size,college_scorecard,q1000,gpc,contraction,0.09769844860496499,0.0693619074432193,0.12368788962522934,5,,
task_size,college_scorecard,q2000,gpc,honest_delta,0.03383322602907746,-0.01371039299218999,0.0813768450503449,5,,
task_size,college_scorecard,q2000,gpc,oracle_equal_delta,0.052005284946618824,0.033581580669040004,0.06758704478352036,5,,
task_size,college_scorecard,q2000,gpc,weak_fixed_oracle_delta,0.1130330341963394,0.09442672015972584,0.12751321103455773,5,,
task_size,college_scorecard,q2000,gpc,contraction,0.07919980816726194,0.021402034609107834,0.13699758172541604,5,,
task,college_scorecard,sizes_equal,gpc,honest_delta,0.01873582402910951,-0.006407165382897295,0.048123811255939994,5,,
task,college_scorecard,sizes_equal,gpc,oracle_equal_delta,0.03735098188331058,0.02896952614725685,0.045506192613593885,5,,
task,college_scorecard,sizes_equal,gpc,weak_fixed_oracle_delta,0.10718495241522297,0.09727025348828619,0.11709965134215974,5,,
task,college_scorecard,sizes_equal,gpc,contraction,0.08844912838611345,0.061403829840473836,0.1155759486826132,5,,
task_size,diabetes_readmission,q1000,gpc,honest_delta,-0.007250649735162251,-0.014231896162495672,0.000616370506193209,5,,
task_size,diabetes_readmission,q1000,gpc,oracle_equal_delta,0.0037824288688045105,-0.0038119154046970085,0.008459281942860764,5,,
task_size,diabetes_readmission,q1000,gpc,weak_fixed_oracle_delta,0.010585439043013966,0.004126168729805801,0.017044709356222133,5,,
task_size,diabetes_readmission,q1000,gpc,contraction,0.017836088778176218,0.005076128908547872,0.02597417751099309,5,,
task_size,diabetes_readmission,q2000,gpc,honest_delta,-0.002821943197859922,-0.013574108741896518,0.0075464522721244934,5,,
task_size,diabetes_readmission,q2000,gpc,oracle_equal_delta,-0.001254577394140055,-0.004415062587299956,0.0021136223260337815,5,,
task_size,diabetes_readmission,q2000,gpc,weak_fixed_oracle_delta,0.007340538626515536,0.002728227653665072,0.014120361281559756,5,,
task_size,diabetes_readmission,q2000,gpc,contraction,0.010162481824375458,-0.0015986061337954105,0.021155607440665636,5,,
task,diabetes_readmission,sizes_equal,gpc,honest_delta,-0.005036296466511087,-0.013057298057077987,0.0029728298100056283,5,,
task,diabetes_readmission,sizes_equal,gpc,oracle_equal_delta,0.0012639257373322278,-0.0015685239902608395,0.0039024580632619488,5,,
task,diabetes_readmission,sizes_equal,gpc,weak_fixed_oracle_delta,0.008962988834764752,0.00381582272943769,0.015384200929025482,5,,
task,diabetes_readmission,sizes_equal,gpc,contraction,0.013999285301275838,0.0025020496814655902,0.022618320691894494,5,,
task_size,acsincome,q1000,gpc,honest_delta,0.003712661113173854,-0.0011247545495054689,0.008550076775853177,5,,
task_size,acsincome,q1000,gpc,oracle_equal_delta,-0.006222212983864828,-0.011409092160430446,-0.0016096816175689588,5,,
task_size,acsincome,q1000,gpc,weak_fixed_oracle_delta,0.007725532830049242,0.001913694329792337,0.012887705924818449,5,,
task_size,acsincome,q1000,gpc,contraction,0.004012871716875388,-0.0033623305130817903,0.011224055057324267,5,,
task_size,acsincome,q2000,gpc,honest_delta,0.015196259800190192,0.0013471614248784735,0.03365477025487136,5,,
task_size,acsincome,q2000,gpc,oracle_equal_delta,0.0010697439488176253,-0.002850943977198717,0.004681737152316834,5,,
task_size,acsincome,q2000,gpc,weak_fixed_oracle_delta,0.0009437594189590559,-0.0009745543441832316,0.0022989773840803142,5,,
task_size,acsincome,q2000,gpc,contraction,-0.014252500381231136,-0.03207107620274476,-0.002159223575553049,5,,
task,acsincome,sizes_equal,gpc,honest_delta,0.009454460456682023,0.004174701600480701,0.01666047354625514,5,,
task,acsincome,sizes_equal,gpc,oracle_equal_delta,-0.0025762345175236014,-0.006684550323434291,-1.4214484790379083e-05,5,,
task,acsincome,sizes_equal,gpc,weak_fixed_oracle_delta,0.004334646124504149,0.0013325797253458949,0.007336712523662403,5,,
task,acsincome,sizes_equal,gpc,contraction,-0.005119814332177874,-0.014611855898862935,0.0008534175010334155,5,,
task_equal,all,sizes_equal,gpc,honest_delta,0.007717996006426816,-0.0015367493025684183,0.018278212805622977,15,0.0022090819950854683,0.014095142242895767
task_equal,all,sizes_equal,gpc,oracle_equal_delta,0.01201289103437307,0.008709471539159732,0.015262822879313779,15,-0.0006561543900956868,0.019307453810321406
task_equal,all,sizes_equal,gpc,weak_fixed_oracle_delta,0.04016086245816396,0.036234094588190525,0.0441351785211074,15,0.006648817479634451,0.05807397062499386
task_equal,all,sizes_equal,gpc,contraction,0.03244286645173714,0.022322765646608116,0.042710096324816524,15,0.004439735484548982,0.05122420684369464
