model,honest_delta,oracle_equal_delta,weak_fixed_oracle_delta,contraction,quantum_honest_candidate,quantum_oracle_candidate,quantum_weak_candidate,classical_weak_candidate,classical_honest_expected_ood,classical_oracle_expected_ood,budget_resamples,task,stratum,seed
svc,-0.01913544439048076,0.01732829528897528,0.0336571151044196,0.05279255949490036,zmap_r2__as0.5__d6,zmap_r2__as2__d6,zmap_r2__as2__d6,linear__d12,0.5679455463817387,0.6304618941233608,5000,college_scorecard,q1000,42
gpc,-0.02482660514813012,0.03085865954346778,0.09995143273433704,0.12477803788246716,pauli_xz_r1_full__as0.5__d6,zmap_r2__d12,zmap_r2__d12,linear__d4,0.5093336474016512,0.5780291500728508,5000,college_scorecard,q1000,42
svc,0.008069686732186665,0.001452748771498702,0.010019963144963229,0.0019502764127765637,zmap_r2__d6,pauli_xz_r1_full__as2__d10,pauli_xz_r1_full__as2__d10,rbf_gscale__d10,0.5860258292383294,0.6615923986486487,5000,college_scorecard,q1000,123
gpc,0.03396135595823102,0.02604086302211317,0.08449785012285016,0.05053649416461914,zmap_r2__d4,pauli_xz_r1_full__as2__d10,pauli_xz_r1_full__as2__d10,linear__d4,0.5065024032555282,0.558456987100737,5000,college_scorecard,q1000,123
svc,-0.028982336446862655,0.010015080499897744,0.031977122059014595,0.06095945850587725,zz_r2_full__as0.5__d4,zmap_r2__as2__d8,zmap_r2__as2__d8,linear__d8,0.5845151956323931,0.6647449053870866,5000,college_scorecard,q1000,999
gpc,-0.022174176895508046,0.02873270319956922,0.10395350132773762,0.12612767822324567,pauli_xz_r1_full__as0.5__d12,pauli_xz_r1_full__as2__d8,pauli_xz_r1_full__as2__d8,linear__d4,0.5285436036471004,0.5815902248797608,5000,college_scorecard,q1000,999
svc,-0.009460011798566259,-0.019876411805716976,0.01554371726344761,0.02500372906201387,zmap_r2__d8,zmap_r2__d6,zmap_r2__d6,rbf_gscale__d12,0.6600615599134771,0.6974180196285239,5000,college_scorecard,q1000,7
gpc,0.050325583224583914,0.028535460054702422,0.12074760006435581,0.0704220168397719,pauli_xz_r1_full__as2__d10,pauli_xz_r1_full__as2__d8,pauli_xz_r1_full__as2__d8,linear__d10,0.5953509572927653,0.6395494181161623,5000,college_scorecard,q1000,7
svc,-0.03343882966744249,-0.028774543953156595,-0.013324825463553625,0.02011400420388887,pauli_xz_r1_full__as0.5__d8,zmap_r2__d10,zmap_r2__d10,rbf_gscale__d12,0.6539252796336612,0.6763422941220629,5000,college_scorecard,q1000,2024
gpc,-0.01909404699346895,-0.0006842917198408571,0.0975339689212521,0.11662801591472105,zmap_r2__as0.5__d8,pauli_xz_r1_full__d12,pauli_xz_r1_full__d12,linear__d4,0.5223408002402222,0.6014650138878462,5000,college_scorecard,q1000,2024
svc,-0.028923476190476194,0.004817857142857096,-0.0033333333333334103,0.025590142857142784,pauli_xz_r1_full__as0.5__d4,zmap_r2__as2__d10,zmap_r2__as2__d10,linear__d10,0.6086853809523809,0.643277380952381,5000,college_scorecard,q2000,42
gpc,0.08635961904761924,0.03880233333333327,0.08166666666666678,-0.004692952380952464,pauli_xz_r1_full__as2__d12,zmap_r2__d12,zmap_r2__d12,linear__d10,0.5024499047619047,0.5631024285714287,5000,college_scorecard,q2000,42
svc,0.004049984931532635,0.011473889171422447,0.040661317360757954,0.03661133242922532,zmap_r2__as2__d8,zmap_r2__as2__d10,zmap_r2__as2__d10,rbf_gscale__d8,0.657286211410597,0.6863091625699272,5000,college_scorecard,q2000,123
gpc,-0.03755444331430935,0.019852395886308494,0.1243666534817578,0.16192109679606714,zmap_r2__as2__d8,pauli_xz_r1_full__as2__d10,pauli_xz_r1_full__as2__d10,linear__d4,0.5804760307773446,0.6061482445235539,5000,college_scorecard,q2000,123
svc,-0.022396434667628196,0.048068532275514,0.06302440197139081,0.085420836639019,pauli_xz_r1_full__as0.5__d8,zmap_r2__as2__d10,zmap_r2__as2__d10,linear__d12,0.6036562014665223,0.674602461834355,5000,college_scorecard,q2000,999
gpc,-0.015810080538526283,0.06701514605120817,0.13246784469287176,0.14827792523139804,zmap_r2__as0.5__d12,pauli_xz_r1_full__as2__d10,pauli_xz_r1_full__as2__d10,linear__d4,0.5246813391032576,0.5722323596586127,5000,college_scorecard,q2000,999
svc,0.021489724264705856,-0.0003921323529412213,0.03354779411764697,0.012058069852941111,zmap_r2__d8,zmap_r2__as2__d10,zmap_r2__as2__d10,rbf_gscale__d8,0.6251095404411765,0.6855024264705882,5000,college_scorecard,q2000,7
gpc,0.09799395220588236,0.06954838235294125,0.12389705882352953,0.025903106617647165,pauli_xz_r1_full__as2__d12,pauli_xz_r1_full__as2__d12,pauli_xz_r1_full__as2__d12,linear__d4,0.544009724264706,0.5724552941176471,5000,college_scorecard,q2000,7
svc,-0.05163277768359975,-0.02044480137876481,0.02072385150025413,0.07235662918385388,zmap_r2__as0.5__d4,zmap_r2__d12,zmap_r2__d12,rbf_gscale__d10,0.6437576199355822,0.668403024053041,5000,college_scorecard,q2000,2024
gpc,0.03817708274472131,0.06480816710930293,0.10276694731687108,0.06458986457214977,pauli_xz_r1_full__as2__d12,pauli_xz_r1_full__d12,pauli_xz_r1_full__d12,linear__d4,0.5219508108718992,0.5412267540637773,5000,college_scorecard,q2000,2024
svc,-0.004411456971809391,-0.00837562569589001,-0.007672943796291798,-0.003261486824482407,zmap_r2__d8,zmap_r2__d10,pauli_xz_r1_full__d8,linear__d12,0.4837324296848526,0.5529852011424699,5000,diabetes_readmission,q1000,42
gpc,0.007575075438511547,-0.010944215842894178,0.000742282680608719,-0.006832792757902828,zz_r1_full__as2__d4,pauli_xz_r1_full__as0.5__d8,pauli_xz_r1_full__as0.5__d8,rbf_gscale__d8,0.526473108389408,0.5571432444207775,5000,diabetes_readmission,q1000,42
svc,-0.03447077294686002,-0.005285893719806589,0.0037842190016103006,0.03825499194847032,zz_r1_full__as0.5__d12,pauli_xz_r1_full__as0.5__d8,zmap_r2__as0.5__d6,rbf_gscale__d4,0.5153081320450886,0.545301996779388,5000,diabetes_readmission,q1000,123
gpc,-0.007012914653784286,0.007549355877616848,0.02020933977455719,0.027222254428341475,zmap_r2__as0.5__d10,zz_r1_full__as0.5__d6,zz_r1_full__as0.5__d6,rbf_gscale__d8,0.5129710466988728,0.52972922705314,5000,diabetes_readmission,q1000,123
svc,-0.010712561848489344,-0.012486568669837106,0.010288065843621297,0.02100062769211064,pauli_xz_r1_full__d8,pauli_xz_r1_full__as0.5__d8,zmap_r2__as0.5__d8,rbf_gscale__d8,0.5258444252293799,0.5665289378873036,5000,diabetes_readmission,q1000,999
gpc,-0.01717203567596992,0.00853393380410239,0.007670013290419719,0.02484204896638964,pauli_xz_r1_full__as2__d10,pauli_xz_r1_full__as0.5__d8,pauli_xz_r1_full__as0.5__d8,rbf_gscale__d10,0.5257147331507902,0.5405605562761205,5000,diabetes_readmission,q1000,999
svc,0.001960752477830008,-0.007239612676056328,-0.007824726134585291,-0.0097854786124153,pauli_xz_r1_full__d6,zz_r1_full__as0.5__d12,zz_r1_full__as0.5__d8,rbf_gscale__d6,0.5366738328116849,0.5650121739697445,5000,diabetes_readmission,q1000,7
gpc,-0.012918635889410446,0.008839593114241096,0.005738132498695925,0.01865676838810637,pauli_xz_r1_full__as0.5__d12,zmap_r2__as0.5__d6,zmap_r2__as0.5__d6,rbf_gscale__d6,0.5241014736567553,0.5523562858633281,5000,diabetes_readmission,q1000,7
svc,0.047391788715486105,0.0005292196878751154,0.004081632653061273,-0.04331015606242483,pauli_xz_r1_full__as0.5__d4,zmap_r2__as0.5__d6,zmap_r2__as0.5__d6,rbf_gscale__d6,0.5138727170868348,0.5721798639455783,5000,diabetes_readmission,q1000,2024
gpc,-0.0067247378951581505,0.004933477390956398,0.01856742697078828,0.02529216486594643,zmap_r2__as2__d6,pauli_xz_r1_full__as2__d8,pauli_xz_r1_full__as2__d8,rbf_gscale__d6,0.5028832012805122,0.5290000960384154,5000,diabetes_readmission,q1000,2024
svc,-0.004147097523219845,-0.00948254321465436,0.011948529411764719,0.016095626934984564,pauli_xz_r1_full__as2__d6,pauli_xz_r1_full__d12,pauli_xz_r1_full__d12,rbf_gscale__d10,0.5258189241486069,0.5576152831527348,5000,diabetes_readmission,q2000,42
gpc,0.01207622226522187,0.0028759578173374045,0.001064241486068096,-0.011011980779153774,zz_r1_full__as2__d6,pauli_xz_r1_full__as0.5__d12,pauli_xz_r1_full__as0.5__d12,rbf_gscale__d12,0.5081443659700723,0.5438377934726523,5000,diabetes_readmission,q2000,42
svc,-0.008775028866508383,-0.005376260504201702,0.00819488100583754,0.016969909872345923,zmap_r2__d12,pauli_xz_r1_full__d4,pauli_xz_r1_full__d4,rbf_gscale__d4,0.5148851064853421,0.5547139345050998,5000,diabetes_readmission,q2000,123
gpc,0.007636989223170132,0.003958892488293064,0.020158445057412266,0.012521455834242134,pauli_xz_r1_full__as2__d12,zmap_r2__as0.5__d10,zmap_r2__as0.5__d10,rbf_gscale__d6,0.5335539146192829,0.546365053884149,5000,diabetes_readmission,q2000,123
svc,-0.06558692272849342,-0.012747996761146574,0.00391628686300205,0.06950320959149547,zz_r2_full__as0.5__d8,pauli_xz_r1_full__as0.5__d12,zmap_r2__as0.5__d6,rbf_gscale__d6,0.556363405766602,0.5688547185845249,5000,diabetes_readmission,q2000,999
gpc,-0.021689383535561324,-0.004184523652047689,0.007046911264235067,0.02873629479979639,pauli_xz_r1_full__as2__d8,zmap_r2__as0.5__d6,zmap_r2__as0.5__d6,linear__d6,0.5215210272937536,0.5404512640747822,5000,diabetes_readmission,q2000,999
svc,0.015551656565656713,0.001186808080808066,0.011010101010101025,-0.0045415555555556875,pauli_xz_r1_full__as0.5__d4,zz_r1_full__d8,zmap_r2__as0.5__d8,rbf_gscale__d8,0.5245493535353535,0.5543687474747475,5000,diabetes_readmission,q2000,7
gpc,-0.001694161616161538,-0.004140161616161708,0.0053535353535353325,0.0070476969696968705,zz_r2_full__as2__d4,pauli_xz_r1_full__as2__d12,pauli_xz_r1_full__as2__d12,rbf_gscale__d6,0.5135123434343434,0.5423219797979799,5000,diabetes_readmission,q2000,7
svc,-0.0025523000588679734,-0.01087036934696528,0.002002314675765282,0.0045546147346332555,zmap_r2__d6,pauli_xz_r1_full__as0.5__d4,zmap_r2__d8,rbf_gscale__d4,0.5559800625523105,0.5708376915714567,5000,diabetes_readmission,q2000,2024
gpc,-0.010439382325968749,-0.004783052008121347,0.0030795599713269173,0.013518942297295666,zz_r1_full__as2__d6,zz_r2_full__as0.5__d6,zz_r2_full__as0.5__d6,rbf_gscale__d8,0.5247178882788502,0.5536735694462799,5000,diabetes_readmission,q2000,2024
