task,stratum,seed,family,kernel,dim,candidate_id,model,regularization,c_selected,c_cv_score,split,fit_seconds,kernel_backend,accuracy,balanced_accuracy,f1_macro,f1_pos,roc_auc,pr_auc,log_loss,brier,ece,mean_predictive_entropy
acsincome,q2000,999,classical_ext,linear,4,linear__d4,svc,train_cv,0.1,0.6778846940649584,validation,0.0401499271392822,analytic_cpu,0.648,0.6811270125223614,0.6377766069546891,0.5769230769230769,0.745005963029219,0.5241417490535341,,,,
acsincome,q2000,999,classical_ext,linear,4,linear__d4,svc,train_cv,0.1,0.6778846940649584,id_test,0.0401499271392822,analytic_cpu,0.626,0.6636131467910282,0.6183034711931384,0.5641025641025641,0.7437264046191427,0.5482244012051429,,,,
acsincome,q2000,999,classical_ext,linear,4,linear__d4,svc,train_cv,0.1,0.6778846940649584,ood_test,0.0401499271392822,analytic_cpu,0.685,0.6976339079321049,0.6841785484043998,0.6680716543730242,0.749583085661449,0.6179182151941041,,,,
acsincome,q2000,999,classical_ext,linear,4,linear__d4,gpc,not_applicable,,,validation,3.05534029006958,analytic_cpu,0.726,0.6327146690518783,0.6412692261365481,0.4669260700389105,0.7462544722719141,0.5287721507077563,0.536396146918536,0.1811350170839124,0.0313420988855804,0.550104116792644
acsincome,q2000,999,classical_ext,linear,4,linear__d4,gpc,not_applicable,,,id_test,3.05534029006958,analytic_cpu,0.74,0.6533052039381153,0.6638325161877573,0.5038167938931297,0.7467984306758457,0.5539815990165673,0.5387002829071496,0.182445253048009,0.0366313469798503,0.559766988656435
acsincome,q2000,999,classical_ext,linear,4,linear__d4,gpc,not_applicable,,,ood_test,3.05534029006958,analytic_cpu,0.664,0.6212931774651608,0.6164803857111549,0.4814814814814814,0.7504664487154086,0.6201047935033525,0.6017603851672322,0.2095796231363306,0.0998994383593827,0.5544544910137379
acsincome,q2000,999,classical_ext,linear,4,linear__d4,svc,fixed_c1,1.0,,validation,0.0430002212524414,analytic_cpu,0.662,0.6790399522957662,0.6464065278794853,0.5721518987341773,0.7473166368515204,0.5212495339452452,,,,
acsincome,q2000,999,classical_ext,linear,4,linear__d4,svc,fixed_c1,1.0,,id_test,0.0430002212524414,analytic_cpu,0.63,0.6546191427936932,0.6184481357582157,0.5520581113801453,0.7416907247020504,0.5412520423412103,,,,
acsincome,q2000,999,classical_ext,linear,4,linear__d4,svc,fixed_c1,1.0,,ood_test,0.0430002212524414,analytic_cpu,0.686,0.6926722145168747,0.6837686717478528,0.6572052401746725,0.7492693679413512,0.6119717077258686,,,,
acsincome,q2000,999,classical_ext,rbf_gscale,4,rbf_gscale__d4,svc,train_cv,100.0,0.6835541308327546,validation,0.1429300308227539,analytic_cpu,0.672,0.7125819916517591,0.6633825944170773,0.6095238095238096,0.7657088550983899,0.5758309939159454,,,,
acsincome,q2000,999,classical_ext,rbf_gscale,4,rbf_gscale__d4,svc,train_cv,100.0,0.6835541308327546,id_test,0.1429300308227539,analytic_cpu,0.65,0.6896698497298097,0.6423769061310903,0.5901639344262295,0.7424309719446296,0.5182935016488083,,,,
acsincome,q2000,999,classical_ext,rbf_gscale,4,rbf_gscale__d4,svc,train_cv,100.0,0.6835541308327546,ood_test,0.1429300308227539,analytic_cpu,0.684,0.6960570636021399,0.6830758491761978,0.6659619450317125,0.7688395746648174,0.6339204792536417,,,,
acsincome,q2000,999,classical_ext,rbf_gscale,4,rbf_gscale__d4,gpc,not_applicable,,,validation,3.671374082565308,analytic_cpu,0.734,0.6332737030411449,0.6424558177546226,0.4615384615384615,0.7745043231961837,0.6069438733090553,0.5156382877659448,0.173294609912168,0.0360679844600684,0.5458796840575878
acsincome,q2000,999,classical_ext,rbf_gscale,4,rbf_gscale__d4,gpc,not_applicable,,,id_test,3.671374082565308,analytic_cpu,0.738,0.6416278036864314,0.6515938914568695,0.4780876494023904,0.7601228810422681,0.6348931098986748,0.5261805443250849,0.1765897471831405,0.0857431633869221,0.5559780430399788
acsincome,q2000,999,classical_ext,rbf_gscale,4,rbf_gscale__d4,gpc,not_applicable,,,ood_test,3.671374082565308,analytic_cpu,0.663,0.6106350307113136,0.5968778970662998,0.4336134453781513,0.7684309160557427,0.669608718814218,0.5821453945320259,0.2021999690786235,0.0939570480083499,0.5474016204376833
acsincome,q2000,999,classical_ext,rbf_gscale,4,rbf_gscale__d4,svc,fixed_c1,1.0,,validation,0.0375125408172607,analytic_cpu,0.658,0.6989042933810377,0.6496920977912164,0.5957446808510638,0.755031305903399,0.54532498292032,,,,
