group,setting,model,q_p1_ood,c_p1_ood,delta
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,svc,0.7700700714692122,0.7799912811878025,-0.00992120971859023
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,svc,0.7654167493161121,0.7785651214586753,-0.013148372142563147
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,svc,0.7610641994818731,0.7703415943753797,-0.009277394893506652
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,svc,0.7673650045864205,0.7819795822445503,-0.01461457765812979
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000,svc,0.7694569981142335,0.7737191612881015,-0.004262163173867961
ember_m1,m1_hist_byteent__ms42__q4000_id1800_ood1800,svc,0.7591338774583324,0.7628460432925414,-0.003712165834208969
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,svc,0.7627481977654648,0.7841420897397874,-0.02139389197432262
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,svc,0.7717119519159539,0.771686170788423,2.5781127530821735e-05
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,svc,0.7595754906076447,0.7638638705793408,-0.004288379971696066
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,svc,0.7842738284202507,0.7885900982669412,-0.004316269846690424
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,svc,0.7912932693626179,0.7976693727218644,-0.006376103359246543
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,svc,0.8105629616773543,0.8148858224244188,-0.00432286074706445
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,svc,0.7734158580129045,0.7796749450872025,-0.006259087074298009
ember_m2,m2_hist_byteent__ms42__q2000_id1000_ood1000,svc,0.7958806990813422,0.8035255766891183,-0.007644877607776102
ember_m2,m2_hist_byteent__ms42__q4000_id1800_ood1800,svc,0.8091850611602261,0.8125226951598382,-0.0033376339996120663
ember_m2,m2_hist_byteent__ms999__q1000_id500_ood500,svc,0.7905064341376628,0.790539148695392,-3.271455772924092e-05
ember_m2,m2_hist_byteent__ms999__q2000_id1000_ood1000,svc,0.7946804883038734,0.7967307959211827,-0.0020503076173092882
ember_m2,m2_hist_byteent__ms999__q4000_id1800_ood1800,svc,0.8135890236137773,0.8175910282971394,-0.004002004683362093
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms123__q1000_id500_ood500,svc,0.9657624882015446,0.9669808688514862,-0.0012183806499415084
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms123__q2000_id1000_ood1000,svc,0.9694209207133706,0.9661607115147876,0.003260209198583053
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms123__q4000_id1800_ood1800,svc,0.9746853427523035,0.9707182672856051,0.003967075466698389
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q1000_id500_ood500,svc,0.9707635721509704,0.9649311179091434,0.00583245424182699
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q2000_id1000_ood1000,svc,0.9682754107737792,0.9654902651022491,0.002785145671530098
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q4000_id1800_ood1800,svc,0.9737668316412292,0.9712117999736503,0.0025550316675789775
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms999__q1000_id500_ood500,svc,0.9678974550117763,0.9639677663286259,0.003929688683150356
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms999__q2000_id1000_ood1000,svc,0.9683710556199382,0.9675242075704994,0.0008468480494387975
toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms999__q4000_id1800_ood1800,svc,0.9783793431956742,0.975259715099608,0.0031196280960662515
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms123__q1000_id500_ood500,svc,0.9936529027734978,0.9932414410483188,0.0004114617251790298
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms123__q2000_id1000_ood1000,svc,0.9947981208465518,0.994342426018266,0.0004556948282858908
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms123__q4000_id1800_ood1800,svc,0.9943143135535634,0.9937682044424065,0.0005461091111568228
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q1000_id500_ood500,svc,0.9926879029433137,0.9934514977235073,-0.0007635947801936105
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q2000_id1000_ood1000,svc,0.9939933084214521,0.993394778541384,0.0005985298800680328
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q4000_id1800_ood1800,svc,0.9921199890373641,0.9921171236949601,2.865342404012594e-06
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms999__q1000_id500_ood500,svc,0.9894227612666043,0.990254340452752,-0.000831579186147624
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms999__q2000_id1000_ood1000,svc,0.9919522349439075,0.9945449734167904,-0.002592738472882883
toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms999__q4000_id1800_ood1800,svc,0.9928970807111027,0.9936060319970701,-0.0007089512859673741
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms123__q1000_id500_ood500,svc,0.9334683811668274,0.9360631648249397,-0.0025947836581122763
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms123__q2000_id1000_ood1000,svc,0.9406001678337039,0.944761131328169,-0.004160963494465042
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms123__q4000_id1800_ood1800,svc,0.9457796426857872,0.9479169150422387,-0.0021372723564515583
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500,svc,0.9279221683356675,0.934003428953363,-0.006081260617695428
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q2000_id1000_ood1000,svc,0.9398045199834882,0.9441993725257775,-0.004394852542289218
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q4000_id1800_ood1800,svc,0.9398600262570633,0.9450077893645495,-0.005147763107486214
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms999__q1000_id500_ood500,svc,0.9308408518098797,0.9413210677588971,-0.01048021594901738
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms999__q2000_id1000_ood1000,svc,0.9405353293366867,0.9444780837587542,-0.003942754422067485
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms999__q4000_id1800_ood1800,svc,0.9460260865231925,0.947389526860349,-0.0013634403371565185
unsw_dos_natural_cur,unsw_dos__natural_cur__ms123__q1000_id500_ood500,svc,0.851053422140517,0.8576795156976009,-0.006626093557083879
unsw_dos_natural_cur,unsw_dos__natural_cur__ms123__q2000_id1000_ood1000,svc,0.8594451720242685,0.8577604927164176,0.0016846793078508782
unsw_dos_natural_cur,unsw_dos__natural_cur__ms123__q4000_id1800_ood1800,svc,0.860061041400422,0.8696977197595763,-0.009636678359154272
unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500,svc,0.8463434792885208,0.8428343803870119,0.003509098901508967
unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q2000_id1000_ood1000,svc,0.8636110250724489,0.8665219720035634,-0.0029109469311144887
unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q4000_id1800_ood1800,svc,0.8599629015778103,0.8645864020541691,-0.004623500476358844
unsw_dos_natural_cur,unsw_dos__natural_cur__ms999__q1000_id500_ood500,svc,0.8303129555616852,0.8408829948884574,-0.010570039326772251
unsw_dos_natural_cur,unsw_dos__natural_cur__ms999__q2000_id1000_ood1000,svc,0.8487187254138525,0.8521638456239365,-0.0034451202100840295
unsw_dos_natural_cur,unsw_dos__natural_cur__ms999__q4000_id1800_ood1800,svc,0.8586858504539535,0.8661677092599592,-0.0074818588060057145
unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms123__q1000_id500_ood500,svc,0.9469158457749313,0.957421337515411,-0.010505491740479767
unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms123__q2000_id1000_ood1000,svc,0.9519907772284345,0.9556077732372378,-0.003616996008803275
unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms123__q4000_id1800_ood1800,svc,0.9556676247265636,0.9580087604184501,-0.0023411356918864312
unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms42__q1000_id500_ood500,svc,0.9208457346916654,0.9288400877110762,-0.00799435301941076
unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms42__q2000_id1000_ood1000,svc,0.9351213998144045,0.9375528481632184,-0.002431448348813925
unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms42__q4000_id1800_ood1800,svc,0.943035842490475,0.9455697351098091,-0.0025338926193341216
unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms999__q1000_id500_ood500,svc,0.9352019138653347,0.9332069999120695,0.0019949139532652316
unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms999__q2000_id1000_ood1000,svc,0.9454927355179171,0.9514174943621527,-0.0059247588442356
unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms999__q4000_id1800_ood1800,svc,0.9497690120863939,0.9518534089989718,-0.0020843969125778905
unsw_recon_natural_cur,unsw_recon__natural_cur__ms123__q1000_id500_ood500,svc,0.8189917907392755,0.8233120039555306,-0.004320213216255087
unsw_recon_natural_cur,unsw_recon__natural_cur__ms123__q2000_id1000_ood1000,svc,0.8451349536349226,0.8492409710251593,-0.004106017390236638
unsw_recon_natural_cur,unsw_recon__natural_cur__ms123__q4000_id1800_ood1800,svc,0.8470748652704996,0.849553746414302,-0.0024788811438024583
unsw_recon_natural_cur,unsw_recon__natural_cur__ms42__q1000_id500_ood500,svc,0.8101626681903983,0.81324192093359,-0.0030792527431917627
unsw_recon_natural_cur,unsw_recon__natural_cur__ms42__q2000_id1000_ood1000,svc,0.8481659183830231,0.8486606932852399,-0.0004947749022167214
unsw_recon_natural_cur,unsw_recon__natural_cur__ms42__q4000_id1800_ood1800,svc,0.8432338837050976,0.8434926375820322,-0.0002587538769346365
unsw_recon_natural_cur,unsw_recon__natural_cur__ms999__q1000_id500_ood500,svc,0.8335078814950837,0.829271537846114,0.004236343648969743
unsw_recon_natural_cur,unsw_recon__natural_cur__ms999__q2000_id1000_ood1000,svc,0.845085384003077,0.8462662445495039,-0.001180860546426965
unsw_recon_natural_cur,unsw_recon__natural_cur__ms999__q4000_id1800_ood1800,svc,0.8461245000853578,0.8419596919962689,0.004164808089088923
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,gpc,0.7737737561344745,0.7733646626646205,0.0004090934698540716
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,gpc,0.7872354450654644,0.7900736148541533,-0.0028381697886888935
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,gpc,0.7705618541420344,0.7756421810880574,-0.005080326946023006
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,gpc,0.7810789254343604,0.7810805924600426,-1.6670256821615936e-06
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000,gpc,0.7765499653098537,0.7773629702756811,-0.0008130049658274796
ember_m1,m1_hist_byteent__ms42__q4000_id1800_ood1800,gpc,0.7750434525791686,0.7732290357126321,0.0018144168665364946
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,gpc,0.7717531647767639,0.7772100371150115,-0.005456872338247543
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,gpc,0.7830996718185905,0.7793442813340585,0.003755390484531995
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,gpc,0.7736147177790527,0.7723589658698092,0.00125575190924343
