group,setting,qs,seed,model,p1_ood_quantum,p1_ood_classical,delta
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,7,42,svc,0.7467635339488886,0.750908130770831,-0.004144596821942348
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,7,123,svc,0.7467635339488886,0.750908130770831,-0.004144596821942348
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,7,999,svc,0.7467635339488886,0.750908130770831,-0.004144596821942348
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,42,42,svc,0.8015817110655737,0.8043032786885246,-0.002721567622950838
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,42,123,svc,0.8015817110655737,0.8043032786885246,-0.002721567622950838
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,42,999,svc,0.8015817110655737,0.8043032786885246,-0.002721567622950838
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,123,42,svc,0.7629101215352836,0.7666170277497558,-0.0037069062144722276
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,123,123,svc,0.7629101215352836,0.7666170277497558,-0.0037069062144722276
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,123,999,svc,0.7629101215352836,0.7666170277497558,-0.0037069062144722276
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,999,42,svc,0.7590738220234623,0.779813986648519,-0.02074016462505668
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,999,123,svc,0.7590738220234623,0.779813986648519,-0.02074016462505668
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,999,999,svc,0.7590738220234623,0.779813986648519,-0.02074016462505668
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,2024,42,svc,0.7800211687728527,0.7976137019693373,-0.017592533196484683
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,2024,123,svc,0.7800211687728527,0.7997145423054718,-0.01969337353261913
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,2024,999,svc,0.7800211687728527,0.7976137019693373,-0.017592533196484683
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,7,42,svc,0.7822936357908002,0.7851151272881975,-0.0028214914973972993
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,7,123,svc,0.7822936357908002,0.7851151272881975,-0.0028214914973972993
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,7,999,svc,0.7822936357908002,0.7851151272881975,-0.0028214914973972993
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,42,42,svc,0.7435790753868556,0.7564249251892272,-0.012845849802371578
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,42,123,svc,0.7445912211358435,0.7564249251892272,-0.011833704053383687
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,42,999,svc,0.7455833640044167,0.7564249251892272,-0.0108415611848105
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,123,42,svc,0.7592931432973806,0.7732890344119158,-0.013995891114535142
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,123,123,svc,0.7592931432973806,0.7732890344119158,-0.013995891114535142
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,123,999,svc,0.7592931432973806,0.7732890344119158,-0.013995891114535142
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,42,svc,0.7347443782433212,0.7640463834967006,-0.02930200525337945
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,123,svc,0.7347443782433212,0.7640463834967006,-0.02930200525337945
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,999,svc,0.7347443782433212,0.7640463834967006,-0.02930200525337945
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,42,svc,0.8061680357400202,0.8139501369073353,-0.0077821011673151474
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,123,svc,0.8061680357400202,0.8139501369073353,-0.0077821011673151474
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,999,svc,0.8061680357400202,0.8139501369073353,-0.0077821011673151474
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,7,42,svc,0.7536348470439546,0.7718681326835108,-0.018233285639556285
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,7,123,svc,0.7536348470439546,0.7718681326835108,-0.018233285639556285
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,7,999,svc,0.7536348470439546,0.7718681326835108,-0.018233285639556285
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,42,svc,0.7677736967190345,0.7788789777462267,-0.011105281027192215
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,123,svc,0.7677736967190345,0.779431463934072,-0.011657767215037529
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,999,svc,0.7677736967190345,0.7788789777462267,-0.011105281027192215
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,123,42,svc,0.7649995363358165,0.7707396989273902,-0.0057401625915737275
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,123,123,svc,0.7649995363358165,0.7707396989273902,-0.0057401625915737275
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,123,999,svc,0.7649995363358165,0.7702049395691014,-0.005205403233284889
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,999,42,svc,0.7478382573199206,0.7478925864234041,-5.432910348346365e-05
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,999,123,svc,0.7511529500085815,0.7481642319408208,0.0029887180677606873
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,999,999,svc,0.7511529500085815,0.7481642319408208,0.0029887180677606873
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,2024,42,svc,0.7688648648648648,0.78196138996139,-0.013096525096525147
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,2024,123,svc,0.7688648648648648,0.7825019305019305,-0.013637065637065682
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,2024,999,svc,0.7688648648648648,0.78196138996139,-0.013096525096525147
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,7,42,svc,0.7566929637867853,0.7832007809124514,-0.026507817125666078
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,7,123,svc,0.7566929637867853,0.7832007809124514,-0.026507817125666078
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,7,999,svc,0.7566929637867853,0.785225072410427,-0.02853210862364175
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,42,42,svc,0.7689549180327868,0.768890881147541,6.403688524581064e-05
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,42,123,svc,0.7689549180327868,0.768890881147541,6.403688524581064e-05
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,42,999,svc,0.7689549180327868,0.768890881147541,6.403688524581064e-05
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,123,42,svc,0.7697234631951451,0.7821812300843862,-0.012457766889241162
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,123,123,svc,0.7697234631951451,0.7821812300843862,-0.012457766889241162
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,123,999,svc,0.7697234631951451,0.7821812300843862,-0.012457766889241162
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,999,42,svc,0.771696156588243,0.8019152245770951,-0.0302190679888521
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,999,123,svc,0.771696156588243,0.7996629723248428,-0.02796681573659987
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,999,999,svc,0.771696156588243,0.7996629723248428,-0.02796681573659987
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,2024,42,svc,0.7739592020014112,0.77453653217012,-0.0005773301687087562
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,2024,123,svc,0.7676566809930079,0.77453653217012,-0.006879851177112095
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,2024,999,svc,0.7676566809930079,0.77453653217012,-0.006879851177112095
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000,7,42,svc,0.7645539595198247,0.7765663692662115,-0.012012409746386732
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000,7,123,svc,0.7645539595198247,0.7765663692662115,-0.012012409746386732
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000,7,999,svc,0.7645539595198247,0.7765663692662115,-0.012012409746386732
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000,42,42,svc,0.7747435630730826,0.7751796258661248,-0.0004360627930422023
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000,42,123,svc,0.7747435630730826,0.7751796258661248,-0.0004360627930422023
