group,model,scheme,budget,B,n_settings,q_p1_ood,c_p1_ood_median,delta_median,delta_p2.5,delta_p97.5,frac_resamples_delta_lt0,delta_full_pool,select_col,seed
ember_m1,svc,uniform,60,5000,9,0.7651713934128054,0.7759956123066251,-0.010824218893819817,-0.0124342137781637,-0.0084385583391082,1.0,-0.0139836144507548,ood_test,20260715
ember_m1,svc,kernel_stratified,60,5000,9,0.7651713934128054,0.7760829115766126,-0.01091151816380723,-0.012506804924052565,-0.008482787367755993,1.0,-0.0139836144507548,ood_test,20260715
ember_m1,svc,kernel_blocked,60,5000,9,0.7651713934128054,0.7757878288092401,-0.010616435396434983,-0.01237962040490081,-0.008461969383243598,1.0,-0.0139836144507548,ood_test,20260715
ember_m2,svc,uniform,60,5000,9,0.7959319581966676,0.8037436183890478,-0.007811660192380129,-0.009067963025225716,-0.0031710264801080423,0.9998,-0.009677189665784125,ood_test,20260715
ember_m2,svc,kernel_stratified,60,5000,9,0.7959319581966676,0.8038017707746948,-0.007869812578027071,-0.00894079583929141,-0.0038441936374903705,1.0,-0.009677189665784125,ood_test,20260715
ember_m2,svc,kernel_blocked,60,5000,9,0.7959319581966676,0.8035072672436538,-0.007575309046986173,-0.009371573736549278,0.0014126133409884183,0.946,-0.009677189665784125,ood_test,20260715
toniot_scanning_m2_centroid,svc,uniform,60,5000,9,0.970813602228954,0.9691474401305664,0.0016661620983876827,0.0011331918057079303,0.0025896374570060225,0.0,0.0006617502585127832,ood_test,20260715
toniot_scanning_m2_centroid,svc,kernel_stratified,60,5000,9,0.970813602228954,0.9691791832757437,0.0016344189532103333,0.001171623068692443,0.002324631780461368,0.0,0.0006617502585127832,ood_test,20260715
toniot_scanning_m2_centroid,svc,kernel_blocked,60,5000,9,0.970813602228954,0.9689188184203439,0.0018947838086102269,0.0009565535446251309,0.0037843907199088616,0.0,0.0006617502585127832,ood_test,20260715
toniot_scanning_natural_cur,svc,uniform,60,5000,9,0.992870957166373,0.99341253379348,-0.000541576627106984,-0.0007422625576190362,-0.00015689732799035143,0.9946,-0.0008374060366551639,ood_test,20260715
toniot_scanning_natural_cur,svc,kernel_stratified,60,5000,9,0.992870957166373,0.9934280701738446,-0.0005571130074716324,-0.0007304725117916461,-0.0002295316672439828,0.9996,-0.0008374060366551639,ood_test,20260715
toniot_scanning_natural_cur,svc,kernel_blocked,60,5000,9,0.992870957166373,0.9932710039446888,-0.0004000467783158003,-0.0007875112193211661,0.0003387220740772925,0.8608,-0.0008374060366551639,ood_test,20260715
unsw_dos_m2_centroid,svc,uniform,60,5000,9,0.938315241548033,0.9419793623957737,-0.003664120847740889,-0.00446720150874344,-0.0025594650871742343,1.0,-0.005051112178028672,ood_test,20260715
unsw_dos_m2_centroid,svc,kernel_stratified,60,5000,9,0.938315241548033,0.9420158716841495,-0.003700630136116582,-0.0044812006282337535,-0.002607956684185784,1.0,-0.005051112178028672,ood_test,20260715
unsw_dos_m2_centroid,svc,kernel_blocked,60,5000,9,0.938315241548033,0.9418491316700632,-0.0035338901220303143,-0.004426796669219336,-0.0024067569116893285,1.0,-0.005051112178028672,ood_test,20260715
unsw_dos_natural_cur,svc,uniform,60,5000,9,0.8531327303259421,0.8564573000280453,-0.0033245697021032946,-0.0047058451667683285,-0.0010003082843004088,0.9964,-0.005426211138425452,ood_test,20260715
unsw_dos_natural_cur,svc,kernel_stratified,60,5000,9,0.8531327303259421,0.8564516104760362,-0.003318880150094146,-0.004599464931775717,-0.00121582786695649,0.9992,-0.005426211138425452,ood_test,20260715
unsw_dos_natural_cur,svc,kernel_blocked,60,5000,9,0.8531327303259421,0.8564168005402297,-0.0032840702142876276,-0.005017309092101839,0.00045449055781792607,0.9554,-0.005426211138425452,ood_test,20260715
unsw_recon_m2_centroid,svc,uniform,60,5000,9,0.9426712095773466,0.9458568492283157,-0.003185639650969142,-0.003872393832863835,-0.0019352558552484175,1.0,-0.004281686865876044,ood_test,20260715
unsw_recon_m2_centroid,svc,kernel_stratified,60,5000,9,0.9426712095773466,0.9458571988563613,-0.003185989279014546,-0.003860430288267698,-0.0019720877243056545,1.0,-0.004281686865876044,ood_test,20260715
unsw_recon_m2_centroid,svc,kernel_blocked,60,5000,9,0.9426712095773466,0.9457844397220594,-0.0031132301447125855,-0.0038824283107107057,-0.0015133316246424729,0.9998,-0.004281686865876044,ood_test,20260715
unsw_recon_natural_cur,svc,uniform,60,5000,9,0.8374979828340816,0.8371862402751276,0.0003117425589540966,-0.0011381842809562752,0.002378557772144855,0.3574,-0.0021309914247858996,ood_test,20260715
unsw_recon_natural_cur,svc,kernel_stratified,60,5000,9,0.8374979828340816,0.8371973078384307,0.00030067499565085887,-0.001035687814219106,0.0019197959626835333,0.3636,-0.0021309914247858996,ood_test,20260715
unsw_recon_natural_cur,svc,kernel_blocked,60,5000,9,0.8374979828340816,0.8370795429731608,0.00041843986092089517,-0.0014545019271477106,0.004194648377749656,0.3812,-0.0021309914247858996,ood_test,20260715
ember_m1,gpc,uniform,60,5000,9,0.7769678836710848,0.7751655840409498,0.00180229963013497,-6.529867026816417e-05,0.004843627656986704,0.031,-0.0010510563495230718,ood_test,20260715
ember_m1,gpc,kernel_stratified,60,5000,9,0.7769678836710848,0.7752310985061694,0.0017367851649153034,-3.4297600286029936e-05,0.00463819293299398,0.03,-0.0010510563495230718,ood_test,20260715
ember_m1,gpc,kernel_blocked,60,5000,9,0.7769678836710848,0.7747826859247099,0.0021851977463749586,1.7324397883008064e-05,0.0059327868185516915,0.0234,-0.0010510563495230718,ood_test,20260715
ember_m2,gpc,uniform,60,5000,9,0.7911968501687081,0.7864151010429898,0.0047817491257184435,0.0034507368670150616,0.007633232063484186,0.0,0.0032115444486350286,ood_test,20260715
ember_m2,gpc,kernel_stratified,60,5000,9,0.7911968501687081,0.786417117602118,0.004779732566590398,0.003527946284945081,0.006897601034454479,0.0,0.0032115444486350286,ood_test,20260715
ember_m2,gpc,kernel_blocked,60,5000,9,0.7911968501687081,0.7860615133475837,0.00513533682112456,0.0032311615233371707,0.012031993796287516,0.0,0.0032115444486350286,ood_test,20260715
toniot_scanning_m2_centroid,gpc,uniform,60,5000,9,0.9641506571451104,0.9604056438319084,0.003745013313201934,0.0030780186958068766,0.007586681186712096,0.0,0.002900472365565454,ood_test,20260715
