group,setting,model,scheme,budget,delta_median,delta_p2.5,delta_p97.5,frac_lt0
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,svc,uniform,60,-0.00897730847680056,-0.012697786554829893,-0.004049096302839884,1.0
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,svc,uniform,60,-0.012626603800858116,-0.015250505414064475,-0.009218748565580286,1.0
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,svc,uniform,60,-0.011371133406065326,-0.0139613640614904,-0.00732214165812052,1.0
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,svc,uniform,60,-0.017321614671408136,-0.021410235666503907,-0.00990516470177871,1.0
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000,svc,uniform,60,-0.004616764863787148,-0.007038497722684611,0.0001297487048983856,0.972
ember_m1,m1_hist_byteent__ms42__q4000_id1800_ood1800,svc,uniform,60,-0.005450308492152056,-0.008073339652197475,-0.0014463879482711913,0.9958
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,svc,uniform,60,-0.02066728571716636,-0.024447327088826576,-0.01598988512743873,1.0
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,svc,uniform,60,-0.009856916369152091,-0.013781979246348497,-0.0031540954051848535,0.9992
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,svc,uniform,60,-0.0073018992205809985,-0.00915218836664855,-0.004169043912935377,1.0
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,svc,kernel_stratified,60,-0.009083817268362715,-0.012697786554829893,-0.004169643392865256,0.9998
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,svc,kernel_stratified,60,-0.012725114392302839,-0.015250505414064475,-0.00933312460992743,1.0
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,svc,kernel_stratified,60,-0.011467420047738042,-0.0139613640614904,-0.007550625492665132,1.0
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,svc,kernel_stratified,60,-0.017321614671408136,-0.021410235666503907,-0.009974814776108176,1.0
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000,svc,kernel_stratified,60,-0.00472879263552517,-0.007038497722684611,8.180900708412544e-06,0.9746
ember_m1,m1_hist_byteent__ms42__q4000_id1800_ood1800,svc,kernel_stratified,60,-0.005477714056546068,-0.008064684587439142,-0.001627009860170721,0.9988
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,svc,kernel_stratified,60,-0.020842229140754287,-0.024447327088826576,-0.01624729053318009,1.0
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,svc,kernel_stratified,60,-0.009909723973447138,-0.013781979246348497,-0.0032591602463625594,0.9998
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,svc,kernel_stratified,60,-0.007369541075579189,-0.00915218836664855,-0.004318413699060164,1.0
