model,scheme,dataset,delta,n_groups
gpc,kernel_blocked,ember,0.00016377416055004997,2
gpc,kernel_blocked,toniot,-0.0001271154929624995,2
gpc,kernel_blocked,unsw,-0.005594435976931749,4
gpc,kernel_stratified,ember,-0.00042905789182619996,2
gpc,kernel_stratified,toniot,-0.00191630828770525,2
gpc,kernel_stratified,unsw,-0.0052574865139823745,4
gpc,uniform,ember,-6.341856876190003e-05,2
gpc,uniform,toniot,-0.0015533636124734004,2
gpc,uniform,unsw,-0.005347892676557525,4
svc,kernel_blocked,ember,-0.006323251169813899,2
svc,kernel_blocked,toniot,-0.00789455535524455,2
svc,kernel_blocked,unsw,-0.0030575096383282,4
svc,kernel_stratified,ember,-0.0062253499310118005,2
svc,kernel_stratified,toniot,-0.00770222697671105,2
svc,kernel_stratified,unsw,-0.002522149947263075,4
svc,uniform,ember,-0.0062468761734276994,2
svc,uniform,toniot,-0.00786037196239475,2
svc,uniform,unsw,-0.0025341863370096245,4
