match_method,scope,caliper,n_total,n_pairs,retained_fraction,median_rank_ratio,p95_rank_ratio,median_abs_log_rank_gap,mean_delta,median_delta,frac_quantum_better
nearest_with_replacement,all,1.10,64800,27928,0.4309876543209877,1.040494863466517,1.0930529955607782,0.03969643023822944,-0.009699971351680742,-0.005388224367904426,0.293540532798625
nearest_with_replacement,all,1.25,64800,48708,0.7516666666666667,1.0819709336459207,1.225713329325667,0.07878431651994666,-0.010262134270816894,-0.005617977528090012,0.29654266239632093
nearest_with_replacement,all,1.50,64800,60647,0.9359104938271605,1.112230981902193,1.3896802154807053,0.10636789179603312,-0.011875335064751014,-0.00607687507001009,0.2893960129932231
nearest_with_replacement,all,2.00,64800,64408,0.9939506172839506,1.1229678891902202,1.54172793471381,0.1159750815695979,-0.014536896440938892,-0.006989479752125605,0.2781331511613464
nearest_with_replacement,all,unfiltered,64800,64800,1.0,1.12390142215805,1.5780231068558244,0.11680604491732671,-0.015141123811875028,-0.007133925148176734,0.2764969135802469
nearest_with_replacement,ember_m1,1.10,8100,3572,0.44098765432098763,1.0437557341759591,1.0936511478294015,0.04282548938537167,-0.007933136339662094,-0.009506975733411971,0.3267077267637178
nearest_with_replacement,ember_m1,1.25,8100,6370,0.7864197530864198,1.0868530241391159,1.2301901544318423,0.08328638602829086,-0.007633768025499175,-0.009447406766905253,0.3304552590266876
nearest_with_replacement,ember_m1,1.50,8100,7972,0.9841975308641975,1.1175912908136525,1.3807721270072455,0.11117573300278272,-0.008136808177232712,-0.009421475949073332,0.32313095835423983
nearest_with_replacement,ember_m1,2.00,8100,8100,1.0,1.1213738265132283,1.404737487658954,0.11455456361879746,-0.008224467087249845,-0.00940054552816827,0.32271604938271603
nearest_with_replacement,ember_m1,unfiltered,8100,8100,1.0,1.1213738265132283,1.404737487658954,0.11455456361879746,-0.008224467087249845,-0.00940054552816827,0.32271604938271603
nearest_with_replacement,ember_m2,1.10,8100,3344,0.4128395061728395,1.0415994313904822,1.0928114811469347,0.040757446535009345,-0.012625577759038664,-0.009321609393382724,0.2090311004784689
nearest_with_replacement,ember_m2,1.25,8100,6318,0.78,1.0920197390381876,1.2288316868543716,0.08802895320151566,-0.011893370629945539,-0.008922995628572794,0.22491294713516935
nearest_with_replacement,ember_m2,1.50,8100,8021,0.990246913580247,1.1266600972611343,1.3959343863072795,0.1192575899765056,-0.011319858477787303,-0.008772211174546074,0.23475875825956863
nearest_with_replacement,ember_m2,2.00,8100,8100,1.0,1.1279539273457984,1.4172942916391107,0.12040530762401058,-0.01123592359398597,-0.008688294920364548,0.2374074074074074
nearest_with_replacement,ember_m2,unfiltered,8100,8100,1.0,1.1279539273457984,1.4172942916391107,0.12040530762401058,-0.01123592359398597,-0.008688294920364548,0.2374074074074074
nearest_with_replacement,toniot_scanning_m2_centroid,1.10,8100,4413,0.5448148148148149,1.0315274413216926,1.0915927958501992,0.03104065649250831,-0.002913713249319248,-0.001552969954456973,0.3464763199637435
nearest_with_replacement,toniot_scanning_m2_centroid,1.25,8100,6744,0.8325925925925926,1.0608508318897636,1.2144501853949066,0.05907125774952582,-0.0028031192002763755,-0.001313570074485404,0.3543890865954923
nearest_with_replacement,toniot_scanning_m2_centroid,1.50,8100,7689,0.9492592592592592,1.078143894492734,1.3500359951032843,0.07524094641061474,-0.002781419382399978,-0.001448801611035111,0.3560931200416179
nearest_with_replacement,toniot_scanning_m2_centroid,2.00,8100,8100,1.0,1.0864378733948303,1.5343386631059914,0.0829043383908693,-0.003095067409577537,-0.0016751732487098048,0.3465432098765432
nearest_with_replacement,toniot_scanning_m2_centroid,unfiltered,8100,8100,1.0,1.0864378733948303,1.5343386631059914,0.0829043383908693,-0.003095067409577537,-0.0016751732487098048,0.3465432098765432
nearest_with_replacement,toniot_scanning_natural_cur,1.10,8100,4413,0.5448148148148149,1.0315274413216926,1.0915927958501992,0.03104065649250831,-0.01429052409031583,-0.006035747632386346,0.2290958531611149
nearest_with_replacement,toniot_scanning_natural_cur,1.25,8100,6744,0.8325925925925926,1.0608508318897636,1.2144501853949066,0.05907125774952582,-0.015038048695213219,-0.006037956297840541,0.23769276393831554
nearest_with_replacement,toniot_scanning_natural_cur,1.50,8100,7689,0.9492592592592592,1.078143894492734,1.3500359951032843,0.07524094641061474,-0.016383456045128596,-0.007808795637742727,0.22473663675380415
nearest_with_replacement,toniot_scanning_natural_cur,2.00,8100,8100,1.0,1.0864378733948303,1.5343386631059914,0.0829043383908693,-0.017871589361151977,-0.008840864440078589,0.21555555555555556
nearest_with_replacement,toniot_scanning_natural_cur,unfiltered,8100,8100,1.0,1.0864378733948303,1.5343386631059914,0.0829043383908693,-0.017871589361151977,-0.008840864440078589,0.21555555555555556
nearest_with_replacement,unsw_dos_m2_centroid,1.10,8100,3052,0.37679012345679014,1.0472764465219253,1.0929194572099312,0.0461929338294802,-0.01164315923510934,-0.005179651808865149,0.3119266055045872
nearest_with_replacement,unsw_dos_m2_centroid,1.25,8100,5612,0.6928395061728395,1.0896909248260291,1.228146434603573,0.08589410049619217,-0.013393768492771936,-0.005719841955797111,0.2920527441197434
nearest_with_replacement,unsw_dos_m2_centroid,1.50,8100,7302,0.9014814814814814,1.126403520478879,1.3986172397807597,0.11902983184187921,-0.018043880367742647,-0.006481253626915262,0.2756778964667215
nearest_with_replacement,unsw_dos_m2_centroid,2.00,8100,8002,0.9879012345679012,1.1444662760536293,1.624703837234387,0.13493839387888928,-0.025258005073670237,-0.008154393044146446,0.2569357660584854
nearest_with_replacement,unsw_dos_m2_centroid,unfiltered,8100,8100,1.0,1.1471389931249791,1.678491502971205,0.1372710097700629,-0.027006460819235176,-0.008551904331222993,0.25382716049382714
nearest_with_replacement,unsw_dos_natural_cur,1.10,8100,3052,0.37679012345679014,1.0472764465219253,1.0929194572099312,0.0461929338294802,-0.011225519039309805,-0.008118364798001654,0.2601572739187418
nearest_with_replacement,unsw_dos_natural_cur,1.25,8100,5612,0.6928395061728395,1.0896909248260291,1.228146434603573,0.08589410049619217,-0.010971199236146626,-0.008875739644970349,0.26870990734141126
nearest_with_replacement,unsw_dos_natural_cur,1.50,8100,7302,0.9014814814814814,1.126403520478879,1.3986172397807597,0.11902983184187921,-0.01166927134732835,-0.009549429873727755,0.2703368940016434
nearest_with_replacement,unsw_dos_natural_cur,2.00,8100,8002,0.9879012345679012,1.1444662760536293,1.624703837234387,0.13493839387888928,-0.012869757181593057,-0.010988175810813017,0.2583104223944014
