run,group,dataset,shots,projection_condition,n_measurement_replicates,selected_c_median,selected_c_q025,selected_c_q975,id_val_bacc_median,id_val_bacc_q025,id_val_bacc_q975,id_test_bacc_median,id_test_bacc_q025,id_test_bacc_q975,ood_test_bacc_median,ood_test_bacc_q025,ood_test_bacc_q975,ood_difference_from_exact_median,ood_difference_from_exact_q025,ood_difference_from_exact_q975,absolute_ood_difference_median,absolute_ood_difference_q025,absolute_ood_difference_q975,train_effective_rank_ratio_median,train_effective_rank_ratio_q025,train_effective_rank_ratio_q975,kta_ood_difference_median,kta_ood_difference_q025,kta_ood_difference_q975,train_min_eig_before_psd_median,train_min_eig_before_psd_q025,train_min_eig_before_psd_q975,train_frac_negative_eig_median,train_frac_negative_eig_q025,train_frac_negative_eig_q975,train_fro_change_sampling_median,train_fro_change_sampling_q025,train_fro_change_sampling_q975,train_fro_change_projection_median,train_fro_change_projection_q025,train_fro_change_projection_q975,ood_fro_change_sampling_median,ood_fro_change_sampling_q025,ood_fro_change_sampling_q975,ood_fro_change_projection_median,ood_fro_change_projection_q025,ood_fro_change_projection_q975,condition_train_fro_change_from_sampled_median,condition_train_fro_change_from_sampled_q025,condition_train_fro_change_from_sampled_q975,condition_id_val_fro_change_from_sampled_median,condition_id_val_fro_change_from_sampled_q025,condition_id_val_fro_change_from_sampled_q975,condition_id_test_fro_change_from_sampled_median,condition_id_test_fro_change_from_sampled_q025,condition_id_test_fro_change_from_sampled_q975,condition_ood_test_fro_change_from_sampled_median,condition_ood_test_fro_change_from_sampled_q025,condition_ood_test_fro_change_from_sampled_q975,condition_ood_square_fro_change_from_sampled_median,condition_ood_square_fro_change_from_sampled_q025,condition_ood_square_fro_change_from_sampled_q975
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,ember,128,independent_square_psd,30,1.0,1.0,1.0,0.8040553526811455,0.7796055160484336,0.8197578320199885,0.8274392978409891,0.8092911141008393,0.8452455314241784,0.7508324795081966,0.737781762295082,0.7672035092213115,0.0057633196721311,-0.007287397540983575,0.022134349385245854,0.00698002049180325,0.0010438012295080925,0.022134349385245854,1.678633071686241,1.6756314129089425,1.6813818460064163,9.695405508117204e-05,-0.0001159597593446073,0.0003522292138350349,-1.0531611336312978,-1.072758772279803,-1.0301015923657666,0.397,0.394,0.39827500000000005,13.523296423766158,13.467650105138727,13.561964444429604,8.437213462721445,8.398038609994174,8.464071951058063,5.357453327871577,5.31816494663853,5.407993363308996,3.100061767836425,3.051359944996296,3.147726446593114,8.437213462721445,8.398038609994174,8.464071951058063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.100061767836425,3.051359944996296,3.147726446593114
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,ember,128,nystrom_psd,30,1.0,1.0,1.0,0.8159395220706003,0.797989941700301,0.8277660324171953,0.8397078608495099,0.8226383817028637,0.8608647254788904,0.7496157786885246,0.7355532786885246,0.7605981045081966,0.00454661885245895,-0.009515881147540895,0.015528944672131,0.005571209016393351,0.00045386142418028,0.015528944672131,1.678633071686241,1.6756314129089425,1.6813818460064163,-0.12023926893873325,-0.16084076982649317,-0.05983758145371394,-1.0531611336312978,-1.072758772279803,-1.0301015923657666,0.397,0.394,0.39827500000000005,13.523296423766158,13.467650105138727,13.561964444429604,8.437213462721445,8.398038609994174,8.464071951058063,5.357453327871577,5.31816494663853,5.407993363308996,3.100061767836425,3.051359944996296,3.147726446593114,8.437213462721445,8.398038609994174,8.464071951058063,4.62089309257683,4.59015715853225,4.6573825125579145,4.86533217611982,4.841142933448593,4.895122211840363,6.040313127148094,6.005752657534912,6.096257688134062,416.295011042835,136.72594789158066,4018.181749217375
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,ember,128,pre_psd,30,1.0,1.0,1.0,0.8116791594592864,0.7833405407136909,0.82758024216798,0.8316996604523031,0.8123774745339227,0.855455986930617,0.7549308401639344,0.7376953125,0.7654160796618853,0.0098616803278688,-0.007373847336065585,0.020346919825819664,0.0098616803278688,0.0007156121926229051,0.020346919825819664,1.678633071686241,1.6756314129089425,1.6813818460064163,-0.0002152564144861,-0.00044873445681846495,6.839710309132854e-05,-1.0531611336312978,-1.072758772279803,-1.0301015923657666,0.397,0.394,0.39827500000000005,13.523296423766158,13.467650105138727,13.561964444429604,8.437213462721445,8.398038609994174,8.464071951058063,5.357453327871577,5.31816494663853,5.407993363308996,3.100061767836425,3.051359944996296,3.147726446593114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,ember,512,independent_square_psd,30,1.0,1.0,10.0,0.8160676532769556,0.6832060029470178,0.8312199692485105,0.8355756294445512,0.6902428086360433,0.8515343711961048,0.7405865778688525,0.6426677766393443,0.7564725281762295,-0.00448258196721305,-0.10240138319672129,0.011403368340163911,0.008693007172131,0.0004274462090163325,0.10240138319672128,1.3479319321696697,1.3460802399100693,1.349487452101685,9.078305036611112e-05,-8.986085316628131e-05,0.0001679257769942025,-0.5184404585403836,-0.5295086696763865,-0.5037657197363301,0.38,0.377725,0.381,6.763740008043543,6.72937461045258,6.787691990655659,4.075609344111242,4.052929848629115,4.094729686142327,2.6902398570561283,2.667113026986806,2.7092815546144675,1.4914704717249163,1.4725746686605372,1.5083278476857624,4.075609344111242,4.052929848629115,4.094729686142327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4914704717249163,1.4725746686605372,1.5083278476857624
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,ember,512,nystrom_psd,30,1.0,1.0,10.0,0.8159395220706003,0.7329129028124799,0.8318982638221539,0.8375136139406753,0.7271974501889935,0.8475879300403613,0.7397060706967213,0.6998070888831968,0.7581238793545082,-0.0053630891393442,-0.045262070952868785,0.013054719518442575,0.006980020491803201,0.0011302510245901577,0.04526207095286878,1.3479319321696697,1.3460802399100693,1.349487452101685,-0.0690665135542492,-0.15028736248037372,-0.02444559923452755,-0.5184404585403836,-0.5295086696763865,-0.5037657197363301,0.38,0.377725,0.381,6.763740008043543,6.72937461045258,6.787691990655659,4.075609344111242,4.052929848629115,4.094729686142327,2.6902398570561283,2.667113026986806,2.7092815546144675,1.4914704717249163,1.4725746686605372,1.5083278476857624,4.075609344111242,4.052929848629115,4.094729686142328,2.3030275614595297,2.2842225707930757,2.3239908965730054,2.4270925997733026,2.4133965887434616,2.4513867114798495,3.0468773968731075,3.020486112530421,3.0637107028783612,163.5311131126303,66.46287534567527,2135.151797787917
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,ember,512,pre_psd,30,1.0,1.0,3.474999999999987,0.8196873598564931,0.8018659106925491,0.8279518226664104,0.8434556986354027,0.8216517714139279,0.8556666026010635,0.750640368852459,0.7412701716188526,0.7614137743340164,0.0055712090163934,-0.003798988217212999,0.016344614497950733,0.0056672643442622,0.00035780609631145253,0.016344614497950733,1.3479319321696697,1.3460802399100693,1.349487452101685,-2.9545650264126144e-05,-0.00022565653188476,4.5709404253419645e-05,-0.5184404585403836,-0.5295086696763865,-0.5037657197363301,0.38,0.377725,0.381,6.763740008043543,6.72937461045258,6.787691990655659,4.075609344111242,4.052929848629115,4.094729686142327,2.6902398570561283,2.667113026986806,2.7092815546144675,1.4914704717249163,1.4725746686605372,1.5083278476857624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,ember,2048,independent_square_psd,30,10.0,1.0,10.0,0.7724069447113845,0.7481300852072522,0.8181994362226921,0.7733038631558716,0.7368793644692164,0.8445215901082709,0.7324859118852459,0.6957743660348361,0.7531266009221312,-0.0125832479508196,-0.04929479380122946,0.008057441086065568,0.0125832479508196,0.0011038358094262377,0.04929479380122946,1.1775923112772153,1.1767978113673245,1.178897827254917,2.8629054268161647e-05,-2.741929161712564e-05,9.866708432919298e-05,-0.25379833502002513,-0.26149170693973456,-0.2464596474448756,0.363,0.36072499999999996,0.364275,3.381403086673002,3.3639279068030814,3.3931331845233483,1.960647264363661,1.950019738587338,1.972180169585931,1.3401299184939095,1.3257909937242138,1.3517465659423118,0.7144681339569139,0.704724140390885,0.7212582026027573,1.960647264363661,1.950019738587338,1.972180169585931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7144681339569139,0.704724140390885,0.7212582026027573
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,ember,2048,nystrom_psd,30,10.0,1.0,10.0,0.7942372989941701,0.7563040553526812,0.8236338010122366,0.8085719777051701,0.7722756102248702,0.8457988980716253,0.7476146260245902,0.7130675268954918,0.7650670786372952,0.0025454661885245,-0.032001632940573746,0.019997918801229475,0.00747630635245895,0.0002881659836065,0.032001632940573746,1.1775923112772153,1.1767978113673245,1.178897827254917,-0.04106444597498085,-0.11706675224226121,-0.01346413060095512,-0.25379833502002513,-0.26149170693973456,-0.2464596474448756,0.363,0.36072499999999996,0.364275,3.381403086673002,3.3639279068030814,3.3931331845233483,1.960647264363661,1.950019738587338,1.972180169585931,1.3401299184939095,1.3257909937242138,1.3517465659423118,0.7144681339569139,0.704724140390885,0.7212582026027573,1.9606472643636612,1.950019738587338,1.9721801695859311,1.1543178765971867,1.1415162096091236,1.1654612978329084,1.217181923126426,1.2055728553622183,1.2283073502564075,1.5474887919646694,1.5348382393195557,1.5584953320260857,88.31812408754774,47.35482482211076,342.7800184167764
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,ember,2048,pre_psd,30,10.0,1.0,10.0,0.800435646101608,0.7646550067268884,0.8252570632327504,0.8103818309949388,0.7704825741559356,0.8475879300403613,0.7464459528688525,0.7218589907786885,0.763412525614754,0.0013767930327869,-0.023210169057377036,0.01834336577868845,0.0062435963114753495,0.00100778048155741,0.023488729508196613,1.1775923112772153,1.1767978113673245,1.178897827254917,-1.8654147436528157e-05,-8.16680419871707e-05,5.257312007881307e-05,-0.25379833502002513,-0.26149170693973456,-0.2464596474448756,0.363,0.36072499999999996,0.364275,3.381403086673002,3.3639279068030814,3.3931331845233483,1.960647264363661,1.950019738587338,1.972180169585931,1.3401299184939095,1.3257909937242138,1.3517465659423118,0.7144681339569139,0.704724140390885,0.7212582026027573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,ember,8192,independent_square_psd,30,10.0,10.0,10.0,0.8019892369786661,0.7859648279838555,0.8238900634249472,0.8124479466974182,0.7939730283810622,0.8340044205266193,0.754546618852459,0.7395651895491804,0.7651903496413934,0.0094774590163934,-0.00550397028688516,0.020121189805327865,0.0094774590163934,0.0012263063524589578,0.020121189805327865,1.0906342614393036,1.0901056038653947,1.0911652423455038,1.593344243371042e-05,-1.4134678743039919e-05,4.782635059796603e-05,-0.12386742662587441,-0.12737762912655293,-0.1207389763290371,0.345,0.344,0.347275,1.69165710986612,1.6850103749264065,1.6961012521818342,0.9400291275740136,0.9349132688212773,0.9457958648649633,0.6705684885612804,0.66375880636642,0.6824916676280088,0.341077474074163,0.3371126070455883,0.34794274855036267,0.9400291275740136,0.9349132688212773,0.9457958648649633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.341077474074163,0.3371126070455883,0.34794274855036267
