run,group,dataset,kernel,dim,shots,replicate,projection_condition,selected_c,c_cv_score,id_val_bacc,id_test_bacc,ood_test_bacc,exact_c,exact_c_cv_score,exact_id_val_bacc,exact_id_test_bacc,exact_ood_test_bacc,ood_difference_from_exact,absolute_ood_difference,train_effective_rank,exact_train_effective_rank,train_effective_rank_ratio,kta_ood,exact_kta_ood,kta_ood_difference,train_min_eig_before_psd,train_min_eig_after_psd,train_frac_negative_eig,train_fro_change_sampling,train_fro_change_projection,ood_min_eig_before_psd,ood_min_eig_after_psd,ood_frac_negative_eig,ood_fro_change_sampling,ood_fro_change_projection,condition_train_fro_change_from_sampled,condition_id_val_fro_change_from_sampled,condition_id_test_fro_change_from_sampled,condition_ood_test_fro_change_from_sampled,condition_ood_square_fro_change_from_sampled,nystrom_retained_rank,nystrom_eigenvalue_tolerance,stable_seed_train
unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,unsw,zz_r2_full__as0.5,4,128,0,pre_psd,1.0,0.9011755977518521,0.8719465648854962,0.8733678086619263,0.8741179858877742,100.0,0.8985666333740217,0.9180979643765903,0.8887524240465416,0.9060064961039376,-0.031888510216163346,0.031888510216163346,83.16809387722996,28.43985455027724,2.924350183655184,0.28803243825414154,0.2895038563203899,-0.0014714180662483423,-1.5313161751963942,0.0,0.464,24.637304376709498,16.096271794336644,-1.076910586136811,0.0,0.448,12.595866830485244,7.967183600165569,0.0,0.0,0.0,0.0,0.0,,,15685485634614534978
unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,unsw,zz_r2_full__as0.5,4,128,0,independent_square_psd,1.0,0.9011549834455235,0.8833969465648854,0.8611182934712347,0.8800940815053041,100.0,0.8985666333740217,0.9180979643765903,0.8887524240465416,0.9060064961039376,-0.02591241459863347,0.02591241459863347,83.16809387722996,28.43985455027724,2.924350183655184,0.288882792996847,0.2895038563203899,-0.000621063323542892,-1.5313161751963942,0.0,0.464,24.637304376709498,16.096271794336644,-1.076910586136811,0.0,0.448,12.595866830485244,7.967183600165569,16.096271794336644,0.0,0.0,0.0,7.967183600165569,,,15685485634614534978
unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,unsw,zz_r2_full__as0.5,4,128,0,nystrom_psd,1.0,0.9011549834455235,0.8958969465648855,0.8586942469295411,0.8761260180162882,100.0,0.8985666333740217,0.9180979643765903,0.8887524240465416,0.9060064961039376,-0.029880478087649376,0.029880478087649376,83.16809387722996,28.43985455027724,2.924350183655184,0.1910213722837772,0.2895038563203899,-0.0984824840366127,-1.5313161751963942,0.0,0.464,24.637304376709498,16.096271794336644,-1.076910586136811,0.0,0.448,12.595866830485244,7.967183600165569,16.09627179433664,8.623031189175258,8.583219085886302,12.293443751969422,148.13528616674265,536.0,3.788592593467575e-11,15685485634614534978
unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,unsw,zz_r2_full__as0.5,4,128,1,pre_psd,1.0,0.8889725287054517,0.8754134860050891,0.8660310277957337,0.8881582105313686,100.0,0.8985666333740217,0.9180979643765903,0.8887524240465416,0.9060064961039376,-0.01784828557256901,0.01784828557256901,83.10732762159077,28.43985455027724,2.922213525201753,0.2876331030949005,0.2895038563203899,-0.0018707532254894077,-1.528825493242033,0.0,0.461,24.593732390048793,16.08804631607817,-1.104931595073347,0.0,0.446,12.578582242404408,7.940896007938797,0.0,0.0,0.0,0.0,0.0,,,9384597091077873985
unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,unsw,zz_r2_full__as0.5,4,128,1,independent_square_psd,1.0,0.8908526807062458,0.8872137404580153,0.8618293471234648,0.8921262740203844,100.0,0.8985666333740217,0.9180979643765903,0.8887524240465416,0.9060064961039376,-0.013880222083553218,0.013880222083553218,83.10732762159077,28.43985455027724,2.922213525201753,0.2885058598382055,0.2895038563203899,-0.0009979964821844045,-1.528825493242033,0.0,0.461,24.593732390048793,16.08804631607817,-1.104931595073347,0.0,0.446,12.578582242404408,7.940896007938797,16.08804631607817,0.0,0.0,0.0,7.940896007938797,,,9384597091077873985
unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,unsw,zz_r2_full__as0.5,4,128,1,nystrom_psd,1.0,0.8908526807062458,0.8799300254452926,0.8544925662572722,0.8861501784028545,100.0,0.8985666333740217,0.9180979643765903,0.8887524240465416,0.9060064961039376,-0.019856317701083093,0.019856317701083093,83.10732762159077,28.43985455027724,2.922213525201753,0.09091528599353986,0.2895038563203899,-0.19858857032685,-1.528825493242033,0.0,0.461,24.593732390048793,16.08804631607817,-1.104931595073347,0.0,0.446,12.578582242404408,7.940896007938797,16.08804631607817,8.640973382303372,8.556792154042036,12.241732776076462,412.63543483053587,539.0,3.789070349007309e-11,9384597091077873985
unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,unsw,zz_r2_full__as0.5,4,128,2,pre_psd,1.0,0.8781396567027651,0.8799300254452926,0.8391079508726568,0.8781660506568105,100.0,0.8985666333740217,0.9180979643765903,0.8887524240465416,0.9060064961039376,-0.02784044544712705,0.02784044544712705,83.07652456914506,28.43985455027724,2.921130430617312,0.2883995004402922,0.2895038563203899,-0.0011043558800976627,-1.5411859515781645,0.0,0.464,24.62499364344641,16.10440191235249,-1.077111211626299,0.0,0.444,12.652638266844747,8.005510721494996,0.0,0.0,0.0,0.0,0.0,,,6899294280807809956
unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,unsw,zz_r2_full__as0.5,4,128,2,independent_square_psd,1.0,0.8879915242424603,0.8715966921119593,0.8345507433742727,0.8901662426598826,100.0,0.8985666333740217,0.9180979643765903,0.8887524240465416,0.9060064961039376,-0.01584025344405493,0.01584025344405493,83.07652456914506,28.43985455027724,2.921130430617312,0.2892658558181032,0.2895038563203899,-0.0002380005022866727,-1.5411859515781645,0.0,0.464,24.62499364344641,16.10440191235249,-1.077111211626299,0.0,0.444,12.652638266844747,8.005510721494996,16.10440191235249,0.0,0.0,0.0,8.005510721494996,,,6899294280807809956
unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,unsw,zz_r2_full__as0.5,4,128,2,nystrom_psd,1.0,0.8879915242424603,0.8833969465648854,0.8502908855850032,0.8841581465303445,100.0,0.8985666333740217,0.9180979643765903,0.8887524240465416,0.9060064961039376,-0.02184834957359305,0.02184834957359305,83.07652456914506,28.43985455027724,2.921130430617312,0.15799035525857455,0.2895038563203899,-0.13151350106181534,-1.5411859515781645,0.0,0.464,24.62499364344641,16.10440191235249,-1.077111211626299,0.0,0.444,12.652638266844747,8.005510721494996,16.10440191235249,8.678890469217471,8.593454508766081,12.287510136717641,191.0899584926065,536.0,3.787473024105988e-11,6899294280807809956
unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,unsw,zz_r2_full__as0.5,4,128,3,pre_psd,1.0,0.8841208790747022,0.8875636132315522,0.8590497737556562,0.8861821789148627,100.0,0.8985666333740217,0.9180979643765903,0.8887524240465416,0.9060064961039376,-0.019824317189074847,0.019824317189074847,83.18077498260031,28.43985455027724,2.924796075716549,0.2885723563121035,0.2895038563203899,-0.0009315000082864011,-1.5311284345796117,0.0,0.463,24.60461083887746,16.119922512697997,-1.0812394134475185,0.0,0.446,12.548842157492967,7.955123707115856,0.0,0.0,0.0,0.0,0.0,,,9401682376526005959
unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,unsw,zz_r2_full__as0.5,4,128,3,independent_square_psd,1.0,0.8940127386087948,0.8754134860050891,0.8544925662572722,0.8881422102753644,100.0,0.8985666333740217,0.9180979643765903,0.8887524240465416,0.9060064961039376,-0.017864285828573134,0.017864285828573134,83.18077498260031,28.43985455027724,2.924796075716549,0.28943789801284536,0.2895038563203899,-6.595830754452248e-05,-1.5311284345796117,0.0,0.463,24.60461083887746,16.119922512697997,-1.0812394134475185,0.0,0.446,12.548842157492967,7.955123707115856,16.119922512697997,0.0,0.0,0.0,7.955123707115856,,,9401682376526005959
unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,unsw,zz_r2_full__as0.5,4,128,3,nystrom_psd,1.0,0.8940127386087948,0.8795801526717557,0.8468002585649645,0.8881582105313686,100.0,0.8985666333740217,0.9180979643765903,0.8887524240465416,0.9060064961039376,-0.01784828557256901,0.01784828557256901,83.18077498260031,28.43985455027724,2.924796075716549,0.10386060017092509,0.2895038563203899,-0.1856432561494648,-1.5311284345796117,0.0,0.463,24.60461083887746,16.119922512697997,-1.0812394134475185,0.0,0.446,12.548842157492967,7.955123707115856,16.119922512697997,8.629183095349399,8.562954768581669,12.291192495044411,362.4294891833506,537.0,3.788889176468429e-11,9401682376526005959
unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,unsw,zz_r2_full__as0.5,4,128,4,pre_psd,1.0,0.8793086331442268,0.8826972010178118,0.8667420814479638,0.8881582105313686,100.0,0.8985666333740217,0.9180979643765903,0.8887524240465416,0.9060064961039376,-0.01784828557256901,0.01784828557256901,83.11950191307817,28.43985455027724,2.92264159671196,0.28807233190093173,0.2895038563203899,-0.0014315244194581522,-1.5366760202014313,0.0,0.462,24.65823112536835,16.132988571849122,-1.0826992268795945,0.0,0.444,12.574322436778653,7.9554906954993045,0.0,0.0,0.0,0.0,0.0,,,15805768461592372096
unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,unsw,zz_r2_full__as0.5,4,128,4,independent_square_psd,1.0,0.8901214671287058,0.8743638676844784,0.8594053005817712,0.8861661786588586,100.0,0.8985666333740217,0.9180979643765903,0.8887524240465416,0.9060064961039376,-0.01984031744507897,0.01984031744507897,83.11950191307817,28.43985455027724,2.92264159671196,0.2889245840366085,0.2895038563203899,-0.0005792722837814068,-1.5366760202014313,0.0,0.462,24.65823112536835,16.132988571849122,-1.0826992268795945,0.0,0.444,12.574322436778653,7.9554906954993045,16.132988571849122,0.0,0.0,0.0,7.9554906954993045,,,15805768461592372096
unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,unsw,zz_r2_full__as0.5,4,128,4,nystrom_psd,1.0,0.8901214671287058,0.8792302798982188,0.8510019392372334,0.8881422102753644,100.0,0.8985666333740217,0.9180979643765903,0.8887524240465416,0.9060064961039376,-0.017864285828573134,0.017864285828573134,83.11950191307817,28.43985455027724,2.92264159671196,0.015273366454418083,0.2895038563203899,-0.2742304898659718,-1.5366760202014313,0.0,0.462,24.65823112536835,16.132988571849122,-1.0826992268795945,0.0,0.444,12.574322436778653,7.9554906954993045,16.132988571849125,8.629061272546995,8.581108427879384,12.245638596704476,5306.120147611129,538.0,3.789530547897746e-11,15805768461592372096
unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,unsw,zz_r2_full__as0.5,4,128,5,pre_psd,1.0,0.890222101441837,0.8747137404580153,0.8698771816418875,0.8841101457623322,100.0,0.8985666333740217,0.9180979643765903,0.8887524240465416,0.9060064961039376,-0.02189635034160542,0.02189635034160542,82.98499102789025,28.43985455027724,2.9179119352099954,0.2880363477619943,0.2895038563203899,-0.0014675085583955583,-1.5460087467841297,0.0,0.463,24.584559883224674,16.082636258959962,-1.099764438843419,0.0,0.444,12.555728839527225,7.948723835214324,0.0,0.0,0.0,0.0,0.0,,,6472939706746495930
unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,unsw,zz_r2_full__as0.5,4,128,5,independent_square_psd,1.0,0.8941230677689618,0.8663804071246819,0.8779250161603103,0.8921102737643802,100.0,0.8985666333740217,0.9180979643765903,0.8887524240465416,0.9060064961039376,-0.01389622233955734,0.01389622233955734,82.98499102789025,28.43985455027724,2.9179119352099954,0.2888767577110974,0.2895038563203899,-0.0006270986092924979,-1.5460087467841297,0.0,0.463,24.584559883224674,16.082636258959962,-1.099764438843419,0.0,0.444,12.555728839527225,7.948723835214324,16.082636258959962,0.0,0.0,0.0,7.948723835214324,,,6472939706746495930
unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,unsw,zz_r2_full__as0.5,4,128,5,nystrom_psd,1.0,0.8941230677689618,0.8795801526717557,0.8502908855850032,0.8881742107873727,100.0,0.8985666333740217,0.9180979643765903,0.8887524240465416,0.9060064961039376,-0.01783228531656489,0.01783228531656489,82.98499102789025,28.43985455027724,2.9179119352099954,0.15555335503442685,0.2895038563203899,-0.13395050128596303,-1.5460087467841297,0.0,0.463,24.584559883224674,16.082636258959962,-1.099764438843419,0.0,0.444,12.555728839527225,7.948723835214324,16.082636258959962,8.668270869997556,8.602685338821013,12.293591007475817,203.7832930113297,537.0,3.7881040962438674e-11,6472939706746495930
unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,unsw,zz_r2_full__as0.5,4,128,6,pre_psd,1.0,0.8871117663987288,0.8715966921119593,0.8590497737556562,0.8881742107873727,100.0,0.8985666333740217,0.9180979643765903,0.8887524240465416,0.9060064961039376,-0.01783228531656489,0.01783228531656489,83.2213898817743,28.43985455027724,2.9262241737084778,0.28774430466975703,0.2895038563203899,-0.0017595516506328512,-1.540269225547924,0.0,0.462,24.628267832199302,16.1356784379474,-1.0555338573335578,0.0,0.448,12.54716274841624,7.935128467300694,0.0,0.0,0.0,0.0,0.0,,,8311346355617849990
unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,unsw,zz_r2_full__as0.5,4,128,6,independent_square_psd,1.0,0.8930535490523843,0.8719465648854962,0.8548480930833873,0.8881742107873727,100.0,0.8985666333740217,0.9180979643765903,0.8887524240465416,0.9060064961039376,-0.01783228531656489,0.01783228531656489,83.2213898817743,28.43985455027724,2.9262241737084778,0.2885812629129621,0.2895038563203899,-0.0009225934074277853,-1.540269225547924,0.0,0.462,24.628267832199302,16.1356784379474,-1.0555338573335578,0.0,0.448,12.54716274841624,7.935128467300694,16.1356784379474,0.0,0.0,0.0,7.935128467300694,,,8311346355617849990
unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,unsw,zz_r2_full__as0.5,4,128,6,nystrom_psd,1.0,0.8930535490523843,0.8712468193384224,0.8548480930833873,0.8901822429158867,100.0,0.8985666333740217,0.9180979643765903,0.8887524240465416,0.9060064961039376,-0.01582425318805092,0.01582425318805092,83.2213898817743,28.43985455027724,2.9262241737084778,0.02340844644500607,0.2895038563203899,-0.2660954098753838,-1.540269225547924,0.0,0.462,24.628267832199302,16.1356784379474,-1.0555338573335578,0.0,0.448,12.54716274841624,7.935128467300694,16.1356784379474,8.636861763474826,8.525346030757177,12.25954107906233,1956.8697155634616,538.0,3.7896160422023865e-11,8311346355617849990
unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,unsw,zz_r2_full__as0.5,4,128,7,pre_psd,1.0,0.8930826455994939,0.8708969465648855,0.8383968972204267,0.8861661786588586,100.0,0.8985666333740217,0.9180979643765903,0.8887524240465416,0.9060064961039376,-0.01984031744507897,0.01984031744507897,83.27723385467985,28.43985455027724,2.92818775523126,0.2879894949836216,0.2895038563203899,-0.0015143613367682995,-1.53590392341011,0.0,0.461,24.675214203754585,16.161519113672988,-1.0952990159891987,0.0,0.446,12.544325246770606,7.930653691050959,0.0,0.0,0.0,0.0,0.0,,,10389986465879751579
unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,unsw,zz_r2_full__as0.5,4,128,7,independent_square_psd,1.0,0.8940630497623591,0.8705470737913485,0.8422430510665805,0.8961583385334165,100.0,0.8985666333740217,0.9180979643765903,0.8887524240465416,0.9060064961039376,-0.009848157570521043,0.009848157570521043,83.27723385467985,28.43985455027724,2.92818775523126,0.2888648745684107,0.2895038563203899,-0.000638981751979184,-1.53590392341011,0.0,0.461,24.675214203754585,16.161519113672988,-1.0952990159891987,0.0,0.446,12.544325246770606,7.930653691050959,16.161519113672988,0.0,0.0,0.0,7.930653691050959,,,10389986465879751579
unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,unsw,zz_r2_full__as0.5,4,128,7,nystrom_psd,1.0,0.8940630497623591,0.8712468193384224,0.8506464124111184,0.8881582105313686,100.0,0.8985666333740217,0.9180979643765903,0.8887524240465416,0.9060064961039376,-0.01784828557256901,0.01784828557256901,83.27723385467985,28.43985455027724,2.92818775523126,0.1651710702626418,0.2895038563203899,-0.12433278605774808,-1.53590392341011,0.0,0.461,24.675214203754585,16.161519113672988,-1.0952990159891987,0.0,0.446,12.544325246770606,7.930653691050959,16.161519113672988,8.619319138470022,8.564689624714639,12.213859047867066,190.5254287888913,539.0,3.788582917918353e-11,10389986465879751579
