axis,from_level,to_level,selection,reference,budget_mode,paired_change,regularization,contrast_scope
regularization,fixed_c1,train_cv,id_val,customary,equal_count,-0.020237581003994583,,individual_paired_cell
regularization,fixed_c1,train_cv,id_val,customary,native,-0.01920737477078499,,individual_paired_cell
regularization,fixed_c1,train_cv,id_val,extended,equal_count,0.0021119828210245098,,individual_paired_cell
regularization,fixed_c1,train_cv,id_val,extended,native,0.0038612267086671204,,individual_paired_cell
regularization,fixed_c1,train_cv,ood_test,customary,equal_count,-0.0106689361523299,,individual_paired_cell
regularization,fixed_c1,train_cv,ood_test,customary,native,-0.011296788218382809,,individual_paired_cell
regularization,fixed_c1,train_cv,ood_test,extended,equal_count,-0.006067159900416683,,individual_paired_cell
regularization,fixed_c1,train_cv,ood_test,extended,native,-0.005570570727440006,,individual_paired_cell
selection,ood_test,id_val,,customary,equal_count,0.002353437715824115,fixed_c1,individual_paired_cell
selection,ood_test,id_val,,customary,native,-0.001319263641857497,fixed_c1,individual_paired_cell
selection,ood_test,id_val,,extended,equal_count,-0.00885087041410479,fixed_c1,individual_paired_cell
selection,ood_test,id_val,,extended,native,-0.006921086211112953,fixed_c1,individual_paired_cell
selection,ood_test,id_val,,customary,equal_count,-0.0072152071358405675,train_cv,individual_paired_cell
selection,ood_test,id_val,,customary,native,-0.009229850194259677,train_cv,individual_paired_cell
selection,ood_test,id_val,,extended,equal_count,-0.0006717276926635979,train_cv,individual_paired_cell
selection,ood_test,id_val,,extended,native,0.002510711224994173,train_cv,individual_paired_cell
reference,customary,extended,id_val,,equal_count,-0.01857278853876433,fixed_c1,individual_paired_cell
reference,customary,extended,id_val,,native,-0.01966336278645863,fixed_c1,individual_paired_cell
reference,customary,extended,ood_test,,equal_count,-0.0073684804088354275,fixed_c1,individual_paired_cell
reference,customary,extended,ood_test,,native,-0.014061540217203175,fixed_c1,individual_paired_cell
reference,customary,extended,id_val,,equal_count,0.00377677528625476,train_cv,individual_paired_cell
reference,customary,extended,id_val,,native,0.0034052386929934782,train_cv,individual_paired_cell
reference,customary,extended,ood_test,,equal_count,-0.0027667041569222096,train_cv,individual_paired_cell
reference,customary,extended,ood_test,,native,-0.008335322726260372,train_cv,individual_paired_cell
budget_mode,native,equal_count,id_val,customary,,2.9676804734115464e-05,fixed_c1,individual_paired_cell
budget_mode,native,equal_count,id_val,extended,,0.0011202510524284132,fixed_c1,individual_paired_cell
budget_mode,native,equal_count,ood_test,customary,,-0.0036430245529474967,fixed_c1,individual_paired_cell
budget_mode,native,equal_count,ood_test,extended,,0.0030500352554202505,fixed_c1,individual_paired_cell
budget_mode,native,equal_count,id_val,customary,,-0.001000529428475479,train_cv,individual_paired_cell
budget_mode,native,equal_count,id_val,extended,,-0.0006289928352141974,train_cv,individual_paired_cell
budget_mode,native,equal_count,ood_test,customary,,-0.003015172486894589,train_cv,individual_paired_cell
budget_mode,native,equal_count,ood_test,extended,,0.0025534460824435737,train_cv,individual_paired_cell
budget_mode,native,equal_count,,,,-0.00019178876356317615,,mean_over_other_factorial_axes
reference,customary,extended,,,,-0.007948273106899488,,mean_over_other_factorial_axes
regularization,fixed_c1,train_cv,,,,-0.008384400155457168,,mean_over_other_factorial_axes
selection,ood_test,id_val,,,,-0.0036679820436275995,,mean_over_other_factorial_axes
