regularization,selection,reference,budget_mode,group,qs,cluster_effect
fixed_c1,id_val,customary,equal_count,ember_m1,7,-0.035867198832187426
fixed_c1,id_val,customary,equal_count,ember_m1,42,-0.020069843607695776
fixed_c1,id_val,customary,equal_count,ember_m1,123,-0.035593912027029155
fixed_c1,id_val,customary,equal_count,ember_m1,999,-0.027780819668589474
fixed_c1,id_val,customary,equal_count,ember_m1,2024,-0.05241080355806441
fixed_c1,id_val,customary,equal_count,ember_m2,7,0.019402575304177105
fixed_c1,id_val,customary,equal_count,ember_m2,42,0.010532450335837851
fixed_c1,id_val,customary,equal_count,ember_m2,123,0.030705075445816257
fixed_c1,id_val,customary,equal_count,ember_m2,999,0.02154865512995013
fixed_c1,id_val,customary,equal_count,ember_m2,2024,0.01293144810086877
fixed_c1,id_val,customary,equal_count,toniot_scanning_m2_centroid,7,0.10447201967875042
fixed_c1,id_val,customary,equal_count,toniot_scanning_m2_centroid,42,0.010222140965142722
fixed_c1,id_val,customary,equal_count,toniot_scanning_m2_centroid,123,0.0591765740707197
fixed_c1,id_val,customary,equal_count,toniot_scanning_m2_centroid,999,0.09591229110285926
fixed_c1,id_val,customary,equal_count,toniot_scanning_m2_centroid,2024,0.11830512115500469
fixed_c1,id_val,customary,equal_count,toniot_scanning_natural_cur,7,-0.022218543959276235
fixed_c1,id_val,customary,equal_count,toniot_scanning_natural_cur,42,-0.01034325059489432
fixed_c1,id_val,customary,equal_count,toniot_scanning_natural_cur,123,0.08731698272252153
fixed_c1,id_val,customary,equal_count,toniot_scanning_natural_cur,999,-0.02572881814218142
fixed_c1,id_val,customary,equal_count,toniot_scanning_natural_cur,2024,-0.020218765983300264
fixed_c1,id_val,customary,equal_count,unsw_dos_m2_centroid,7,-0.007851150551080864
fixed_c1,id_val,customary,equal_count,unsw_dos_m2_centroid,42,-0.017839434638225016
fixed_c1,id_val,customary,equal_count,unsw_dos_m2_centroid,123,-0.017920538128697056
fixed_c1,id_val,customary,equal_count,unsw_dos_m2_centroid,999,0.05441284356140078
fixed_c1,id_val,customary,equal_count,unsw_dos_m2_centroid,2024,-0.0040396201514298164
fixed_c1,id_val,customary,equal_count,unsw_dos_natural_cur,7,0.011710344678671577
fixed_c1,id_val,customary,equal_count,unsw_dos_natural_cur,42,0.012564467242453291
fixed_c1,id_val,customary,equal_count,unsw_dos_natural_cur,123,0.009480520436958647
fixed_c1,id_val,customary,equal_count,unsw_dos_natural_cur,999,-0.004026582665474843
fixed_c1,id_val,customary,equal_count,unsw_dos_natural_cur,2024,0.007113119135478185
fixed_c1,id_val,customary,equal_count,unsw_recon_m2_centroid,7,0.04043055348904278
fixed_c1,id_val,customary,equal_count,unsw_recon_m2_centroid,42,-0.015082114069175897
fixed_c1,id_val,customary,equal_count,unsw_recon_m2_centroid,123,-0.027703899664980856
