regularization,selection,reference,budget_mode,dataset_equal_effect,min_dataset_effect,max_dataset_effect,n_source_datasets
fixed_c1,id_val,customary,equal_count,0.011790717081359049,-0.007660237337691613,0.03968957510153461,3
fixed_c1,id_val,customary,native,0.011761040276624933,-0.012449863425158336,0.042966039431208525,3
fixed_c1,id_val,extended,equal_count,-0.006782071457405284,-0.015813792573952507,0.0007543993161214266,3
fixed_c1,id_val,extended,native,-0.007902322509833698,-0.015436776631042507,0.001194538975886502,3
fixed_c1,ood_test,customary,equal_count,0.009437279365534934,0.006019681714061036,0.015613121513402408,3
fixed_c1,ood_test,customary,native,0.01308030391848243,0.007315133363822752,0.020094342833775522,3
fixed_c1,ood_test,extended,equal_count,0.0020687989566995067,0.00024123065405440527,0.00462304480817477,3
fixed_c1,ood_test,extended,native,-0.000981236298720744,-0.0037641247383956955,0.0011104846380006305,3
train_cv,id_val,customary,equal_count,-0.008446863922635535,-0.012185565140703911,-0.005540464562010752,3
train_cv,id_val,customary,native,-0.0074463344941600555,-0.010240275291218,-0.004518801338702562,3
train_cv,id_val,extended,equal_count,-0.004670088636380775,-0.007876717249565941,-0.0018610315093031253,3
train_cv,id_val,extended,native,-0.004041095801166577,-0.007103329263842181,-0.0008254286014703254,3
train_cv,ood_test,customary,equal_count,-0.0012316567867949673,-0.0031518084256756916,0.0019252995064555616,3
train_cv,ood_test,customary,native,0.0017835157000996216,0.0009500781551385661,0.003374367531345235,3
train_cv,ood_test,extended,equal_count,-0.003998360943717177,-0.009558208109528392,0.00014623841099671174,3
train_cv,ood_test,extended,native,-0.00655180702616075,-0.012979447803628925,-0.0013110393732868636,3
