model,group,qs,cluster_effect,n_lower_level_rows,interval_role
gpc,ember_m1,7,-0.003203501538613746,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
gpc,ember_m1,42,-0.0016555314813733897,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
gpc,ember_m1,123,0.001351246245638093,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
gpc,ember_m1,999,0.009651982740783707,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
gpc,ember_m1,2024,-0.01065971830807731,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
gpc,ember_m2,7,0.0035061606211091857,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
gpc,ember_m2,42,0.006625654611382059,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
gpc,ember_m2,123,0.00625301118929883,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
gpc,ember_m2,999,0.0009778473450264853,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
gpc,ember_m2,2024,-0.00395132153388427,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
gpc,toniot_scanning_m2_centroid,7,0.021838508126458,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
gpc,toniot_scanning_m2_centroid,42,0.014848802191266068,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
gpc,toniot_scanning_m2_centroid,123,0.008718941124952308,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
gpc,toniot_scanning_m2_centroid,999,0.006242747809922045,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
gpc,toniot_scanning_m2_centroid,2024,0.003035007918207289,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
gpc,toniot_scanning_natural_cur,7,-0.020806442929291766,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
gpc,toniot_scanning_natural_cur,42,-0.0025568954075011817,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
gpc,toniot_scanning_natural_cur,123,-0.0031291184117820258,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
gpc,toniot_scanning_natural_cur,999,-0.013850530733678028,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
gpc,toniot_scanning_natural_cur,2024,-0.004457713087479018,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
gpc,unsw_dos_m2_centroid,7,-0.01167315058446153,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
gpc,unsw_dos_m2_centroid,42,-0.013516611763079485,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
gpc,unsw_dos_m2_centroid,123,-0.0161446427825017,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
gpc,unsw_dos_m2_centroid,999,-0.0015288369094672496,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
gpc,unsw_dos_m2_centroid,2024,-0.011094901945360308,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
gpc,unsw_dos_natural_cur,7,-0.005948802666275242,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
gpc,unsw_dos_natural_cur,42,-0.010456672593964421,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
gpc,unsw_dos_natural_cur,123,-0.0063680159893331305,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
gpc,unsw_dos_natural_cur,999,-0.008593365677136188,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
gpc,unsw_dos_natural_cur,2024,0.0027033921109126773,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
gpc,unsw_recon_m2_centroid,7,-0.013761878164054768,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
gpc,unsw_recon_m2_centroid,42,0.0012230823229799047,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
gpc,unsw_recon_m2_centroid,123,-0.008609922767457444,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
gpc,unsw_recon_m2_centroid,999,-0.021248353420969184,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
gpc,unsw_recon_m2_centroid,2024,0.005112535037094946,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
gpc,unsw_recon_natural_cur,7,0.009979289443814926,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
gpc,unsw_recon_natural_cur,42,0.00553197927609944,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
gpc,unsw_recon_natural_cur,123,-0.0028063123838173664,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
gpc,unsw_recon_natural_cur,999,0.011069254318951463,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
gpc,unsw_recon_natural_cur,2024,0.0023258832300230366,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
svc,ember_m1,7,-0.013933422082604946,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
svc,ember_m1,42,0.018858420758887964,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
svc,ember_m1,123,-0.034834708693231575,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
svc,ember_m1,999,-0.01476101268784885,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
svc,ember_m1,2024,0.015577212263525124,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
svc,ember_m2,7,-0.012212770854603422,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
svc,ember_m2,42,-0.009512314628530727,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
svc,ember_m2,123,-0.000642906349245615,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
svc,ember_m2,999,0.0005212896736063595,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
svc,ember_m2,2024,-0.010098870394744974,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
svc,toniot_scanning_m2_centroid,7,0.002167890705508096,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
svc,toniot_scanning_m2_centroid,42,-0.002684052762146866,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
svc,toniot_scanning_m2_centroid,123,-0.003240015116606399,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
svc,toniot_scanning_m2_centroid,999,0.0024716593172643265,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
svc,toniot_scanning_m2_centroid,2024,-0.004029869575736478,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
svc,toniot_scanning_natural_cur,7,-0.02154930725224873,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
svc,toniot_scanning_natural_cur,42,-0.0019322518391335028,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
svc,toniot_scanning_natural_cur,123,-0.006997683812954768,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
svc,toniot_scanning_natural_cur,999,-0.02104523813752625,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
svc,toniot_scanning_natural_cur,2024,-0.02259978224522535,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
svc,unsw_dos_m2_centroid,7,-0.004660811004244943,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
svc,unsw_dos_m2_centroid,42,-0.006886157568969942,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
svc,unsw_dos_m2_centroid,123,-0.011854589107359204,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
svc,unsw_dos_m2_centroid,999,0.00469444787619232,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
svc,unsw_dos_m2_centroid,2024,-0.003396346276072133,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
svc,unsw_dos_natural_cur,7,-4.976428011211915e-05,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
svc,unsw_dos_natural_cur,42,-0.013015612346942157,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
svc,unsw_dos_natural_cur,123,0.00665538450899486,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
svc,unsw_dos_natural_cur,999,0.0013549763445500664,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
svc,unsw_dos_natural_cur,2024,-0.011337716748623371,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
svc,unsw_recon_m2_centroid,7,-0.004237814584033194,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
svc,unsw_recon_m2_centroid,42,-0.0036676830262073294,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
svc,unsw_recon_m2_centroid,123,-0.013876225614577653,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
svc,unsw_recon_m2_centroid,999,-0.011280487614882394,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
svc,unsw_recon_m2_centroid,2024,-0.011215223620154454,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
svc,unsw_recon_natural_cur,7,0.0024599661880897656,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
svc,unsw_recon_natural_cur,42,0.0018834568516796742,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
svc,unsw_recon_natural_cur,123,-0.001090981260967919,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
svc,unsw_recon_natural_cur,999,0.020249938444757993,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
svc,unsw_recon_natural_cur,2024,0.001270062304862593,27,one_of_five_values_underlying_pointwise_conditional_cluster_t_interval
