model,selector,base_map,map_stratum,n_winners,n_runs,winner_fraction
gpc,id_val,zz_r1_full,entangling_zz,353,1080,0.32685185185185184
gpc,id_val,zz_r2_full,entangling_zz,379,1080,0.3509259259259259
gpc,id_val,pauli_xz_r1_full,separable_product,171,1080,0.15833333333333333
gpc,id_val,zmap_r2,separable_product,177,1080,0.1638888888888889
gpc,ood_test,zz_r1_full,entangling_zz,279,1080,0.25833333333333336
gpc,ood_test,zz_r2_full,entangling_zz,273,1080,0.25277777777777777
gpc,ood_test,pauli_xz_r1_full,separable_product,246,1080,0.22777777777777777
gpc,ood_test,zmap_r2,separable_product,282,1080,0.2611111111111111
svc,id_val,zz_r1_full,entangling_zz,290,1080,0.26851851851851855
svc,id_val,zz_r2_full,entangling_zz,196,1080,0.1814814814814815
svc,id_val,pauli_xz_r1_full,separable_product,315,1080,0.2916666666666667
svc,id_val,zmap_r2,separable_product,279,1080,0.25833333333333336
svc,ood_test,zz_r1_full,entangling_zz,282,1080,0.2611111111111111
svc,ood_test,zz_r2_full,entangling_zz,148,1080,0.13703703703703704
svc,ood_test,pauli_xz_r1_full,separable_product,353,1080,0.32685185185185184
svc,ood_test,zmap_r2,separable_product,297,1080,0.275
