setting,qs,seed,group,quantum_ood_original,classical_ood_original,delta_original,quantum_ood_ablated,classical_ood_ablated,delta_ablated,delta,ablation_change,ms,size,dataset
toniot_scanning__m2_centroid__ms123__q1000_id500_ood500,7,42,toniot_scanning_m2_centroid,0.9431984084965748,0.9475300669009,-0.004331658404325256,0.9309573085623526,0.9375380565047889,-0.006580747942436349,-0.006580747942436349,-0.002249089538111093,123,1000,toniot
toniot_scanning__m2_centroid__ms123__q1000_id500_ood500,7,123,toniot_scanning_m2_centroid,0.9431984084965748,0.9475300669009,-0.004331658404325256,0.9309573085623526,0.9375380565047889,-0.006580747942436349,-0.006580747942436349,-0.002249089538111093,123,1000,toniot
toniot_scanning__m2_centroid__ms123__q1000_id500_ood500,7,999,toniot_scanning_m2_centroid,0.9431984084965748,0.9475300669009,-0.004331658404325256,0.9309573085623526,0.9375380565047889,-0.006580747942436349,-0.006580747942436349,-0.002249089538111093,123,1000,toniot
toniot_scanning__m2_centroid__ms123__q1000_id500_ood500,42,42,toniot_scanning_m2_centroid,0.9539272628362054,0.9560085409366551,-0.0020812781004496683,0.9498951983231732,0.9445192819085109,0.005375916414662285,0.005375916414662285,0.007457194515111953,123,1000,toniot
toniot_scanning__m2_centroid__ms123__q1000_id500_ood500,42,123,toniot_scanning_m2_centroid,0.9539272628362054,0.9560085409366551,-0.0020812781004496683,0.9538952623241972,0.9445192819085109,0.009375980415686325,0.009375980415686325,0.011457258516135993,123,1000,toniot
toniot_scanning__m2_centroid__ms123__q1000_id500_ood500,42,999,toniot_scanning_m2_centroid,0.9539272628362054,0.9560085409366551,-0.0020812781004496683,0.9498951983231732,0.9445192819085109,0.005375916414662285,0.005375916414662285,0.007457194515111953,123,1000,toniot
toniot_scanning__m2_centroid__ms123__q1000_id500_ood500,123,42,toniot_scanning_m2_centroid,0.9336310095384418,0.947093908840663,-0.01346289930222122,0.9245566865117468,0.9195690992894179,0.004987587222328949,0.004987587222328949,0.01845048652455017,123,1000,toniot
toniot_scanning__m2_centroid__ms123__q1000_id500_ood500,123,123,toniot_scanning_m2_centroid,0.9336310095384418,0.947093908840663,-0.01346289930222122,0.9245566865117468,0.9195690992894179,0.004987587222328949,0.004987587222328949,0.01845048652455017,123,1000,toniot
toniot_scanning__m2_centroid__ms123__q1000_id500_ood500,123,999,toniot_scanning_m2_centroid,0.9336310095384418,0.947093908840663,-0.01346289930222122,0.9245566865117468,0.9195690992894179,0.004987587222328949,0.004987587222328949,0.01845048652455017,123,1000,toniot
toniot_scanning__m2_centroid__ms123__q1000_id500_ood500,999,42,toniot_scanning_m2_centroid,0.9591037493579866,0.9687576784797124,-0.009653929121725802,0.8663007190549563,0.9078400808936825,-0.041539361838726196,-0.041539361838726196,-0.031885432717000395,123,1000,toniot
toniot_scanning__m2_centroid__ms123__q1000_id500_ood500,999,123,toniot_scanning_m2_centroid,0.9591037493579866,0.9687576784797124,-0.009653929121725802,0.8663007190549563,0.9078400808936825,-0.041539361838726196,-0.041539361838726196,-0.031885432717000395,123,1000,toniot
toniot_scanning__m2_centroid__ms123__q1000_id500_ood500,999,999,toniot_scanning_m2_centroid,0.9591037493579866,0.9687576784797124,-0.009653929121725802,0.8663007190549563,0.9078400808936825,-0.041539361838726196,-0.041539361838726196,-0.031885432717000395,123,1000,toniot
toniot_scanning__m2_centroid__ms123__q1000_id500_ood500,2024,42,toniot_scanning_m2_centroid,0.9719288137763268,0.9717344216119327,0.00019439216439409712,0.8692465271109404,0.8762424460661928,-0.006995918955252423,-0.006995918955252423,-0.00719031111964652,123,1000,toniot
