case,run,group,model,budget,n_blocks,n_permutations,mean_accuracy_upper,median_accuracy_upper,q025_accuracy_upper,q975_accuracy_upper,probability_upper_below_0p005,probability_upper_below_0p010,probability_upper_below_0p020
00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,gpc,30,6,5000,0.09920599999999999,0.088,0.08,0.14,0.0,0.0,0.0
00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,gpc,60,12,5000,0.0857684,0.08,0.08,0.122,0.0,0.0,0.0
00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,gpc,115,23,5000,0.08,0.08,0.08,0.08,0.0,0.0,0.0
00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,30,6,5000,0.06789,0.07,0.05,0.108,0.0,0.0,0.0
00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,60,12,5000,0.0561472,0.05,0.05,0.08,0.0,0.0,0.0
00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,115,23,5000,0.049999999999999996,0.05,0.05,0.05,0.0,0.0,0.0
01_ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m2,gpc,30,6,5000,0.08478319999999999,0.08,0.074,0.126,0.0,0.0,0.0
01_ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m2,gpc,60,12,5000,0.07651639999999998,0.074,0.074,0.092,0.0,0.0,0.0
01_ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m2,gpc,115,23,5000,0.07399999999999998,0.074,0.074,0.074,0.0,0.0,0.0
01_ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m2,svc,30,6,5000,0.0756136,0.078,0.054,0.124,0.0,0.0,0.0
01_ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m2,svc,60,12,5000,0.06268520000000001,0.054,0.054,0.094,0.0,0.0,0.0
01_ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m2,svc,115,23,5000,0.054,0.054,0.054,0.054,0.0,0.0,0.0
02_toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_m2_centroid,gpc,30,6,5000,0.0347196,0.032,0.016,0.06,0.0,0.0,0.2626
02_toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_m2_centroid,gpc,60,12,5000,0.024678000000000002,0.016,0.016,0.054,0.0,0.0,0.5244
02_toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_m2_centroid,gpc,115,23,5000,0.016000000000000004,0.016,0.016,0.016,0.0,0.0,1.0
02_toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_m2_centroid,svc,30,6,5000,0.004230800000000001,0.004,0.002,0.008,0.8222,0.9838,0.9838
02_toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_m2_centroid,svc,60,12,5000,0.0029912000000000007,0.002,0.002,0.004,0.9878,1.0,1.0
02_toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_m2_centroid,svc,115,23,5000,0.0020000000000000005,0.002,0.002,0.002,1.0,1.0,1.0
03_toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,gpc,30,6,5000,0.008539600000000001,0.006,0.006,0.04,0.0,0.8218,0.973
03_toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,gpc,60,12,5000,0.006215999999999999,0.006,0.006,0.008,0.0,0.9866,1.0
03_toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,gpc,115,23,5000,0.006,0.006,0.006,0.006,0.0,1.0,1.0
03_toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,svc,30,6,5000,0.00538,0.004,0.002,0.018,0.7304,0.8136,0.9992
03_toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,svc,60,12,5000,0.003138,0.002,0.002,0.008,0.965,0.986,1.0
03_toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,svc,115,23,5000,0.0020000000000000005,0.002,0.002,0.002,1.0,1.0,1.0
04_unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,gpc,30,6,5000,0.0698748,0.068,0.066,0.08,0.0,0.0,0.0
04_unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,gpc,60,12,5000,0.06726760000000001,0.066,0.066,0.072,0.0,0.0,0.0
04_unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,gpc,115,23,5000,0.06600000000000002,0.066,0.066,0.066,0.0,0.0,0.0
04_unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,svc,30,6,5000,0.019732000000000003,0.022,0.01,0.04,0.0,0.0,0.4688
04_unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,svc,60,12,5000,0.013876,0.01,0.01,0.026,0.0,0.0,0.779
04_unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,svc,115,23,5000,0.01,0.01,0.01,0.01,0.0,0.0,1.0
05_unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_natural_cur,gpc,30,6,5000,0.038944400000000004,0.04,0.028,0.058,0.0,0.0,0.0
05_unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_natural_cur,gpc,60,12,5000,0.033241200000000005,0.028,0.028,0.042,0.0,0.0,0.0
05_unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_natural_cur,gpc,115,23,5000,0.028,0.028,0.028,0.028,0.0,0.0,0.0
05_unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_natural_cur,svc,30,6,5000,0.0506252,0.044,0.034,0.074,0.0,0.0,0.0
05_unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_natural_cur,svc,60,12,5000,0.040644000000000007,0.034,0.034,0.07,0.0,0.0,0.0
05_unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_natural_cur,svc,115,23,5000,0.03400000000000001,0.034,0.034,0.034,0.0,0.0,0.0
06_unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,gpc,30,6,5000,0.09798119999999999,0.094,0.088,0.124,0.0,0.0,0.0
06_unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,gpc,60,12,5000,0.09162199999999998,0.088,0.088,0.108,0.0,0.0,0.0
06_unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,gpc,115,23,5000,0.088,0.088,0.088,0.088,0.0,0.0,0.0
06_unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,svc,30,6,5000,0.050038,0.05,0.046,0.056,0.0,0.0,0.0
06_unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,svc,60,12,5000,0.04763119999999999,0.046,0.046,0.054,0.0,0.0,0.0
06_unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,svc,115,23,5000,0.045999999999999985,0.046,0.046,0.046,0.0,0.0,0.0
07_unsw_recon_natural_cur,unsw_recon__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_natural_cur,gpc,30,6,5000,0.035666800000000005,0.034,0.03,0.07,0.0,0.0,0.0
07_unsw_recon_natural_cur,unsw_recon__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_natural_cur,gpc,60,12,5000,0.031597599999999997,0.03,0.03,0.038,0.0,0.0,0.0
07_unsw_recon_natural_cur,unsw_recon__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_natural_cur,gpc,115,23,5000,0.03,0.03,0.03,0.03,0.0,0.0,0.0
07_unsw_recon_natural_cur,unsw_recon__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_natural_cur,svc,30,6,5000,0.041732,0.04,0.034,0.07,0.0,0.0,0.0
07_unsw_recon_natural_cur,unsw_recon__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_natural_cur,svc,60,12,5000,0.0364524,0.034,0.034,0.042,0.0,0.0,0.0
07_unsw_recon_natural_cur,unsw_recon__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_natural_cur,svc,115,23,5000,0.03400000000000001,0.034,0.034,0.034,0.0,0.0,0.0
